CLG	TsE	Galgal	Lepocu	Xentro
CLGC	alpha1	GGA10	LOC3	XTR3
CLGC	beta1	GGA25	LOC24	XTR8
CLGC	alpha2	GGAZ	LOC2,LOC4	XTR1
CLGC	beta2	GGA28	LOC19	XTR1
CLGL	alpha1	GG8	LOC10	XTR4
CLGL	beta1	-	LOC6	XTR3
CLGL	alpha2	GGAZ	LOC2,LOC4	XTR1
CLGL	beta2	GGA28	LOC19	XTR1
CLGM	alpha1	GGA8	LOC10	XTR4
CLGM	beta1	GGA?	LOC6	XTR3
CLGM	alpha2	GGA17	LOC21	XTR8
CLGM	beta2	-	-	-
CLGE	alpha1	GGA12	LOC5	XTR4
CLGE	beta1	-	LOC1	XTR8
CLGE	alpha2	GGA1	LOC8	XTR3
CLGE	beta2	GGA26	LOC3	XTR2
CLGO	alpha1	GGA5	LOC27	XTR4,XTR7
CLGO	beta1	-	-	-
CLGO	alpha2	GGA1	LOC8	XTR3,XTR7
CLGO	beta2	GG26	LOC3	XTR2
CLGI	alpha1	GGA6	LOC5	XTR7
CLGI	beta1	GGA22	LOC1	XTR3
CLGI	alpha2	GGA4	LOC2,LOC4	XTR1
CLGI	beta2	GGA13	LOC6	XTR3a
CLGQ	alpha1	GGA6	LOC5	XTR7
CLGQ	beta1	GGA22	LOC1	XTR3
CLGQ	alpha2	GGA4	LOC2,LOC4	XTR1
CLGQ	beta2	GGA13	LOC6	XTR3
CLGF	alpha1	GGA1	LOC3,LOC17	XTR2
CLGF	beta1	GGA4	LOC7	XTR8
CLGF	alpha2	GGA4	LOC4	XTR1
CLGF	beta2	GGA13	LOC6	XTR3
CLGN	alpha1	GGA1	LOC3,LOC17	XTR2
CLGN	beta1	GGA4	LOC7	XTR8
CLGN	alpha2	GGA9	LOC14	XTR5
CLGN	beta2	-	-	-
CLGP	alpha1	GGA21	LOC25	XTR7
CLGP	beta1	GGA1	LOC26	-
CLGP	alpha2	GGA9	LOC14	XTR5
CLGP	beta2	-	-	-
CLGA	alpha1	GGA5	LOC2,LOC7	XTR8
CLGA	beta1	GGA1	LOC3	XTR3
CLGA	alpha2	GGA3	LOC1,LOC16	XTR5
CLGA	beta2	GGA24	LOC26	XTR7
CLGK	alpha1	GGA1	LOC3,LOC7	XTR2
CLGK	beta1	GGA4	LOC7	XTR8
CLGK	alpha2	GGA3	LOC1	XTR5
CLGK	beta2	GGA23	LOC6	XTR2
CLGJ	alpha1	GGA2	LOC9,LOC11	XTR6
CLGJ	beta1	GGA20	LOC18	XTR10
CLGJ	alpha2	GGA33	LOC1,LOC16	XTR5
CLGJ	beta2	GGA23	LOC6	XTR2
CLGD	alpha1	GGA2	LOC9,LOC11	XTR6
CLGD	beta1	GGA20	LOC18	XTR10
CLGD	alpha2	GGA11	LOC23	XTR4
CLGD	beta2	-	-	-
CLGB	alpha1	GGA2	LOC9,LOC11	XTR6
CLGB	beta1	GGA33	LOC4	XTR2
CLGB	alpha2	GGA7	LOC12	XTR9
CLGB	beta2	GGA27	LOC15	XTR10
CLGG	alpha1	GGA15	LOC20	XTR1
CLGG	beta1	-	-	-
CLGG	alpha2	GGA19	LOC22	XTR2
CLGG	beta2	GGA5	LOC9	XTR9
CLGH	alpha1	GGA14	LOC13	XTR9
CLGH	beta1	-	-	-
CLGH	alpha2	GGA18	LOC10	XTR10
CLGH	beta2	GGA1	LOC12	XTR4
