ID	NAME	Eggs_G	Embr_32cells	Embr_8h	Embr_15h	Embr_36h	PreMetam_G	Cirri_b	Epidermis_b	FemGonads_b	Gills_b	Gut_b	Hepatic_b	Hepatic_o	MaleGonads_b	Muscle_b	NeuralTube_b	NeuralTube_o
BL00000	FAM13A	2.43	47.63	14.68	70.39	41.31	37.83	62.78	37.36	62.20	74.78	27.70	25.03	24.98	103.63	50.14	80.74	43.79
BL00001	SCD	0.07	0.04	0.45	0.03	0.02	0.66	0.27	0.08	0.11	0.38	0.07	0.08	0.13	1.92	0.12	7.49	8.62
BL00002	STXBP5	7.88	77.72	71.95	12.23	18.35	15.00	19.80	8.45	7.03	17.94	45.88	26.24	33.12	18.18	19.93	15.37	33.23
BL00003	TUBA1A	0.00	0.01	0.01	0.04	0.09	3.79	10.16	39.04	0.15	0.35	1.11	5.19	6.35	0.35	0.63	1.05	2.16
BL00004	SLC6A13	19.83	0.73	1.50	4.47	36.24	48.71	103.02	189.19	2.05	92.94	56.25	6.47	12.84	4.45	17.42	72.35	110.74
BL00005	ADRA2A	0.00	0.00	0.10	0.05	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.86	0.97	0.00	0.00	0.00
BL00006	TET2	0.08	0.13	0.19	1.51	17.68	10.06	16.10	9.44	2.00	10.34	8.53	3.79	3.84	2.06	2.87	7.85	5.46
BL00007	FAT4	0.25	0.00	0.79	0.05	0.69	0.42	0.92	0.16	0.07	36.12	0.92	6.39	5.10	0.57	3.28	1.22	2.71
BL00010	ENSG00000261473	0.54	0.99	1.32	0.17	2.02	0.14	0.08	0.05	182.94	0.00	0.03	0.05	0.02	0.91	5.72	0.45	0.27
BL00011	ST6GAL1	0.04	0.05	0.07	0.01	0.07	0.08	0.29	0.04	0.49	0.04	0.06	0.06	0.10	0.22	0.10	0.12	0.02
BL00012	MTNR1A	0.00	0.01	0.01	0.00	0.00	0.65	0.04	0.06	0.03	0.11	0.02	0.00	0.00	0.08	0.00	5.16	1.06
BL00013	ABAT	0.30	0.19	0.67	0.33	0.87	4.15	1.78	0.67	5.43	1.34	1.68	10.23	38.65	4.18	2.25	22.95	70.68
BL00014	PROKR2	5.70	8.22	2.98	12.23	11.23	3.67	12.77	19.46	28.26	7.26	4.84	6.81	6.93	15.28	6.41	6.61	12.88
BL00015	SI	0.04	0.01	0.19	0.18	0.16	0.59	12.78	0.44	0.34	0.18	1.96	3.20	3.99	1.03	0.42	0.34	0.58
BL00018	PHYHD1	1.06	2.09	0.42	1.77	4.21	3.31	4.30	7.65	3.84	3.30	16.86	5.57	4.24	9.41	4.51	6.16	2.42
BL00019	PARK2	0.02	0.01	0.24	0.00	0.00	0.09	0.71	4.27	0.07	0.95	2.38	6.62	7.32	0.12	0.64	0.10	0.35
BL00020	ADAMTS18	0.42	0.38	18.75	0.39	0.51	48.84	0.06	0.03	0.78	0.07	73.00	10.07	75.35	6.60	25.11	1.29	1.96
BL00024	OVCH1	0.01	0.01	0.02	0.47	55.72	6.77	91.05	4.09	0.09	0.11	0.37	4.67	0.19	0.09	2.21	0.10	1.84
BL00025	Hypp4810	0.02	0.00	0.88	0.26	1.87	1.82	3.97	0.02	2.05	7.29	6.38	21.28	0.59	0.02	0.04	3.42	1.20
BL00026	NPHP3	0.00	0.00	0.01	0.01	0.05	0.21	0.06	0.08	0.02	1.53	0.04	0.02	0.10	0.05	0.08	0.01	0.03
BL00027	Hypp2444	45.83	28.88	13.88	2.26	14.41	46.95	104.67	95.16	7.65	46.61	65.69	42.21	14.02	69.70	24.38	17.63	34.32
BL00031	NT5E	0.00	0.00	0.09	0.02	0.00	0.72	0.48	0.00	0.03	0.00	0.44	0.15	0.15	0.08	0.25	0.16	0.11
BL00034	RET	0.00	0.00	0.00	0.00	0.04	0.05	0.29	0.05	0.02	0.09	0.17	0.08	0.13	0.00	0.12	0.02	0.00
BL00035	AC137834.1	0.00	0.00	0.43	0.00	0.00	0.70	0.33	0.12	0.95	0.00	0.10	0.02	0.04	0.07	0.00	0.13	2.01
