	JL_heart	JL_kidney	JL_muscle	JL_notochod	JL_ovary	JL_testis	Lj_brain	Lj_gill	Lj_heart	Lj_kidney	Lj_liver	LJ_Brain	LJ_Intestine
g19041	0	0	0	3.34020205804145	0	0	0	1.72321503648215	0	0	0	0	0
g19170	91.5171785850011	472.422523108842	231.708416878537	306.866327897008	682.396176876858	584.582772072765	138.980183427158	386.06098752623	282.111663536047	177.954957843146	76.2858124826215	188.456322705244	785.234675198251
g19236	102.117623980947	12.3328975627308	0	27.8274941727371	7.71706627973029	11.6982615185481	21.2852533176728	3.19027648646019	207.239476277658	5.17487903409764	3.30662624223499	57.0541349903787	0
g19358	7.5483171555284	0	5.01044276481041	0	9.23551867439426	47.0402546194902	12.4819938323258	14.6993493961053	61.5533236916629	39.016635132555	11.0803173702063	8.43464015618028	3.53912495560167
g19359	0	0	0	0	0	0	0	0	0	0	0	0	12.1406875499604
g19404	0	7.93020494982259	9.6145353560808	5.96447376910226	100.661134747996	9.02655139331273	38.3227037285022	268.731703922477	15.7486176956704	60.7270743132415	13.820308957408	24.8173457648655	80.136449936035
g19451	0	24.4698404472058	5.2741502787478	38.1718423872304	1.9443197209251	12.37901437355	0	1898.95901289398	0	44.4926540985277	0	4.43928429272647	1.86269734505351
g19452	0	0	0	0	0.616865141452922	0	0	4867.0954569731	0	4.34337673183242	0.925105262477843	0	0
g19457	4.21338398360195	43.2528160967813	25.1709446952561	30.3625950110118	17.0120296593108	22.9751638544376	421.024328183126	208.108841514873	203.507201349436	185.118421560991	88.1349098878183	49.4352527321152	44.4487257457083
g19472	9.7874204096148	158.245784690233	7.30881100554916	695.227817717414	43.1103844177229	47.6516340755538	27.7450347832565	6.49762733939599	16.8833628380331	17.9174252061326	8.08151588010462	51.9491292799606	34.4171784673191
g19510	0	11.1296880444157	17.9914272720157	11.1611629744312	0	106.97727281352	33.2949816123598	865.628353326197	47.6053431094578	52.9268115845108	11.9361142402629	10.0956623368915	83.8743841103976
g19534	0	0	0	0	0	0	0	0	0	0	0	0	0
g19535	0	0	0	0	0	0	0	0	0	0	0	0	0
g19536	0	0	0	0	0	0	0	0	0	0	0	0	0
g19576	0	8.86052834603963	0	302.109925948681	85.5406292754571	0	0	13.7522598057119	0	0	0	0	267.095126099129
g19585	161.71387160954	644.212531512059	204.271897334579	1192.67884526772	582.063340744038	436.204352037143	461.841840311786	252.531315581629	168.055785254926	227.685311203402	106.290827261708	396.466253133035	488.879668075149
g19615	0	0	0	0	57.1903939905786	678.257966807368	6.4952937959084	14.602915051426	0	0	0	15.3620593909813	0
g19617	0	0	0	0	0	0	0	0	0	0	0	3.15703339179065	0
g19622	0	0	0	207.653906095719	106.945754061472	87.2945901552162	15.8834495345323	0	0	0	12.3373281643054	25.0440295953812	15.7624892980579
g19671	0	0	0	0	0	0	0	0	0	0	0	0	0
g19735	0	966.318797268088	41.6554457309729	21.5344791506672	714.068573271988	692.537081898049	7.41227644944841	0	13.1214727226068	4883.62466587266	69353.8790313705	0	375.147245293778
g19744	0	37.1661075872341	8.01066264057169	20.7062299525646	22.1485289476423	21.9355636800287	2.85087555748016	388.838404702678	7.57008041688857	1.73276492544446	0	8.99016447013686	195.212367460563
g19776	0	2.80810590659103	0	14.0802363677439	0	0	0	1.45280283075726	0	2.35656029860446	0	0	0
g19783	0	27.816143414345	30.8334939372948	0	0	0	57.6092023030423	6.16755918717704	2.4281390016435	8.33688784883655	2.13083026350122	10.8136412258722	89.8393257960423
g19794	228.606176710288	182.526883928416	25.2908063366621	261.490103972388	102.558235946131	0	2160.14913669639	215.844991998221	876.326928259815	984.705553345439	531.327599609419	482.514970204347	89.3207726889947
g19795	20.7231706419583	182.952354520324	20.6335249832908	189.869854049881	123.987017603872	82.3295831627052	129.239691939101	84.7468317941733	94.8936343167546	73.1961910930174	67.3041033734172	115.782421206308	96.191601357379
g19806	3833.91608857879	1828.52824792575	9925.06081174387	549.129218342012	772.683073094139	0	1255.58668570478	543.828202495517	6330.4662306223	2404.32272608511	1373.76149109541	1865.31062930099	6092.79320704806
g19818	0	190.132170758768	0	19.0669867479866	0	14.427855872876	0	29.5100574997569	0	7.97793851090054	10.1954309135579	0	195.389190257176
g19820	0	1.78831042385777	3.46901981103791	0	0	54.2811559946219	11.1111524830072	0	0	1.50074872053517	0	7.7863867324634	9.80136499787792
g19823	0	35.8677282828766	69.5773274764068	0	4.27495624229601	18.1450763816083	53.6499922050688	30.9275711787845	0	12.5417373970489	3.20555033090031	19.5212195754391	405.453900481267
g19827	203.205490409145	156.451614795786	25.2908063366621	287.639114369627	177.146043906953	237.441285222189	846.058411872756	148.393431998777	414.263638813731	350.117530078378	265.66379980471	865.688623013679	71.4566181511958
g19828	1.45028388342579	20.8432004485957	25.9921826951013	13.4370934341439	7.45269696182764	12.4272559557562	142.864675775257	117.847668449273	102.799139886328	81.210989083229	64.6653105903967	12.154321051592	62.2185480231659
g19829	0	94.9561823905059	0	0	1.88625236895142	0	0	8.18776161842965	0	0	0	0	65.0544356000772
g19843	0	0	0	8.39647122847117	10813.5214247788	0	0	0	0	0	0	0	0
g19860	0	0	1.20761012521579	0	0	0.944798201770873	0	0.644148594810517	0	0	0	0	0
g19865	0	0	0	0	0	0	0	0	0	0	0	0	0
g19867	0	973.20750059178	19.5835889775038	194.382024191864	63.5316505860983	913.168364626633	2.78780308939432	1761.2020157377	0	391.413195614448	214.374724341713	19.7803508087414	226.85895364373
g19869	0	22.5341832010391	0	0	0	34.1993620690395	0	0	0	0	0	0	7.71907912127115
g19872	0	0	0	40.377148407501	0	0	0	0	0	22.525944030778	0	0	0
g19879	3257.13225224394	4853.92288676896	2937.53834662557	3425.98317638158	404.292321911535	808.981370004803	183.995003900024	3355.26742262722	473.766448745449	145.720929969015	86.6160502390759	997.80880746318	8941.56266068943
g19880	0	0	0	0	0	6.82302543741919	3.1036625527247	0	8.24131907454371	0	0	0	0
g19883	113.306983010001	35.7895850840032	26.0346535818581	17.9453992922226	9.59769587731166	0	12.353794082414	0	32.8036818065171	0	0	9.73934484264825	79.6881403401815
g19884	0	144.100171522434	0	105.972305294073	326.321659828597	36.4493200998974	0	0	0	28.2167088385535	0	5.22849038921117	315.913469721077
g19885	0	238.572483142951	110.188160387947	1731.69380058062	93.4281930629589	34.4831742023926	0	99.917871036521	0	0	0	6.18306954740741	23.3494136074966
g19886	0	0	0	0	0	0	0	0	15.2089797466579	0	0	0	102.312885080121
g19900	0	11.3136498302737	21.9465674822274	0	0	60.0961930572685	0	0	0	0	0	6.15751967324456	31.0039045697336
g19908	0	12.2592683235504	0	0	6244.91988406306	9.30273692101859	0	0	0	44.5811966937487	0	0	13.9980315408126
