fid	clg	Bflo	Spu	Blan	Skow	Pfla	Apla	Chipun	Lepocu	Xentro	Galgal	Lepocu	Petmar	Parata
OG_6628	CLGA1		LOC578715	BL09586	Sakowv30006424m	pfl_40v0_9_20150316_1g10237	LOC110980554	Chipun_Chipu0002554|alpha1;Chipun_Chipu0012983|alpha2	Lepocu_ENSLOCG00000009500|alpha1;Lepocu_ENSLOCG00000015828|alpha2	Xentro_egln2|alpha1;Xentro_egln1|alpha2	Galgal_ENSGALG00000010001|alpha1;Galgal_ENSGALG00000041422|alpha2	Lepocu_ENSLOCG00000009500|alpha1;Lepocu_ENSLOCG00000015828|alpha2	Petmar_LOC116953961|chrm53;Petmar_LOC116947785|chrm31;Petmar_LOC116939592|chrm6	Parata_EA18103|chr13;Parata_EA12406|chr10;Parata_EA55310|chr14
OG_1700	CLGA1		LOC578865	BL02832	Sakowv30002459m		LOC110976744	Chipun_Chipu0020963|alpha2	Lepocu_ENSLOCG00000016222|alpha2	Xentro_kcnk6|alpha1	Galgal_ENSGALG00000011005|alpha2	Lepocu_ENSLOCG00000016222|alpha2	Petmar_LOC116939679|chrm6;Petmar_LOC116948302|chrm33	Parata_EA47364|chr9;Parata_EA38796|chr1
OG_1150	CLGA1		LOC575813	BL06663	Sakowv30013194m	pfl_40v0_9_20150316_1g20928	LOC110975166	Chipun_Chipu0011142|alpha2	Lepocu_ENSLOCG00000016285|alpha2	Xentro_c6orf211|beta1	Galgal_ENSGALG00000026322|alpha2	Lepocu_ENSLOCG00000016285|alpha2	Petmar_ARMT1|chrm6	Parata_EA47347|chr9
OG_2751	CLGA1		LOC580795	BL21129	Sakowv30031205m	pfl_40v0_9_20150316_1g9151	LOC110979503	Chipun_Chipu0011948|alpha1;Chipun_Chipu0022910|alpha2	Lepocu_ENSLOCG00000010222|alpha1;Lepocu_ENSLOCG00000016361|alpha2	Xentro_ppp2r5e|alpha1;Xentro_ppp2r5a|alpha2	Galgal_ENSGALG00000011840|alpha1;Galgal_ENSGALG00000009828|alpha2	Lepocu_ENSLOCG00000010222|alpha1;Lepocu_ENSLOCG00000016361|alpha2	Petmar_LOC116947244|chrm29;Petmar_PPP2R5E|chrm6;Petmar_LOC116947830|chrm31	Parata_EA53345|chr14;Parata_EA48022|chr9
OG_3571	CLGA1		LOC115929506	BL15153	Sakowv30033198m	pfl_40v0_9_20150316_1g12625	LOC110979502	Chipun_Chipu0012844|alpha2	Lepocu_ENSLOCG00000008909|alpha1;Lepocu_ENSLOCG00000016282|alpha2	Xentro_Xetrov90021168m|alpha1;Xentro_lhcgr|alpha2	Galgal_ENSGALG00000010572|alpha1;Galgal_ENSGALG00000009095|alpha2	Lepocu_ENSLOCG00000008909|alpha1;Lepocu_ENSLOCG00000016282|alpha2	Petmar_LOC103091684|chrm33;Petmar_LOC103091775|chrm17	Parata_EA36232|chr1;Parata_EA11448|chr10
OG_17914	CLGA1		LOC592971	BL10577	Sakowv30032286m	pfl_40v0_9_20150316_1g9348	LOC110981963	Chipun_Chipu0010823|alpha1;Chipun_Chipu0001098|alpha2	Lepocu_ENSLOCG00000014057|alpha1;Lepocu_ENSLOCG00000016619|alpha2	Xentro_actn4|alpha1;Xentro_actn2|alpha2	Galgal_ENSGALG00000042458|alpha1;Galgal_ENSGALG00000014463|alpha2	Lepocu_ENSLOCG00000014057|alpha1;Lepocu_ENSLOCG00000016619|alpha2	Petmar_LOC116953988|chrm53;Petmar_ACTN2|chrm29;Petmar_LOC116943338|chrm17	Parata_EA19281|chr13;Parata_EA60018|chr4;Parata_EA37095|chr1
OG_354	CLGA1		LOC589247	BL82149	Sakowv30029818m		LOC110978342	Chipun_Chipu0002090|alpha1;Chipun_Chipu0015161|alpha2	Lepocu_ENSLOCG00000009355|alpha1;Lepocu_ENSLOCG00000015899|alpha2	Xentro_arid4a|alpha1;Xentro_arid4b|alpha2	Galgal_ENSGALG00000012037|alpha1;Galgal_ENSGALG00000034003|alpha2	Lepocu_ENSLOCG00000009355|alpha1;Lepocu_ENSLOCG00000015899|alpha2	Petmar_ARID4A|chrm6;Petmar_LOC116948308|chrm33	Parata_EA38261|chr1
OG_2853	CLGA1		LOC754165	BL96127		pfl_40v0_9_20150316_1g33786		Chipun_Chipu0019006|alpha1	Lepocu_ENSLOCG00000012333|alpha1	Xentro_pigh|alpha2	Galgal_ENSGALG00000009510|alpha1	Lepocu_ENSLOCG00000012333|alpha1	Petmar_PIGH|chrm17	Parata_EA12217|chr10
OG_6433	CLGA1		LOC582440	BL09986	Sakowv30015912m	pfl_40v0_9_20150316_1g7366	LOC110978196	Chipun_Chipu0011945|alpha1;Chipun_Chipu0001878|alpha2	Lepocu_ENSLOCG00000010194|alpha1;Lepocu_ENSLOCG00000015579|alpha2	Xentro_kcnh5|alpha1;Xentro_Xetrov90013115m|alpha2	Galgal_ENSGALG00000011858|alpha1;Galgal_ENSGALG00000009877|alpha2	Lepocu_ENSLOCG00000010194|alpha1;Lepocu_ENSLOCG00000015579|alpha2	Petmar_LOC116947904|chrm31;Petmar_KCNH1|chrm17;Petmar_LOC116948435|chrm33	Parata_EA52402|chr14;Parata_EA54657|chr14;Parata_EA11406|chr10;Parata_EA11561|chr10
OG_3466	CLGA1		LOC100888919	BL21384	Sakowv30037603m	pfl_40v0_9_20150316_1g1940	LOC110979269	Chipun_Chipu0018886|alpha1;Chipun_Chipu0011667|alpha2	Lepocu_ENSLOCG00000012860|alpha1;Lepocu_ENSLOCG00000016437|alpha2	Xentro_plcb2|alpha1;Xentro_plcb1|alpha2	Galgal_ENSGALG00000042105|alpha1;Galgal_ENSGALG00000008875|alpha2	Lepocu_ENSLOCG00000012860|alpha1;Lepocu_ENSLOCG00000016437|alpha2	Petmar_PLCB1|chrm6;Petmar_LOC116948421|chrm33;Petmar_LOC116943154|chrm17	Parata_EA50167|chr9;Parata_EA49373|chr9;Parata_EA12901|chr10;Parata_EA09362|chr10
OG_1137	CLGA1		LOC592215	BL20962	Sakowv30005398m	pfl_40v0_9_20150316_1g10962	LOC110975179	Chipun_Chipu0005812|alpha1;Chipun_Chipu0012984|alpha2	Lepocu_ENSLOCG00000012049|alpha1;Lepocu_ENSLOCG00000015824|alpha2	Xentro_ero1l|alpha1;Xentro_ero1lb|alpha2	Galgal_ENSGALG00000012404|alpha1;Galgal_ENSGALG00000040000|alpha2	Lepocu_ENSLOCG00000012049|alpha1;Lepocu_ENSLOCG00000015824|alpha2	Petmar_ERO1B|chrm53	Parata_EA10203|chr10
OG_18314	CLGA1		LOC575022	BL17688	Sakowv30032009m	pfl_40v0_9_20150316_1g18018	LOC110976720	Chipun_Chipu0002540|alpha1;Chipun_Chipu0017457|alpha2	Lepocu_ENSLOCG00000009572|alpha1;Lepocu_ENSLOCG00000015922|alpha2	Xentro_heatr5a|alpha1;Xentro_heatr5b|alpha2	Galgal_ENSGALG00000031586|alpha1;Galgal_ENSGALG00000010571|alpha2	Lepocu_ENSLOCG00000009572|alpha1;Lepocu_ENSLOCG00000015922|alpha2	Petmar_HEATR5B|chrm33	Parata_EA38983|chr1;Parata_EA38774|chr1
OG_8791	CLGA1		LOC577494	BL19094	Sakowv30001307m	pfl_40v0_9_20150316_1g2362	LOC110983171	Chipun_Chipu0010607|alpha1;Chipun_Chipu0009313|alpha2	Lepocu_ENSLOCG00000013957|alpha1;Lepocu_ENSLOCG00000016446|alpha2	Xentro_zfp36l1|alpha1;Xentro_zfp36l2|alpha2	Galgal_ENSGALG00000039228|alpha1;Galgal_ENSGALG00000033129|alpha2	Lepocu_ENSLOCG00000013957|alpha1;Lepocu_ENSLOCG00000016446|alpha2	Petmar_LOC116947728|chrm31;Petmar_LOC116939448|chrm6;Petmar_LOC116947297|chrm29	Parata_EA20158|chr13;Parata_EA53902|chr14
OG_17843	CLGA1		LOC115929640	BL12432	Sakowv30001328m	pfl_40v0_9_20150316_1g21425	LOC110988380	Chipun_Chipu0013076|alpha1;Chipun_Chipu0010108|alpha2	Lepocu_ENSLOCG00000010649|alpha1;Lepocu_ENSLOCG00000016793|alpha2	Xentro_Xetrov90021457m|alpha1;Xentro_angel2-like|alpha2	Galgal_ENSGALG00000010372|alpha1;Galgal_ENSGALG00000009802|alpha2	Lepocu_ENSLOCG00000010649|alpha1;Lepocu_ENSLOCG00000016793|alpha2	Petmar_LOC116947387|chrm29	Parata_EA09214|chr10;Parata_EA20623|chr13
OG_3547	CLGA1		LOC577851	BL18513		pfl_40v0_9_20150316_1g10637	LOC110980525	Chipun_Chipu0011325|alpha1;Chipun_Chipu0015977|alpha2	Lepocu_ENSLOCG00000011202|alpha1;Lepocu_ENSLOCG00000016053|alpha2	Xentro_peli1|alpha1;Xentro_peli2|alpha2	Galgal_ENSGALG00000012124|alpha1;Galgal_ENSGALG00000008837|alpha2	Lepocu_ENSLOCG00000011202|alpha1;Lepocu_ENSLOCG00000016053|alpha2	Petmar_LOC116939693|chrm6;Petmar_LOC116954019|chrm53;Petmar_LOC116947282|chrm29	Parata_EA47671|chr9;Parata_EA49564|chr9;Parata_EA10663|chr10;Parata_EA19288|chr13;Parata_EA20793|chr13
OG_1783	CLGA1		LOC587831	BL01753	Sakowv30044129m	pfl_40v0_9_20150316_1g24028	LOC110988957	Chipun_Chipu0019762|alpha1;Chipun_Chipu0011987|alpha2	Lepocu_ENSLOCG00000012854|alpha1;Lepocu_ENSLOCG00000016429|alpha2	Xentro_pak4|alpha1;Xentro_pak7|alpha2	Galgal_ENSGALG00000034605|alpha1;Galgal_ENSGALG00000008947|alpha2	Lepocu_ENSLOCG00000012854|alpha1;Lepocu_ENSLOCG00000016429|alpha2	Petmar_PAK4|chrm33;Petmar_LOC116943176|chrm17	Parata_EA35925|chr1;Parata_EA10254|chr10;Parata_EA10707|chr10
OG_12395	CLGA1		LOC756179	BL21132	Sakowv30040055m	pfl_40v0_9_20150316_1g6071	LOC110983219	Chipun_Chipu0002584|alpha1;Chipun_Chipu0017495|alpha2	Lepocu_ENSLOCG00000008734|alpha1;Lepocu_ENSLOCG00000016142|alpha2	Xentro_ccdc85c|alpha1;Xentro_ccdc85a|alpha2	Galgal_ENSGALG00000011139|alpha1;Galgal_ENSGALG00000043080|alpha2	Lepocu_ENSLOCG00000008734|alpha1;Lepocu_ENSLOCG00000016142|alpha2	Petmar_LOC116953978|chrm53	Parata_EA12636|chr10
OG_3931	CLGA1		LOC581399	BL17848	Sakowv30027886m	pfl_40v0_9_20150316_1g23192	LOC110989928	Chipun_Chipu0013084|alpha1;Chipun_Chipu0006846|alpha2	Lepocu_ENSLOCG00000014006|alpha1	Xentro_rps6ka5|alpha1	Galgal_ENSGALG00000030580|alpha1	Lepocu_ENSLOCG00000014006|alpha1	Petmar_RPS6KA5|chrm53	Parata_EA10850|chr10
OG_5340	CLGA1		FoxG	BL11067	Sakowv30044181m	pfl_40v0_9_20150316_1g6847	LOC110988512	Chipun_Chipu0006553|alpha1;Chipun_Chipu0001108|alpha2	Lepocu_ENSLOCG00000017702|alpha1;Lepocu_ENSLOCG00000017354|alpha2	Xentro_foxg1|alpha1	Galgal_ENSGALG00000036364|alpha1	Lepocu_ENSLOCG00000017702|alpha1;Lepocu_ENSLOCG00000017354|alpha2	Petmar_LOC116947355|chrm29;Petmar_FOXG1|chrm31;Petmar_LOC116943202|chrm17	Parata_EA54748|chr14;Parata_EA59979|chr4
OG_5304	CLGA1		LOC575892	BL18606	Sakowv30006952m	pfl_40v0_9_20150316_1g33622	LOC110986339	Chipun_Chipu0006226|alpha1;Chipun_Chipu0016804|alpha2	Lepocu_ENSLOCG00000014049|alpha1;Lepocu_ENSLOCG00000015740|alpha2	Xentro_slc8a2|alpha1;Xentro_slc8a1-like|alpha2	Galgal_ENSGALG00000009400|alpha1;Galgal_ENSGALG00000008544|alpha2	Lepocu_ENSLOCG00000014049|alpha1;Lepocu_ENSLOCG00000015740|alpha2	Petmar_LOC116947943|chrm31;Petmar_LOC116947340|chrm29;Petmar_LOC116943285|chrm17;Petmar_LOC116948438|chrm33	Parata_EA55456|chr14;Parata_EA21242|chr13;Parata_EA57881|chr4;Parata_EA36294|chr1;Parata_EA60770|chr4;Parata_EA39208|chr1
