s2g	s2gp	s2chr	s2gi	s1g	s1gp	s1chr	s1gi	s1tot	s2tot	n	fishp	padj	scol	sxchr	clg
1	EA36862	3801395	chr1	8	LOC116941391	1535597	chrm1	17	324	587	36	0.000891231577079039	0.62118840922409	NS	NA	NA
2	EA35945	3812855	chr1	9	GSR	1532354	chrm1	16	324	587	36	0.000891231577079039	0.62118840922409	NS	NA	NA
3	EA36937	3873118	chr1	10	LOC116941946	1061373	chrm1	9	324	587	36	0.000891231577079039	0.62118840922409	NS	NA	NA
4	EA37640	24826730	chr1	80	TXN	7642807	chrm1	48	324	587	36	0.000891231577079039	0.62118840922409	NS	chrm1	L
5	EA35887	25211248	chr1	82	LOC116946187	14223094	chrm1	93	324	587	36	0.000891231577079039	0.62118840922409	NS	NA	NA
6	EA37793	25551868	chr1	83	LOC116942972	9078838	chrm1	50	324	587	36	0.000891231577079039	0.62118840922409	NS	NA	NA
7	EA39421	26110501	chr1	85	ECPAS	8458991	chrm1	49	324	587	36	0.000891231577079039	0.62118840922409	NS	chrm1	L
8	EA39200	28015296	chr1	91	PSMD2	9603153	chrm1	53	324	587	36	0.000891231577079039	0.62118840922409	NS	NA	NA
9	EA35851	30881424	chr1	100	LOC116943050	9510958	chrm1	52	324	587	36	0.000891231577079039	0.62118840922409	NS	NA	NA
10	EA38338	33333148	chr1	107	LOC116941350	34228338	chrm1	323	324	587	36	0.000891231577079039	0.62118840922409	NS	NA	NA
11	EA38754	48231225	chr1	172	DHX29	12463747	chrm1	70	324	587	36	0.000891231577079039	0.62118840922409	NS	NA	NA
12	EA39400	48319217	chr1	173	CCDC125	12548216	chrm1	71	324	587	36	0.000891231577079039	0.62118840922409	NS	NA	NA
13	EA38257	56338173	chr1	197	LOC116950944	444162	chrm1	4	324	587	36	0.000891231577079039	0.62118840922409	NS	chrm1	L
14	EA38553	56998874	chr1	198	LOC116942168	969932	chrm1	7	324	587	36	0.000891231577079039	0.62118840922409	NS	NA	NA
15	EA39189	57042475	chr1	199	LOC116942001	999406	chrm1	8	324	587	36	0.000891231577079039	0.62118840922409	NS	NA	NA
16	EA37478	60397186	chr1	212	LOC116938817	23014551	chrm1	188	324	587	36	0.000891231577079039	0.62118840922409	NS	chrm1	L
17	EA39735	93847658	chr1	307	LOC116941019	33260251	chrm1	302	324	587	36	0.000891231577079039	0.62118840922409	NS	NA	NA
18	EA37353	112936803	chr1	378	LOC116940390	3754723	chrm1	31	324	587	36	0.000891231577079039	0.62118840922409	NS	NA	NA
19	EA24142	123773659	chr1	412	NUP155	13798412	chrm1	83	324	587	36	0.000891231577079039	0.62118840922409	NS	chrm1	L
20	EA21770	124058404	chr1	413	TRAPPC13	11570968	chrm1	65	324	587	36	0.000891231577079039	0.62118840922409	NS	chrm1	L
21	EA22819	124061929	chr1	414	TSPAN1	13014399	chrm1	78	324	587	36	0.000891231577079039	0.62118840922409	NS	NA	NA
22	EA22932	124576622	chr1	415	LOC116941637	13070057	chrm1	79	324	587	36	0.000891231577079039	0.62118840922409	NS	NA	NA
23	EA23489	125160412	chr1	418	THOP1	9682521	chrm1	55	324	587	36	0.000891231577079039	0.62118840922409	NS	NA	NA
24	EA23539	127888733	chr1	423	LOC116936807	9747	chrm1	0	324	587	36	0.000891231577079039	0.62118840922409	NS	chrm1	L
25	EA23775	128611180	chr1	429	MTAP	12348389	chrm1	68	324	587	36	0.000891231577079039	0.62118840922409	NS	chrm1	L
26	EA23183	128634684	chr1	430	WDR83OS	12561066	chrm1	72	324	587	36	0.000891231577079039	0.62118840922409	NS	chrm1	L
27	EA22076	128660416	chr1	431	LOC116943518	12572054	chrm1	73	324	587	36	0.000891231577079039	0.62118840922409	NS	chrm1	L
28	EA24221	128701130	chr1	432	PIGG	1365438	chrm1	12	324	587	36	0.000891231577079039	0.62118840922409	NS	chrm1	L
29	EA22745	150148406	chr1	492	CMPK1	1462744	chrm1	14	324	587	36	0.000891231577079039	0.62118840922409	NS	chrm1	L
30	EA21951	150219030	chr1	493	SMIM7	1477485	chrm1	15	324	587	36	0.000891231577079039	0.62118840922409	NS	NA	NA
31	EA22424	150650363	chr1	494	LOC116943281	13671631	chrm1	82	324	587	36	0.000891231577079039	0.62118840922409	NS	chrm1	L
32	EA23028	151383900	chr1	496	LOC116941656	13191493	chrm1	81	324	587	36	0.000891231577079039	0.62118840922409	NS	NA	NA
33	EA22319	151665997	chr1	497	RIC1	13136849	chrm1	80	324	587	36	0.000891231577079039	0.62118840922409	NS	chrm1	L
34	EA21828	152908593	chr1	502	WDR83	22807849	chrm1	184	324	587	36	0.000891231577079039	0.62118840922409	NS	chrm1	L
35	EA22269	157594311	chr1	518	LOC116941938	666374	chrm1	5	324	587	36	0.000891231577079039	0.62118840922409	NS	NA	NA
36	EA22669	205556837	chr1	633	LOC116941378	1230151	chrm1	11	324	587	36	0.000891231577079039	0.62118840922409	NS	NA	NA
37	EA36061	55761243	chr1	196	VWA8	9573024	chrm2	378	215	587	1	0.999999549357676	1	NS	NA	NA
38	EA38809	92755621	chr1	303	LOC116954501	14567253	chrm3	697	309	587	2	0.99999998054239	1	NS	NA	NA
39	EA39530	110016189	chr1	372	LOC116955320	16314341	chrm3	728	309	587	2	0.99999998054239	1	NS	NA	NA
40	EA37057	24421745	chr1	78	CASP10	23429163	chrm4	1060	221	587	15	0.469477003796436	1	NS	chrm4	B3
41	EA37681	38682882	chr1	128	LOC116938536	7455255	chrm4	921	221	587	15	0.469477003796436	1	NS	NA	NA
42	EA36718	39712932	chr1	133	LOC116938643	11568250	chrm4	973	221	587	15	0.469477003796436	1	NS	chrm4	B3
43	EA38647	45417193	chr1	157	TWIST2	5125556	chrm4	889	221	587	15	0.469477003796436	1	NS	chrm4	B1
44	EA36410	89001801	chr1	284	LOC116938529	7322020	chrm4	917	221	587	15	0.469477003796436	1	NS	NA	NA
45	EA38093	96001362	chr1	320	LOC116938513	6622049	chrm4	906	221	587	15	0.469477003796436	1	NS	NA	NA
46	EA35998	96496242	chr1	322	LOC116938507	6352902	chrm4	903	221	587	15	0.469477003796436	1	NS	NA	NA
47	EA37578	96502578	chr1	323	LOC116938510	6373829	chrm4	904	221	587	15	0.469477003796436	1	NS	NA	NA
48	EA39459	96566801	chr1	324	LOC116938508	6348197	chrm4	902	221	587	15	0.469477003796436	1	NS	chrm4	B2
49	EA36592	96586697	chr1	325	LOC103091696	6330975	chrm4	900	221	587	15	0.469477003796436	1	NS	NA	NA
50	EA36213	96590708	chr1	326	LOC116938506	6324573	chrm4	899	221	587	15	0.469477003796436	1	NS	chrm4	B2
51	EA38604	96810828	chr1	327	LOC116938504	6339365	chrm4	901	221	587	15	0.469477003796436	1	NS	NA	NA
52	EA38539	101749768	chr1	339	LOC116938252	4119722	chrm4	882	221	587	15	0.469477003796436	1	NS	chrm4	B2
53	EA23997	146627454	chr1	482	LOC116938471	5400166	chrm4	893	221	587	15	0.469477003796436	1	NS	NA	NA
54	EA23356	149868024	chr1	491	LCT	3696751	chrm4	877	221	587	15	0.469477003796436	1	NS	NA	NA
55	EA39134	2935083	chr1	7	LOC116939068	9216574	chrm5	1110	170	587	4	0.996517255949503	1	NS	NA	NA
56	EA38856	5470689	chr1	14	ABCF1	5019112	chrm5	1089	170	587	4	0.996517255949503	1	NS	chrm5	M
57	EA37313	41665860	chr1	142	LETMD1	4289746	chrm5	1083	170	587	4	0.996517255949503	1	NS	NA	NA
58	EA24451	162308067	chr1	529	CHD1L	18060868	chrm5	1214	170	587	4	0.996517255949503	1	NS	NA	NA
59	EA24425	171823060	chr1	568	MGAT2	11011085	chrm6	1393	254	587	1	0.99999996693177	1	NS	NA	NA
60	EA22730	130731857	chr1	434	NAV2	9607380	chrm7	1562	144	587	21	0.000433630432687953	0.302240411583503	NS	chrm7	O2
61	EA23917	131212338	chr1	435	LOC116939955	9465616	chrm7	1561	144	587	21	0.000433630432687953	0.302240411583503	NS	chrm7	O2
62	EA22688	131395366	chr1	436	ZDHHC17	6896453	chrm7	1527	144	587	21	0.000433630432687953	0.302240411583503	NS	chrm7	O1
63	EA21850	131416374	chr1	437	LOC116939892	6851936	chrm7	1526	144	587	21	0.000433630432687953	0.302240411583503	NS	chrm7	O1
64	EA22518	131949507	chr1	438	GOLT1B	9428713	chrm7	1560	144	587	21	0.000433630432687953	0.302240411583503	NS	chrm7	O1
65	EA21893	132283599	chr1	439	UNC80	11387466	chrm7	1576	144	587	21	0.000433630432687953	0.302240411583503	NS	NA	NA
66	EA21745	132577048	chr1	440	LOC116939983	11271030	chrm7	1575	144	587	21	0.000433630432687953	0.302240411583503	NS	chrm7	O1
67	EA22298	133612143	chr1	441	MIOX	10991951	chrm7	1574	144	587	21	0.000433630432687953	0.302240411583503	NS	NA	NA
68	EA21977	133974687	chr1	442	LOC116939979	10896432	chrm7	1573	144	587	21	0.000433630432687953	0.302240411583503	NS	chrm7	O1
69	EA24386	134233865	chr1	443	LOC103091706	10884018	chrm7	1572	144	587	21	0.000433630432687953	0.302240411583503	NS	NA	NA
70	EA24045	134636621	chr1	444	LOC116939969	10728783	chrm7	1569	144	587	21	0.000433630432687953	0.302240411583503	NS	chrm7	O2
