s1chr	chr1	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9
1	chrm1	36	7	30	165	0	1	3	2	1	2	6	13	4	1	46	6	1
2	chrm10	3	1	1	0	3	0	0	0	1	1	0	71	5	1	1	62	0
3	chrm11	1	0	0	3	0	1	0	0	0	146	0	1	1	1	0	1	0
4	chrm12	2	76	3	0	0	0	5	0	2	0	1	19	1	1	1	0	4
5	chrm13	1	3	145	3	1	0	1	3	0	2	1	2	13	0	0	0	1
6	chrm14	2	105	0	0	1	1	3	0	0	0	5	3	1	1	0	0	0
7	chrm15	1	1	1	0	1	0	97	0	0	1	1	1	1	1	0	0	0
8	chrm16	2	0	2	1	2	0	0	1	0	1	140	0	0	0	5	1	0
9	chrm17	8	80	1	1	3	2	0	1	1	2	1	23	2	1	0	0	3
10	chrm19	81	0	0	1	1	2	0	0	0	1	1	4	9	0	18	0	0
11	chrm2	1	0	3	0	3	0	0	0	1	2	0	104	6	1	0	94	0
12	chrm20	1	1	88	0	3	3	0	0	0	2	1	0	0	0	2	6	4
13	chrm21	5	7	6	2	2	5	41	4	5	6	2	8	2	7	3	9	6
14	chrm22	2	0	1	2	1	1	7	0	1	0	3	1	2	114	3	1	2
15	chrm23	1	0	5	0	2	0	1	0	9	0	0	1	1	64	1	0	2
16	chrm25	2	24	1	2	0	9	0	2	0	0	1	36	2	2	0	2	70
17	chrm26	1	0	0	0	0	3	0	0	2	3	0	0	0	0	3	97	1
18	chrm28	1	0	2	0	0	0	0	1	0	4	104	3	0	1	1	0	0
19	chrm29	1	0	0	0	148	2	0	0	0	1	0	1	2	2	0	1	4
20	chrm3	2	7	4	12	1	8	6	7	4	224	2	1	10	6	9	3	3
21	chrm30	116	0	0	1	1	1	0	0	1	0	4	1	0	0	0	0	0
22	chrm31	1	2	0	0	1	145	0	1	0	1	4	1	1	0	1	1	5
23	chrm33	113	6	1	0	1	1	0	0	0	1	0	4	1	0	0	1	2
24	chrm34	2	0	0	0	0	0	1	0	0	0	0	2	108	1	0	0	0
25	chrm35	4	0	2	0	1	1	1	0	0	0	0	0	4	2	98	1	0
26	chrm36	1	0	0	0	50	0	0	2	0	0	48	1	0	0	0	1	1
27	chrm37	11	0	0	0	0	64	0	1	2	1	0	2	1	1	50	0	0
28	chrm38	1	0	0	0	2	1	2	5	1	30	4	100	1	1	0	0	4
29	chrm4	15	1	0	1	1	1	1	3	1	1	0	0	186	4	1	4	1
30	chrm40	1	2	15	0	0	0	0	1	0	1	1	1	86	3	0	2	2
31	chrm41	1	1	1	0	0	0	0	0	2	0	88	0	0	4	1	0	1
32	chrm43	1	1	0	2	2	2	0	1	149	0	2	1	1	1	0	2	1
33	chrm44	35	0	32	1	1	0	0	1	0	1	0	0	0	0	22	0	0
34	chrm47	4	1	0	0	0	0	0	0	44	0	2	0	1	44	2	0	5
35	chrm48	2	3	0	0	0	1	0	1	0	1	56	1	1	1	1	1	1
36	chrm49	3	1	1	3	1	3	2	86	0	0	0	1	5	1	0	1	0
37	chrm5	4	2	5	4	1	0	2	105	3	7	10	15	3	2	5	0	2
38	chrm50	2	0	2	0	1	0	72	1	1	1	0	1	1	1	2	0	2
39	chrm51	1	1	0	1	1	4	3	2	2	64	1	1	0	0	1	0	0
40	chrm52	2	49	1	0	1	0	1	0	0	1	0	37	1	1	0	0	2
41	chrm53	1	61	0	0	1	0	1	3	1	0	0	7	1	0	0	1	1
42	chrm55	12	1	1	0	1	4	43	0	2	0	0	2	0	1	2	0	4
43	chrm58	2	0	0	0	2	42	0	1	1	0	2	0	0	0	24	0	1
44	chrm6	1	4	0	2	3	6	0	1	0	3	5	6	1	0	0	0	222
45	chrm61	1	0	2	1	1	0	1	44	0	0	0	0	0	0	4	1	0
46	chrm62	35	2	0	0	1	0	0	1	0	0	1	0	0	1	4	1	0
47	chrm63	4	8	3	0	1	3	1	2	0	2	3	9	1	2	1	1	43
48	chrm64	3	0	1	0	0	0	1	0	1	1	0	1	0	0	0	1	34
49	chrm66	4	1	4	1	1	2	0	5	0	0	0	4	4	1	0	0	1
50	chrm67	20	0	1	1	1	0	6	0	0	2	2	0	0	0	6	1	2
51	chrm68	2	0	1	0	1	2	0	1	1	1	1	3	0	2	0	2	0
52	chrm7	21	0	1	0	0	0	1	2	1	0	0	1	3	3	111	0	0
53	chrm71	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0
54	chrm8	2	2	1	0	3	0	4	0	8	1	4	3	0	99	0	0	0
55	chrm9	4	0	1	194	1	2	2	0	0	4	0	1	1	1	0	0	0
56	chrm27	0	3	103	2	0	0	0	1	2	1	0	3	0	5	0	1	1
57	chrm32	0	1	1	0	2	0	0	29	0	0	0	0	55	1	0	0	1
58	chrm39	0	8	1	2	2	3	0	1	1	2	1	68	2	0	2	2	1
59	chrm42	0	1	0	0	47	1	0	0	0	0	22	3	1	1	0	0	0
60	chrm45	0	1	2	1	0	1	1	1	0	0	3	0	1	0	0	5	74
61	chrm46	0	1	0	0	1	1	0	0	0	0	98	1	0	1	0	0	1
62	chrm54	0	2	2	0	0	0	0	0	1	0	1	3	0	0	0	107	3
63	chrm56	0	1	1	0	78	0	0	0	0	0	0	1	1	1	0	2	0
64	chrm59	0	1	0	0	1	0	62	0	1	1	0	0	1	0	0	0	0
65	chrm74	0	1	1	0	2	0	1	0	0	31	0	2	1	0	1	1	0
66	chrm24	0	0	1	0	0	0	0	2	4	3	0	0	2	101	1	0	0
67	chrm57	0	0	2	3	0	0	0	0	0	0	0	0	1	0	1	78	1
68	chrm60	0	0	3	2	0	70	0	2	0	0	0	0	0	0	1	0	3
69	chrm69	0	0	2	0	0	40	0	0	1	0	0	0	0	0	0	0	0
70	chrm18	0	0	0	2	121	0	0	8	0	0	1	0	2	0	0	1	0
71	chrm65	0	0	0	2	0	0	0	0	1	1	0	2	47	1	1	1	0
72	chrm72	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0
73	chrm70	0	0	0	0	0	0	0	0	1	0	26	0	0	0	0	0	0
74	S68_unloc.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
