s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg
BL23168	960239	BFL_1	13	EA37404	82900932	chr1	208	A
BL14195	1501641	BFL_1	19	EA35925	15891433	chr1	50	A
BL25559	2618895	BFL_1	29	EA36483	70692309	chr1	185	A
BL25551	3061396	BFL_1	34	EA22883	152946468	chr1	393	A
BL25508	3817268	BFL_1	47	EA38270	16325845	chr1	53	A
BL25506	3826297	BFL_1	48	EA35912	94795010	chr1	239	A
BL25503	3865953	BFL_1	50	EA36400	83768666	chr1	210	A
BL25500	3893197	BFL_1	53	EA22565	171844227	chr1	460	A
BL01998	3974437	BFL_1	54	EA36300	81315539	chr1	203	A
BL01977	4323329	BFL_1	60	EA38683	108329540	chr1	281	A
BL01947	4780232	BFL_1	72	EA37348	109039823	chr1	283	A
BL01944	4839306	BFL_1	74	EA36359	28846627	chr1	76	A
BL01930	5155186	BFL_1	83	EA22184	199900692	chr1	498	A
BL01924	5283809	BFL_1	87	EA36682	5814825	chr1	16	A
BL01920	5340038	BFL_1	89	EA39518	78021842	chr1	197	A
BL01911	5579555	BFL_1	94	EA38953	36964261	chr1	99	A
BL01896	5731113	BFL_1	99	EA38364	67976891	chr1	181	A
BL01849	6340047	BFL_1	119	EA38136	78311828	chr1	198	A
BL01829	6615547	BFL_1	126	EA39302	105444324	chr1	271	A
BL01826	6671366	BFL_1	129	EA37095	67207422	chr1	179	A
BL01816	6771213	BFL_1	135	EA23254	166110238	chr1	436	A
BL01814	6789611	BFL_1	136	EA23161	166009383	chr1	435	A
BL01798	6899913	BFL_1	139	EA39424	10375475	chr1	38	A
BL01773	7189531	BFL_1	151	EA22584	171706567	chr1	455	A
BL01756	7488569	BFL_1	157	EA39310	15125570	chr1	47	A
BL01747	7712033	BFL_1	163	EA23770	171863931	chr1	461	A
BL01734	7868085	BFL_1	170	EA35891	32931599	chr1	85	A
BL01714	8030952	BFL_1	176	EA36657	9993733	chr1	35	A
BL01710	8090743	BFL_1	178	EA37109	10369063	chr1	37	A
BL01709	8095012	BFL_1	179	EA24214	171744322	chr1	456	A
BL01708	8103870	BFL_1	180	EA22300	171749394	chr1	457	A
BL01707	8109776	BFL_1	181	EA39461	74509384	chr1	190	A
BL01688	8427412	BFL_1	188	EA38288	95736382	chr1	244	A
BL01661	8792214	BFL_1	197	EA36038	108257357	chr1	280	A
BL01645	9029942	BFL_1	200	EA36979	109612567	chr1	286	A
BL01643	9082100	BFL_1	201	EA35777	109773476	chr1	287	A
BL01640	9094920	BFL_1	202	EA38368	109851234	chr1	288	A
BL01630	9237355	BFL_1	207	EA36677	10192961	chr1	36	A
BL01618	9405738	BFL_1	212	EA38313	74837395	chr1	193	A
BL01611	9507134	BFL_1	215	EA39666	9980006	chr1	34	A
BL01607	9536640	BFL_1	216	EA36369	14718434	chr1	46	A
BL01594	9673800	BFL_1	226	EA36462	107996759	chr1	278	A
BL01561	10214914	BFL_1	235	EA36351	94255187	chr1	238	A
BL01546	10367657	BFL_1	239	EA37409	105314498	chr1	269	A
BL01494	10952001	BFL_1	262	EA22203	172299736	chr1	463	A
BL01466	11417698	BFL_1	271	EA36732	36311888	chr1	96	A
BL01433	11764882	BFL_1	288	EA38327	74572127	chr1	191	A
BL01429	11798270	BFL_1	290	EA35905	73708202	chr1	186	A
BL01422	11862889	BFL_1	293	EA38881	19126265	chr1	57	A
BL01394	12318119	BFL_1	305	EA37120	11194138	chr1	41	A
BL01370	12567731	BFL_1	314	EA21974	171571197	chr1	452	A
BL01365	12617329	BFL_1	318	EA38774	21273570	chr1	63	A
BL01364	12650585	BFL_1	319	EA36346	94812374	chr1	240	A
BL01362	12685544	BFL_1	321	EA36830	14182472	chr1	44	A
BL01279	14072910	BFL_1	363	EA38659	6111722	chr1	17	A
BL01278	14096795	BFL_1	364	EA37385	6198607	chr1	18	A
BL01274	14140920	BFL_1	366	EA38262	120156021	chr1	312	A
BL01267	14224519	BFL_1	370	EA38809	92755621	chr1	234	A
BL01243	14552092	BFL_1	385	EA38911	108193390	chr1	279	A
BL01237	14642362	BFL_1	386	EA36420	84477544	chr1	213	A
BL01218	14846536	BFL_1	399	EA36699	67425505	chr1	180	A
BL01212	14925063	BFL_1	402	EA23570	171823429	chr1	459	A
BL01202	15095018	BFL_1	408	EA24094	165212197	chr1	430	A
BL01151	15707477	BFL_1	424	EA36350	104982115	chr1	268	A
BL01143	15764903	BFL_1	429	EA38223	74070104	chr1	187	A
BL01142	15779714	BFL_1	430	EA37618	6735018	chr1	20	A
BL01121	16088621	BFL_1	436	EA36949	78772698	chr1	199	A
BL01101	16351976	BFL_1	448	EA36554	106072708	chr1	272	A
BL01063	17020908	BFL_1	462	EA38178	32432465	chr1	83	A
BL01060	17114887	BFL_1	463	EA39111	33802324	chr1	90	A
BL01055	17176254	BFL_1	464	EA36908	118384	chr1	0	A
BL01049	17257022	BFL_1	468	EA21965	171621497	chr1	454	A
BL01039	17342697	BFL_1	472	EA37816	17516607	chr1	54	A
BL01008	17780689	BFL_1	485	EA39208	65658601	chr1	178	A
BL01007	17794210	BFL_1	486	EA38638	83951158	chr1	211	A
BL00996	18052155	BFL_1	492	EA37228	8914057	chr1	24	A
BL00988	18155407	BFL_1	496	EA35801	4665774	chr1	11	A
BL00975	18351982	BFL_1	501	EA35689	77450878	chr1	195	A
BL00974	18408508	BFL_1	502	EA37471	77628627	chr1	196	A
BL00962	18491431	BFL_1	511	EA36617	107373907	chr1	275	A
BL00960	18509650	BFL_1	513	EA37080	107092433	chr1	274	A
BL00933	19181488	BFL_1	521	EA36220	15558690	chr1	48	A
BL00888	19817834	BFL_1	534	EA24143	166181869	chr1	437	A
BL00851	20470351	BFL_1	545	EA22322	171974837	chr1	462	A
BL00837	20660620	BFL_1	549	EA38701	4883959	chr1	13	A
BL00758	22569075	BFL_1	561	EA38473	79390028	chr1	201	A
BL14665	23297257	BFL_1	572	EA38300	84148248	chr1	212	A
BL14675	23553745	BFL_1	577	EA37859	109358769	chr1	285	A
BL14676	23575459	BFL_1	578	EA39352	109221975	chr1	284	A
BL14679	23609314	BFL_1	581	EA37855	13377962	chr1	43	A
BL14680	23629518	BFL_1	582	EA39752	13377356	chr1	42	A
BL14691	23781027	BFL_1	587	EA37817	32764176	chr1	84	A
BL14700	23895688	BFL_1	594	EA38456	16186689	chr1	52	A
BL14707	23979292	BFL_1	596	EA24334	171574084	chr1	453	A
BL22385	24603812	BFL_1	600	EA35700	94039721	chr1	237	A
BL22390	24701541	BFL_1	603	EA36512	83696795	chr1	209	A
BL22413	25215188	BFL_1	616	EA38095	14306311	chr1	45	A
BL22427	25633922	BFL_1	623	EA38546	18260845	chr1	55	A
BL22450	26051792	BFL_1	629	EA37291	9921016	chr1	33	A
BL22485	26739976	BFL_1	634	EA36762	106523162	chr1	273	A
BL22487	26778999	BFL_1	635	EA37235	94896359	chr1	241	A
BL00703	27529272	BFL_1	645	EA39530	110016189	chr1	289	A
BL00689	27845503	BFL_1	653	EA35770	35194645	chr1	92	A
BL00666	28188196	BFL_1	663	EA39197	81618728	chr1	204	A
BL00640	28727342	BFL_1	670	EA23014	198390232	chr1	492	A
BL06803	31321895	BFL_1	694	EA38697	33145927	chr1	86	A
BL06798	31413278	BFL_1	697	EA37888	16062923	chr1	51	A
BL24633	35052072	BFL_1	710	EA38276	74332589	chr1	189	A
BL01954	4648250	BFL_1	69	EA46419	78945143	chr2	716	A
BL01942	4852948	BFL_1	76	EA44150	123078452	chr2	808	A
BL01698	8212404	BFL_1	184	EA42775	77255631	chr2	715	A
BL01697	8298487	BFL_1	185	EA41006	173685889	chr2	921	A
BL01583	9843195	BFL_1	228	EA41727	173656740	chr2	920	A
BL01496	10945888	BFL_1	261	EA41527	43843509	chr2	615	A
BL01467	11407153	BFL_1	270	EA41491	122898150	chr2	806	A
BL01326	13345907	BFL_1	339	EA41115	52530768	chr2	648	A
BL01266	14241593	BFL_1	371	EA42905	142213641	chr2	841	A
BL01203	15090653	BFL_1	407	EA43840	2807826	chr2	524	A
BL01133	15852023	BFL_1	433	EA45388	46829859	chr2	625	A
BL01098	16387634	BFL_1	450	EA42195	180647328	chr2	941	A
BL01066	16888266	BFL_1	461	EA42844	123383013	chr2	809	A
BL01054	17189800	BFL_1	465	EA45234	125176077	chr2	812	A
BL00940	18996955	BFL_1	516	EA40267	80966749	chr2	719	A
BL00873	20125840	BFL_1	541	EA39971	180680890	chr2	942	A
BL00839	20618445	BFL_1	548	EA42056	147610524	chr2	850	A
BL00816	20990376	BFL_1	550	EA43672	79530325	chr2	717	A
BL14673	23520202	BFL_1	575	EA45302	58533151	chr2	664	A
BL14685	23679234	BFL_1	584	EA46512	125333916	chr2	813	A
BL00708	27430280	BFL_1	643	EA42552	67510312	chr2	699	A
BL00678	28016662	BFL_1	658	EA40183	58533568	chr2	665	A
BL00671	28120135	BFL_1	661	EA43185	155633812	chr2	859	A
BL00630	28941205	BFL_1	672	EA41008	123723087	chr2	810	A
BL01929	5168047	BFL_1	84	EA77353	84639530	chr3	1182	A
BL01871	6000464	BFL_1	107	EA73209	128160031	chr3	1334	A
BL01858	6206578	BFL_1	112	EA77487	121092906	chr3	1305	A
BL01572	10126876	BFL_1	232	EA75963	122604812	chr3	1312	A
BL01122	16082064	BFL_1	435	EA79422	101457616	chr3	1247	A
BL01047	17270908	BFL_1	469	EA74434	54110608	chr3	1101	A
BL00900	19666633	BFL_1	529	EA76788	104028864	chr3	1257	A
BL14694	23816485	BFL_1	589	EA75490	144313126	chr3	1383	A
BL14185	1689541	BFL_1	23	EA63070	177387043	chr4	2002	A
BL25563	2541686	BFL_1	27	EA62526	64350277	chr4	1674	A
BL25530	3435500	BFL_1	42	EA62018	98861045	chr4	1774	A
BL01945	4821920	BFL_1	73	EA63005	24503851	chr4	1583	A
BL01927	5195827	BFL_1	86	EA57618	104295146	chr4	1796	A
BL01919	5349027	BFL_1	90	EA63177	63258167	chr4	1671	A
BL01876	5948692	BFL_1	104	EA60790	79365825	chr4	1725	A
BL01855	6235029	BFL_1	114	EA59069	143716314	chr4	1915	A
BL01739	7819197	BFL_1	167	EA60811	177220014	chr4	2000	A
BL01694	8377652	BFL_1	186	EA57813	60475429	chr4	1665	A
BL01662	8789722	BFL_1	196	EA58077	50382875	chr4	1642	A
BL01437	11732439	BFL_1	285	EA59678	176982099	chr4	1999	A
BL01426	11813230	BFL_1	291	EA61050	94825542	chr4	1764	A
BL01409	12171851	BFL_1	302	EA57987	3147218	chr4	1528	A
BL01373	12534001	BFL_1	311	EA59421	69980540	chr4	1688	A
BL01371	12544390	BFL_1	313	EA58870	62482149	chr4	1668	A
BL01311	13565341	BFL_1	349	EA62361	115064219	chr4	1821	A
BL01302	13713548	BFL_1	355	EA57295	59682964	chr4	1657	A
BL01273	14149304	BFL_1	367	EA62702	112325089	chr4	1817	A
BL01210	14986212	BFL_1	404	EA61172	64258336	chr4	1673	A
BL01193	15155769	BFL_1	410	EA62678	73484849	chr4	1707	A
BL01190	15239994	BFL_1	411	EA62107	145976097	chr4	1921	A
BL01146	15751823	BFL_1	427	EA62417	101784242	chr4	1786	A
BL01094	16451910	BFL_1	452	EA60457	62910597	chr4	1669	A
BL01010	17710861	BFL_1	484	EA61702	64700072	chr4	1675	A
BL01004	17870557	BFL_1	487	EA57258	64935033	chr4	1676	A
BL00999	18023547	BFL_1	490	EA60300	145757105	chr4	1918	A
BL00972	18417353	BFL_1	504	EA63300	177258045	chr4	2001	A
