fid	gid	dups	age
OG_1000	ENSLOCG00000003978	1	Lepocu
OG_1001	ENSLOCG00000004881	1	Lepocu
OG_1002	ENSLOCG00000001286	1	Lepocu
OG_1003.1	ENSLOCG00000012369	1	Lepocu
OG_1003.2	ENSLOCG00000016570	1	Lepocu
OG_1004	ENSLOCG00000013867	1	Lepocu
OG_1006	ENSLOCG00000005433	1	Lepocu
OG_1007	ENSLOCG00000010354	2	Gnathostomata
OG_1007	ENSLOCG00000001661	2	Gnathostomata
OG_1009	ENSLOCG00000016767	1	Lepocu
OG_1011	ENSLOCG00000012089	1	Lepocu
OG_1012	ENSLOCG00000001391	2	Gnathostomata
OG_1012	ENSLOCG00000008272	2	Gnathostomata
OG_1013	ENSLOCG00000008747	1	Lepocu
OG_1014	ENSLOCG00000008897	2	Vertebrata
OG_1014	ENSLOCG00000002171	2	Vertebrata
OG_1016	ENSLOCG00000013332	1	Lepocu
OG_1017	ENSLOCG00000009043	1	Lepocu
OG_1018	ENSLOCG00000002845	3	Vertebrata
OG_1018	ENSLOCG00000005357	3	Vertebrata
OG_1018	ENSLOCG00000002215	3	Vertebrata
OG_1019	ENSLOCG00000005624	3	Vertebrata
OG_1019	ENSLOCG00000004446	3	Vertebrata
OG_1019	ENSLOCG00000003433	3	Vertebrata
OG_101	ENSLOCG00000007352	1	Lepocu
OG_1020	ENSLOCG00000008099	1	Lepocu
OG_1022	ENSLOCG00000008748	2	Gnathostomata
OG_1022	ENSLOCG00000013591	2	Gnathostomata
OG_1027	ENSLOCG00000014747	1	Lepocu
OG_1028	ENSLOCG00000003176	1	Lepocu
OG_1029.1	ENSLOCG00000015420	1	Lepocu
OG_1029.2	ENSLOCG00000003839	4	Lepocu
OG_1029.2	ENSLOCG00000015426	4	Lepocu
OG_1029.2	ENSLOCG00000009669	4	Lepocu
OG_1029.2	ENSLOCG00000009092	4	Lepocu
OG_1029.3	ENSLOCG00000015420	1	Lepocu
OG_102	ENSLOCG00000010100	1	Lepocu
OG_1030	ENSLOCG00000003099	1	Lepocu
