fid	gid	dups	age
OG_10006	BL23841	1	Bralan
OG_1000	BL18850	1	Bralan
OG_1001	BL12818	1	Bralan
OG_1002	BL12816	1	Bralan
OG_1003.1	BL95540	3	Deuterostomia
OG_1003.1	BL95539	3	Deuterostomia
OG_1003.1	BL10226	3	Deuterostomia
OG_1004	BL95280	1	Bralan
OG_1005	BL04271	3	Cephalochordata
OG_1005	BL95282	3	Cephalochordata
OG_1005	BL06437	3	Cephalochordata
OG_1006	BL00174	1	Bralan
OG_1007	BL00177	1	Bralan
OG_1009	BL02997	1	Bralan
OG_1011	BL10509	1	Bralan
OG_1012	BL08360	1	Bralan
OG_1013	BL19344	1	Bralan
OG_1014	BL16902	1	Bralan
OG_1016	BL05670	1	Bralan
OG_1017	BL04104	1	Bralan
OG_1018	BL11677	1	Bralan
OG_1019	BL11021	4	Cephalochordata
OG_1019	BL13842	4	Cephalochordata
OG_1019	BL00828	4	Cephalochordata
OG_1019	BL16803	4	Cephalochordata
OG_101	BL17766	1	Bralan
OG_1020	BL12596	1	Bralan
OG_1021	BL13429	1	Bralan
OG_1022	BL14431	1	Bralan
OG_1024	BL23719	1	Bralan
OG_1027	BL09192	1	Bralan
OG_1028	BL22869	1	Bralan
OG_1029.1	BL59704	67	Deuterostomia
OG_1029.1	BL69278	67	Deuterostomia
OG_1029.1	BL27467	67	Deuterostomia
OG_1029.1	BL35949	67	Deuterostomia
OG_1029.1	BL20473	67	Deuterostomia
OG_1029.1	BL39276	67	Deuterostomia
OG_1029.1	BL25400	67	Deuterostomia
OG_1029.1	BL04335	67	Deuterostomia
OG_1029.1	BL18766	67	Deuterostomia
OG_1029.1	BL59583	67	Deuterostomia
OG_1029.1	BL53518	67	Deuterostomia
OG_1029.1	BL83947	67	Deuterostomia
OG_1029.1	BL29027	67	Deuterostomia
OG_1029.1	BL29738	67	Deuterostomia
OG_1029.1	BL38375	67	Deuterostomia
OG_1029.1	BL31211	67	Deuterostomia
OG_1029.1	BL31016	67	Deuterostomia
OG_1029.1	BL06933	67	Deuterostomia
OG_1029.1	BL21759	67	Deuterostomia
OG_1029.1	BL64284	67	Deuterostomia
OG_1029.1	BL49598	67	Deuterostomia
OG_1029.1	BL52237	67	Deuterostomia
OG_1029.1	BL00616	67	Deuterostomia
OG_1029.1	BL01917	67	Deuterostomia
OG_1029.1	BL26125	67	Deuterostomia
OG_1029.1	BL18015	67	Deuterostomia
OG_1029.1	BL11552	67	Deuterostomia
OG_1029.1	BL27276	67	Deuterostomia
OG_1029.1	BL21016	67	Deuterostomia
OG_1029.1	BL07779	67	Deuterostomia
OG_1029.1	BL15140	67	Deuterostomia
OG_1029.1	BL28599	67	Deuterostomia
OG_1029.1	BL30569	67	Deuterostomia
OG_1029.1	BL12530	67	Deuterostomia
OG_1029.1	BL28176	67	Deuterostomia
OG_1029.1	BL29577	67	Deuterostomia
OG_1029.1	BL30860	67	Deuterostomia
OG_1029.1	BL20577	67	Deuterostomia
OG_1029.1	BL27872	67	Deuterostomia
OG_1029.1	BL28680	67	Deuterostomia
OG_1029.1	BL31918	67	Deuterostomia
OG_1029.1	BL81649	67	Deuterostomia
OG_1029.1	BL30935	67	Deuterostomia
OG_1029.1	BL04740	67	Deuterostomia
OG_1029.1	BL19016	67	Deuterostomia
OG_1029.1	BL25737	67	Deuterostomia
OG_1029.1	BL27091	67	Deuterostomia
OG_1029.1	BL03585	67	Deuterostomia
OG_1029.1	BL27967	67	Deuterostomia
OG_1029.1	BL30269	67	Deuterostomia
OG_1029.1	BL20579	67	Deuterostomia
OG_1029.1	BL27282	67	Deuterostomia
OG_1029.1	BL26900	67	Deuterostomia
OG_1029.1	BL27283	67	Deuterostomia
OG_1029.1	BL08413	67	Deuterostomia
OG_1029.1	BL89465	67	Deuterostomia
OG_1029.1	BL27827	67	Deuterostomia
OG_1029.1	BL31097	67	Deuterostomia
OG_1029.1	BL30562	67	Deuterostomia
OG_1029.1	BL29632	67	Deuterostomia
OG_1029.1	BL31201	67	Deuterostomia
OG_1029.1	BL31794	67	Deuterostomia
OG_1029.1	BL86315	67	Deuterostomia
OG_1029.1	BL26556	67	Deuterostomia
OG_1029.1	BL15419	67	Deuterostomia
OG_1029.1	BL25750	67	Deuterostomia
OG_1029.1	BL30856	67	Deuterostomia
OG_1029.2	BL42053	4	Chordata
OG_1029.2	BL32549	4	Chordata
OG_1029.2	BL52238	4	Chordata
OG_1029.2	BL03730	4	Chordata
OG_1029.3	BL35949	52	Chordata
OG_1029.3	BL25400	52	Chordata
OG_1029.3	BL04335	52	Chordata
OG_1029.3	BL18766	52	Chordata
OG_1029.3	BL29738	52	Chordata
OG_1029.3	BL31016	52	Chordata
OG_1029.3	BL06933	52	Chordata
OG_1029.3	BL21759	52	Chordata
OG_1029.3	BL01917	52	Chordata
OG_1029.3	BL26125	52	Chordata
OG_1029.3	BL18015	52	Chordata
OG_1029.3	BL11552	52	Chordata
OG_1029.3	BL27276	52	Chordata
OG_1029.3	BL21016	52	Chordata
OG_1029.3	BL07779	52	Chordata
OG_1029.3	BL15140	52	Chordata
OG_1029.3	BL28599	52	Chordata
OG_1029.3	BL30569	52	Chordata
OG_1029.3	BL12530	52	Chordata
OG_1029.3	BL28176	52	Chordata
OG_1029.3	BL29577	52	Chordata
OG_1029.3	BL30860	52	Chordata
OG_1029.3	BL20577	52	Chordata
OG_1029.3	BL27872	52	Chordata
OG_1029.3	BL28680	52	Chordata
OG_1029.3	BL31918	52	Chordata
OG_1029.3	BL81649	52	Chordata
OG_1029.3	BL30935	52	Chordata
OG_1029.3	BL04740	52	Chordata
OG_1029.3	BL19016	52	Chordata
OG_1029.3	BL25737	52	Chordata
OG_1029.3	BL27091	52	Chordata
OG_1029.3	BL03585	52	Chordata
OG_1029.3	BL27967	52	Chordata
OG_1029.3	BL30269	52	Chordata
OG_1029.3	BL20579	52	Chordata
OG_1029.3	BL27282	52	Chordata
OG_1029.3	BL26900	52	Chordata
OG_1029.3	BL27283	52	Chordata
OG_1029.3	BL08413	52	Chordata
OG_1029.3	BL89465	52	Chordata
OG_1029.3	BL27827	52	Chordata
OG_1029.3	BL31097	52	Chordata
OG_1029.3	BL30562	52	Chordata
OG_1029.3	BL29632	52	Chordata
OG_1029.3	BL31201	52	Chordata
OG_1029.3	BL31794	52	Chordata
OG_1029.3	BL86315	52	Chordata
OG_1029.3	BL26556	52	Chordata
OG_1029.3	BL15419	52	Chordata
OG_1029.3	BL25750	52	Chordata
OG_1029.3	BL30856	52	Chordata
OG_1029.4	BL59704	15	Chordata
OG_1029.4	BL69278	15	Chordata
OG_1029.4	BL27467	15	Chordata
OG_1029.4	BL20473	15	Chordata
OG_1029.4	BL39276	15	Chordata
OG_1029.4	BL59583	15	Chordata
OG_1029.4	BL53518	15	Chordata
OG_1029.4	BL83947	15	Chordata
OG_1029.4	BL29027	15	Chordata
OG_1029.4	BL38375	15	Chordata
OG_1029.4	BL31211	15	Chordata
OG_1029.4	BL64284	15	Chordata
OG_1029.4	BL49598	15	Chordata
OG_1029.4	BL52237	15	Chordata
OG_1029.4	BL00616	15	Chordata
OG_102	BL17769	3	Bralan
OG_102	BL19849	3	Bralan
OG_102	BL65074	3	Bralan
OG_1030	BL22045	1	Bralan
OG_1031	BL59938	2	Bralan
OG_1031	BL22044	2	Bralan
OG_1033	BL08837	14	Cephalochordata
OG_1033	BL05784	14	Cephalochordata
OG_1033	BL02381	14	Cephalochordata
OG_1033	BL95290	14	Cephalochordata
OG_1033	BL02157	14	Cephalochordata
OG_1033	BL04264	14	Cephalochordata
OG_1033	BL95289	14	Cephalochordata
OG_1033	BL07022	14	Cephalochordata
OG_1033	BL95292	14	Cephalochordata
OG_1033	BL01926	14	Cephalochordata
OG_1033	BL95293	14	Cephalochordata
OG_1033	BL19471	14	Cephalochordata
OG_1033	BL95291	14	Cephalochordata
OG_1033	BL03865	14	Cephalochordata
OG_1034	BL24051	1	Bralan
OG_1035	BL21768	5	Cephalochordata
OG_1035	BL03939	5	Cephalochordata
OG_1035	BL21661	5	Cephalochordata
OG_1035	BL21662	5	Cephalochordata
OG_1035	BL00390	5	Cephalochordata
OG_1036	BL14520	1	Bralan
OG_1037	BL06756	1	Bralan
OG_1038	BL06759	1	Bralan
OG_1039	BL31766	2	Cephalochordata
OG_1039	BL21973	2	Cephalochordata
OG_103	BL13447	2	Cephalochordata
OG_103	BL24506	2	Cephalochordata
OG_1040	BL01193	1	Bralan
OG_1041	BL05476	1	Bralan
OG_1045	BL02267	1	Bralan
OG_1046	BL02262	1	Bralan
OG_1047	BL07160	1	Bralan
OG_1048	BL95099	1	Bralan
OG_1049	BL04089	1	Bralan
OG_104	BL13440	1	Bralan
OG_1052	BL00324	1	Bralan
OG_1053	BL10716	1	Bralan
OG_1054	BL10717	1	Bralan
OG_1055	BL10710	1	Bralan
OG_1056	BL23691	2	Ceph2
OG_1056	BL03676	2	Ceph2
OG_1057	BL03675	1	Bralan
OG_1058	BL03672	1	Bralan
OG_1059	BL08660	1	Bralan
OG_105.1	BL00815	1	Bralan
OG_105.2	BL23045	1	Bralan
OG_1060	BL08663	1	Bralan
OG_1061	BL08668	1	Bralan
OG_1062	BL09225	1	Bralan
OG_1063	BL09222	2	Cephalochordata
OG_1063	BL09638	2	Cephalochordata
OG_1064	BL17399	1	Bralan
OG_1065	BL96797	10	Cephalochordata
OG_1065	BL96796	10	Cephalochordata
OG_1065	BL96794	10	Cephalochordata
OG_1065	BL11484	10	Cephalochordata
OG_1065	BL10242	10	Cephalochordata
OG_1065	BL10589	10	Cephalochordata
OG_1065	BL18901	10	Cephalochordata
OG_1065	BL50827	10	Cephalochordata
OG_1065	BL19863	10	Cephalochordata
OG_1065	BL10279	10	Cephalochordata
OG_1066	BL17905	2	Bralan
OG_1066	BL17390	2	Bralan
OG_1068	BL13679	1	Bralan
OG_1069	BL21295	4	Cephalochordata
OG_1069	BL13670	4	Cephalochordata
OG_1069	BL25522	4	Cephalochordata
OG_1069	BL29829	4	Cephalochordata
OG_106	BL23043	1	Bralan
OG_1070	BL21002	1	Bralan
OG_1071	BL12272	3	Bralan
OG_1071	BL21792	3	Bralan
OG_1071	BL25935	3	Bralan
OG_1072	BL25938	1	Bralan
OG_1075	BL23693	2	Bralan
OG_1075	BL08261	2	Bralan
OG_1076	BL18668	1	Bralan
OG_1077	BL23520	1	Bralan
OG_1078	BL23523	1	Bralan
OG_1079	BL23526	1	Bralan
OG_107	BL23048	1	Bralan
OG_1080	BL07369	1	Bralan
OG_1081	BL07365	1	Bralan
OG_1082	BL19532	1	Bralan
OG_1083	BL19530	1	Bralan
OG_1084	BL21587	2	Cephalochordata
OG_1084	BL17872	2	Cephalochordata
OG_1085	BL21581	1	Bralan
OG_1086	BL24983	6	Bralan
OG_1086	BL09487	6	Bralan
OG_1086	BL05880	6	Bralan
OG_1086	BL19575	6	Bralan
OG_1086	BL06093	6	Bralan
OG_1086	BL24360	6	Bralan
OG_10874	BL24391	1	Bralan
OG_10875	BL19666	1	Bralan
OG_10876	BL11762	1	Bralan
OG_10878	BL24901	1	Bralan
OG_10879	BL05231	1	Bralan
OG_1087	BL06542	1	Bralan
OG_10880	BL37043	2	Cephalochordata
OG_10880	BL09766	2	Cephalochordata
OG_10881	BL18686	1	Bralan
OG_10882	BL13203	1	Bralan
OG_10883	BL14787	1	Bralan
OG_10885	BL21923	1	Bralan
OG_10886	BL18695	1	Bralan
OG_10888	BL19092	1	Bralan
OG_10889	BL02607	1	Bralan
OG_1088	BL06540	1	Bralan
OG_10890	BL21414	1	Bralan
OG_10891	BL00182	1	Bralan
OG_10892	BL00182	1	Bralan
OG_10893	BL24667	1	Bralan
OG_10895	BL03474	1	Bralan
OG_10896	BL12280	1	Bralan
OG_10897	BL14864	1	Bralan
OG_10898	BL04197	2	Bralan
OG_10898	BL06725	2	Bralan
OG_1089	BL06541	1	Bralan
OG_108	BL14239	1	Bralan
OG_10900	BL09912	1	Bralan
OG_10901	BL19991	1	Bralan
OG_10902	BL10576	1	Bralan
OG_10903	BL23251	1	Bralan
OG_10905	BL18228	1	Bralan
OG_10907	BL05320	1	Bralan
OG_10909	BL03205	1	Bralan
OG_1090	BL06546	1	Bralan
OG_10910	BL12484	1	Bralan
OG_10912	BL08485	1	Bralan
OG_10913	BL02052	1	Bralan
OG_10914	BL01467	1	Bralan
OG_10915	BL01126	2	Cephalochordata
OG_10915	BL08401	2	Cephalochordata
OG_10916	BL04962	1	Bralan
