EA44645	ENSGALG00000032763.2
EA49305	ENSGALG00000034487.2
EA65167	ENSGALG00000014652.5
EA42813	ENSGALG00000015064.4
EA11299	ENSGALG00000011917.6
EA54096	ENSGALG00000045374.1
EA04414	ENSGALG00000008681.5
EA68022	ENSGALG00000004386.5
EA02256	ENSGALG00000034860.1
EA25626	ENSGALG00000005584.6
EA69733	ENSGALG00000024295.3
EA69117	ENSGALG00000014960.5
EA69562	ENSGALG00000007014.6
EA54680	ENSGALG00000031851.1
EA01217	ENSGALG00000016147.5
EA15625	ENSGALG00000032997.1
EA58529	ENSGALG00000029276.1
EA28279	ENSGALG00000034573.1
EA62317	ENSGALG00000007721.5
EA53047	ENSGALG00000008034.5
EA54155	ENSGALG00000023188.4
EA38276	ENSGALG00000013950.5
EA80695	ENSGALG00000011932.5
EA37035	ENSGALG00000009592.2
EA35818	ENSGALG00000008818.6
EA03821	ENSGALG00000008736.6
EA09018	ENSGALG00000013637.5
EA82524	ENSGALG00000006354.5
EA03395	ENSGALG00000011982.5
EA78237	ENSGALG00000045788.1
EA05900	ENSGALG00000006906.6
EA53026	ENSGALG00000000542.2
EA74791	ENSGALG00000011747.3
EA75763	ENSGALG00000005299.5
EA66203	ENSGALG00000042374.1
EA67415	ENSGALG00000003788.6
EA10560	ENSGALG00000010630.5
EA20596	ENSGALG00000039720.1
EA33206	ENSGALG00000010244.6
EA12109	ENSGALG00000000218.5
EA05309	ENSGALG00000016205.6
EA05899	ENSGALG00000015084.4
EA59944	ENSGALG00000028148.2
EA83965	ENSGALG00000011688.5
EA27201	ENSGALG00000041592.1
EA35063	ENSGALG00000001261.6
EA32925	ENSGALG00000023296.3
EA62536	ENSGALG00000040784.1
EA35890	ENSGALG00000034777.1
EA85396	ENSGALG00000044151.1
EA25158	ENSGALG00000026470.2
EA11968	ENSGALG00000007668.5
EA84487	ENSGALG00000043087.2
EA78521	ENSGALG00000028809.2
EA51073	ENSGALG00000030022.2
EA79776	ENSGALG00000031895.2
EA63134	ENSGALG00000003826.4
EA21719	ENSGALG00000019171.4
EA24306	ENSGALG00000008053.5
EA01980	ENSGALG00000011573.5
EA00190	ENSGALG00000006331.5
EA32375	ENSGALG00000012754.5
EA78594	ENSGALG00000020251.5
EA62160	ENSGALG00000005350.5
EA60533	ENSGALG00000043411.1
EA47904	ENSGALG00000008749.4
EA49887	ENSGALG00000001168.5
EA49390	ENSGALG00000012997.5
EA17375	ENSGALG00000004261.5
EA31478	ENSGALG00000036787.1
EA03506	ENSGALG00000020590.5
EA12323	ENSGALG00000009440.5
EA49159	ENSGALG00000004528.5
EA11086	ENSGALG00000016289.5
EA68299	ENSGALG00000030419.1
EA56880	ENSGALG00000032061.1
EA19042	ENSGALG00000011637.6
EA50619	ENSGALG00000034898.2
EA64901	ENSGALG00000014378.6
EA65312	ENSGALG00000013006.5
EA48966	ENSGALG00000003128.5
EA77239	ENSGALG00000026214.3
EA74490	ENSGALG00000001378.5
EA75282	ENSGALG00000027035.3
EA36921	ENSGALG00000009838.5
EA01872	ENSGALG00000042388.2
EA01567	ENSGALG00000006001.6
EA27086	ENSGALG00000026111.2
EA65840	ENSGALG00000011291.6
EA67493	ENSGALG00000007736.5
EA82323	ENSGALG00000039658.1
EA19780	ENSGALG00000003578.5
EA36028	ENSGALG00000034115.1
EA18753	ENSGALG00000028994.3
EA72296	ENSGALG00000007711.6
EA72115	ENSGALG00000037426.1
EA14571	ENSGALG00000001109.4
EA09758	ENSGALG00000027983.2
EA18999	ENSGALG00000029766.2
EA64491	ENSGALG00000029324.2
EA75796	ENSGALG00000002311.5
EA57562	ENSGALG00000001363.6
EA00099	ENSGALG00000012911.5
EA81083	ENSGALG00000000755.5
EA46536	ENSGALG00000032234.2
EA13437	ENSGALG00000005347.5
EA71995	ENSGALG00000020615.4
EA09579	ENSGALG00000016282.5
EA54461	ENSGALG00000011548.5
EA53950	ENSGALG00000012587.6
EA65453	ENSGALG00000008728.5
EA76293	ENSGALG00000040004.1
EA29028	ENSGALG00000011937.5
EA07388	ENSGALG00000016266.5
EA40653	ENSGALG00000020927.4
EA71740	ENSGALG00000030118.1
EA64880	ENSGALG00000038574.1
EA06500	ENSGALG00000010124.6
EA82175	ENSGALG00000002836.6
EA80655	ENSGALG00000016385.5
EA18384	ENSGALG00000031821.1
EA32679	ENSGALG00000007386.5
EA39818	ENSGALG00000010858.5
EA44473	ENSGALG00000026940.2
EA82908	ENSGALG00000009496.6
EA38704	ENSGALG00000015571.6
EA17012	ENSGALG00000039061.2
EA10187	ENSGALG00000010402.4
EA08101	ENSGALG00000008166.4
EA35839	ENSGALG00000004929.6
EA44574	ENSGALG00000009231.5
EA23356	ENSGALG00000012260.5
EA21828	ENSGALG00000035621.1
EA70652	ENSGALG00000015775.5
EA65791	ENSGALG00000004469.5
EA21660	ENSGALG00000026182.2
EA68638	ENSGALG00000009691.6
EA06864	ENSGALG00000010847.4
EA21846	ENSGALG00000011274.6
EA35952	ENSGALG00000016628.6
EA62966	ENSGALG00000036556.2
EA74982	ENSGALG00000002703.6
EA72652	ENSGALG00000008039.3
EA26512	ENSGALG00000010862.3
EA36135	ENSGALG00000009448.5
EA36911	ENSGALG00000008926.5
EA31456	ENSGALG00000016774.5
EA60462	ENSGALG00000021031.4
EA75139	ENSGALG00000001558.4
EA13360	ENSGALG00000003391.4
EA85128	ENSGALG00000001758.5
EA63158	ENSGALG00000007900.4
EA59259	ENSGALG00000029022.3
EA84248	ENSGALG00000042635.1
EA46557	ENSGALG00000040987.2
EA32409	ENSGALG00000043607.1
EA15666	ENSGALG00000030084.1
EA15851	ENSGALG00000013731.5
EA07258	ENSGALG00000015224.6
EA06338	ENSGALG00000033469.1
EA06462	ENSGALG00000026284.1
EA06102	ENSGALG00000001387.5
EA36819	ENSGALG00000038129.2
EA38546	ENSGALG00000032259.1
EA38430	ENSGALG00000007680.5
EA35031	ENSGALG00000010478.5
EA34156	ENSGALG00000005369.5
EA02617	ENSGALG00000042604.1
EA79781	ENSGALG00000038775.1
EA53032	ENSGALG00000006854.4
EA23552	ENSGALG00000008154.5
EA44347	ENSGALG00000042333.2
EA39424	ENSGALG00000035748.1
EA85768	ENSGALG00000008839.5
EA20401	ENSGALG00000017047.5
EA01007	ENSGALG00000002769.5
EA13368	ENSGALG00000035595.1
EA18509	ENSGALG00000009493.4
EA02634	ENSGALG00000012004.4
EA44075	ENSGALG00000004849.6
EA56661	ENSGALG00000015635.4
EA82233	ENSGALG00000006982.5
EA84004	ENSGALG00000000990.6
EA25851	ENSGALG00000011020.6
EA72544	ENSGALG00000000430.4
EA64355	ENSGALG00000004045.4
EA66667	ENSGALG00000033408.1
EA74481	ENSGALG00000005620.5
EA72437	ENSGALG00000028409.1
EA25378	ENSGALG00000007017.4
EA61970	ENSGALG00000034742.1
EA43982	ENSGALG00000016406.5
EA16270	ENSGALG00000031281.1
EA45031	ENSGALG00000013710.5
EA44443	ENSGALG00000012956.6
EA06880	ENSGALG00000004198.5
EA46223	ENSGALG00000033266.2
EA46673	ENSGALG00000044433.1
EA15169	ENSGALG00000036774.2
EA30857	ENSGALG00000021869.4
EA19118	ENSGALG00000008182.6
EA09541	ENSGALG00000011271.6
EA50086	ENSGALG00000040464.1
EA83044	ENSGALG00000043754.1
EA14921	ENSGALG00000030003.2
EA22306	ENSGALG00000007465.5
EA73236	ENSGALG00000007172.5
EA11627	ENSGALG00000009297.5
EA53238	ENSGALG00000007128.5
EA53224	ENSGALG00000025882.2
EA28941	ENSGALG00000035287.1
EA24286	ENSGALG00000015692.6
EA07598	ENSGALG00000013874.5
EA71472	ENSGALG00000031683.1
EA52394	ENSGALG00000041370.1
EA82961	ENSGALG00000036965.2
EA26798	ENSGALG00000012448.6
EA81422	ENSGALG00000031424.1
EA21740	ENSGALG00000005020.5
EA64529	ENSGALG00000028912.2
EA31520	ENSGALG00000007494.5
EA24841	ENSGALG00000026789.3
EA03938	ENSGALG00000016491.5
EA44536	ENSGALG00000014931.5
EA27344	ENSGALG00000005367.5
EA18555	ENSGALG00000010315.5
EA18700	ENSGALG00000008429.5
EA67558	ENSGALG00000003154.6
EA36617	ENSGALG00000020415.4
EA19232	ENSGALG00000009415.6
EA70502	ENSGALG00000036201.1
EA53619	ENSGALG00000043379.2
EA03494	ENSGALG00000001833.3
EA20508	ENSGALG00000007819.5
EA65253	ENSGALG00000005517.5
EA46036	ENSGALG00000012150.6
EA19954	ENSGALG00000007052.5
EA63997	ENSGALG00000003185.4
EA46309	ENSGALG00000029617.2
EA43931	ENSGALG00000006491.5
EA80936	ENSGALG00000004997.5
EA64048	ENSGALG00000040181.1
EA16380	ENSGALG00000003322.5
EA16136	ENSGALG00000016467.6
EA73978	ENSGALG00000017049.6
EA76464	ENSGALG00000033185.1
EA80808	ENSGALG00000029893.2
EA82042	ENSGALG00000005638.5
EA61226	ENSGALG00000040665.2
EA39421	ENSGALG00000015689.5
EA65272	ENSGALG00000013887.3
EA57838	ENSGALG00000030376.2
EA38701	ENSGALG00000007144.5
EA00215	ENSGALG00000004005.5
EA37158	ENSGALG00000009547.6
EA14635	ENSGALG00000004612.6
EA06810	ENSGALG00000037713.1
EA58254	ENSGALG00000033417.1
EA43896	ENSGALG00000003197.6
EA36752	ENSGALG00000009514.5
EA04182	ENSGALG00000000993.5
EA11714	ENSGALG00000010738.6
EA13509	ENSGALG00000040099.1
EA14427	ENSGALG00000004874.5
EA06822	ENSGALG00000008317.5
EA55328	ENSGALG00000035242.2
EA04635	ENSGALG00000013092.5
EA80897	ENSGALG00000035223.2
EA18839	ENSGALG00000026089.1
EA06623	ENSGALG00000033643.1
EA41110	ENSGALG00000008124.6
EA43153	ENSGALG00000006899.5
EA42143	ENSGALG00000007326.5
EA10830	ENSGALG00000045747.1
EA82858	ENSGALG00000015275.5
EA85545	ENSGALG00000036567.1
EA56547	ENSGALG00000002708.6
EA47888	ENSGALG00000017366.5
EA05672	ENSGALG00000035461.1
EA84180	ENSGALG00000002364.5
EA16926	ENSGALG00000007009.5
EA06832	ENSGALG00000032723.1
EA69428	ENSGALG00000015556.5
EA06676	ENSGALG00000003146.6
EA02762	ENSGALG00000017219.6
EA78959	ENSGALG00000039394.2
EA79797	ENSGALG00000016806.6
EA27916	ENSGALG00000036962.1
EA47943	ENSGALG00000012367.5
EA83676	ENSGALG00000042766.2
EA15041	ENSGALG00000014457.4
EA15784	ENSGALG00000015290.4
EA74362	ENSGALG00000002612.5
EA77164	ENSGALG00000016551.6
EA74463	ENSGALG00000010652.6
EA20544	ENSGALG00000009792.5
EA79161	ENSGALG00000010886.5
EA25448	ENSGALG00000009293.5
EA77433	ENSGALG00000008274.5
EA16702	ENSGALG00000013124.5
EA16018	ENSGALG00000019622.4
EA47415	ENSGALG00000007986.2
EA83845	ENSGALG00000019261.3
EA27576	ENSGALG00000036361.2
EA38683	ENSGALG00000042309.1
