MRPL3	ENSGALG00000040873.2
UBE2G1	ENSGALG00000001441.6
SETD9	ENSGALG00000014719.6
BMPER	ENSGALG00000029811.1
LOC116948178	ENSGALG00000008128.6
LOC116953380	ENSGALG00000014981.5
PRCC	ENSGALG00000040696.2
LOC116957197	ENSGALG00000009477.4
LOC116943526	ENSGALG00000016581.4
CWF19L2	ENSGALG00000017171.5
PALB2	ENSGALG00000006078.5
NF2	ENSGALG00000008073.6
PREPL	ENSGALG00000009981.5
LOC116947729	ENSGALG00000010016.3
LOC116950746	ENSGALG00000027908.3
LSM3	ENSGALG00000031139.1
LOC116952906	ENSGALG00000039001.1
TRAPPC10	ENSGALG00000022804.3
LOC116941044	ENSGALG00000021021.3
TBL3	ENSGALG00000005558.5
LOC116950987	ENSGALG00000043930.1
TADA2A	ENSGALG00000005452.6
ARMC2	ENSGALG00000015289.6
JAGN1	ENSGALG00000031797.1
LOC116942179	ENSGALG00000027805.2
LOC116942216	ENSGALG00000036680.1
LOC116945571	ENSGALG00000012136.3
LOC116955714	ENSGALG00000013674.5
LOC116941276	ENSGALG00000010588.6
LOC116948818	ENSGALG00000000603.5
OTUD1	ENSGALG00000026426.3
CHRNA2	ENSGALG00000016565.7
LOC116937731	ENSGALG00000006898.5
UBE2J2	ENSGALG00000001848.5
TMEM266	ENSGALG00000002945.6
LOC116944256	ENSGALG00000012808.6
TAB1	ENSGALG00000012150.6
BRF1	ENSGALG00000011705.5
FOCAD	ENSGALG00000015071.5
CD151	ENSGALG00000006856.5
ELP4	ENSGALG00000012127.6
LOC116948718	ENSGALG00000011813.5
LOC116953422	ENSGALG00000002144.6
CIB2	ENSGALG00000026674.2
LOC116943023	ENSGALG00000014258.5
CTSZ	ENSGALG00000007462.6
LOC116939884	ENSGALG00000006121.6
RPS3	ENSGALG00000017330.5
LOC116937970	ENSGALG00000036642.2
TOMM22	ENSGALG00000019316.5
KLB	ENSGALG00000041663.2
PDS5B	ENSGALG00000017070.6
DTD1	ENSGALG00000008808.6
LOC116950239	ENSGALG00000004477.5
FBXO22	ENSGALG00000039897.1
GLYCTK	ENSGALG00000004018.5
WDR13	ENSGALG00000044536.1
PFDN4	ENSGALG00000007792.5
LOC116945967	ENSGALG00000004956.6
C3H22orf23	ENSGALG00000012293.4
LOC116941499	ENSGALG00000041918.1
TMEM41A	ENSGALG00000006649.4
LOC116943874	ENSGALG00000041267.1
LOC116944491	ENSGALG00000015344.6
LOC116940308	ENSGALG00000006168.4
LOC116936886	ENSGALG00000036935.1
NTHL1	ENSGALG00000005617.5
LOC116950560	ENSGALG00000000637.3
LOC116937633	ENSGALG00000012481.4
MEST	ENSGALG00000008111.6
SLC25A15	ENSGALG00000017032.5
LOC116944125	ENSGALG00000034649.1
LOC116945614	ENSGALG00000026970.2
LOC116951899	ENSGALG00000014862.5
HDAC11	ENSGALG00000005092.5
NALCN	ENSGALG00000016868.6
TTC8	ENSGALG00000010663.6
LOC116948939	ENSGALG00000023296.3
DPH2	ENSGALG00000010089.4
LOC116947387	ENSGALG00000009802.6
ENDOV	ENSGALG00000006963.5
ACO2	ENSGALG00000011950.6
LMBRD1	ENSGALG00000016174.5
NEDD1	ENSGALG00000031699.1
LOC116948190	ENSGALG00000014997.5
LOC116948230	ENSGALG00000015701.6
DCSTAMP	ENSGALG00000033520.1
LOC116952129	ENSGALG00000036301.1
ZNF236	ENSGALG00000013657.5
CEP192	ENSGALG00000035625.1
DYNLRB1	ENSGALG00000005402.4
LOC116952047	ENSGALG00000004071.5
LOC116958174	ENSGALG00000015051.5
ZDHHC12	ENSGALG00000044248.1
SLC7A4	ENSGALG00000002204.5
CHTOP	ENSGALG00000042129.1
CSTF1	ENSGALG00000007757.5
LOC116941566	ENSGALG00000001310.6
LOC116936986	ENSGALG00000007659.6
GUK1	ENSGALG00000005336.6
LOC116937479	ENSGALG00000009179.5
SLC12A2	ENSGALG00000014690.5
NOP9	ENSGALG00000036600.1
LOC116951048	ENSGALG00000013503.6
CISD2	ENSGALG00000027860.2
SYAP1	ENSGALG00000016548.5
CRYL1	ENSGALG00000017135.6
LOC116954810	ENSGALG00000029766.2
IBTK	ENSGALG00000015864.5
DHDH	ENSGALG00000031013.1
EEF1D	ENSGALG00000036099.2
MEGF6	ENSGALG00000009458.6
ZNF362	ENSGALG00000026558.2
ACTR10	ENSGALG00000012041.5
LOC116943170	ENSGALG00000009050.6
LOC116945030	ENSGALG00000004809.3
LOC116941935	ENSGALG00000001749.6
THOC1	ENSGALG00000014915.6
LOC116949302	ENSGALG00000006655.5
NANP	ENSGALG00000023188.4
LOC116947843	ENSGALG00000010023.6
LOC116948829	ENSGALG00000014824.5
YIPF1	ENSGALG00000010740.6
RAB3GAP1	ENSGALG00000012214.4
LOC116946831	ENSGALG00000020813.4
PAN3	ENSGALG00000017092.5
LOC116939469	ENSGALG00000036199.2
MRPS31	ENSGALG00000017033.5
LOC116942361	ENSGALG00000002138.5
SLC6A8	ENSGALG00000041419.2
MYO15A	ENSGALG00000004978.5
LOC116946264	ENSGALG00000004398.5
TFB2M	ENSGALG00000010651.5
LOC116952388	ENSGALG00000005309.5
LOC103091784	ENSGALG00000017195.5
LOC116956263	ENSGALG00000017002.5
LOC116956437	ENSGALG00000003748.5
LOXL4	ENSGALG00000000402.4
LOC116956498	ENSGALG00000011633.5
LOC116946707	ENSGALG00000016289.5
LOC116946487	ENSGALG00000029279.2
ONECUT1	ENSGALG00000028081.2
MAMDC2	ENSGALG00000015115.5
LOC116944386	ENSGALG00000028376.2
GUSB	ENSGALG00000002542.3
PGK1	ENSGALG00000007936.3
LOC116943044	ENSGALG00000011835.6
RNF31	ENSGALG00000033467.1
CAV2	ENSGALG00000033295.2
NUP210	ENSGALG00000005078.5
ZZZ3	ENSGALG00000008988.5
LOC116947429	ENSGALG00000008098.5
LOC116955433	ENSGALG00000008663.5
LOC116938196	ENSGALG00000008796.6
LOC116954454	ENSGALG00000010364.5
MBD5	ENSGALG00000012449.5
RBBP6	ENSGALG00000006043.4
SAMD8	ENSGALG00000005004.3
HACE1	ENSGALG00000015415.6
LOC116941334	ENSGALG00000008949.4
POLD2	ENSGALG00000033266.2
STUB1	ENSGALG00000041432.1
BRIP1	ENSGALG00000005279.4
RBM18	ENSGALG00000028167.3
MSRB3	ENSGALG00000026661.3
GPKOW	ENSGALG00000033573.1
PIKFYVE	ENSGALG00000008842.5
FASTKD2	ENSGALG00000008529.6
LOC116946622	ENSGALG00000031741.2
ATPSCKMT	ENSGALG00000013043.6
LOC116951848	ENSGALG00000037522.1
ADAMTSL5	ENSGALG00000024298.3
CPAMD8	ENSGALG00000003742.5
NPC1	ENSGALG00000015030.6
STK11IP	ENSGALG00000033515.1
NFS1	ENSGALG00000001568.5
LOC116947090	ENSGALG00000045403.1
CMAS	ENSGALG00000013229.6
BTBD2	ENSGALG00000001019.5
CLDN12	ENSGALG00000009038.3
SRSF9	ENSGALG00000005525.6
LOC116941205	ENSGALG00000010471.5
HDAC3	ENSGALG00000002634.5
LDHD	ENSGALG00000023828.3
LOC116941238	ENSGALG00000014957.6
ADO	ENSGALG00000038593.1
PLEKHJ1	ENSGALG00000000835.4
MINDY2	ENSGALG00000004204.5
NAPEPLD	ENSGALG00000008285.4
FRMD6	ENSGALG00000012374.4
AGGF1	ENSGALG00000004311.4
TIMM44	ENSGALG00000000352.5
EIF4E2	ENSGALG00000007919.5
LOC116937274	ENSGALG00000016556.5
UNC93B1	ENSGALG00000041539.1
SNAP29	ENSGALG00000040128.1
ABCG2	ENSGALG00000030677.2
VPS26A	ENSGALG00000004174.6
TMF1	ENSGALG00000013408.5
LOC116950614	ENSGALG00000014804.6
GKAP1	ENSGALG00000012586.6
CNMD	ENSGALG00000016945.5
LOC116958282	ENSGALG00000005327.5
MYLIP	ENSGALG00000012704.5
LOC116954188	ENSGALG00000036085.2
LOC116937038	ENSGALG00000006489.6
TMEM259	ENSGALG00000002029.5
CRBN	ENSGALG00000008274.5
LOC116949573	ENSGALG00000028876.2
LOC116954212	ENSGALG00000033880.1
LOC116939873	ENSGALG00000000400.5
LOC116957858	ENSGALG00000040478.1
PSMC2	ENSGALG00000008236.5
NEXN	ENSGALG00000008945.6
PIGF	ENSGALG00000020057.4
SUCLG1	ENSGALG00000015961.4
HAGH	ENSGALG00000005398.5
LOC116948561	ENSGALG00000013235.4
LOC116938561	ENSGALG00000005805.6
CMTR2	ENSGALG00000002356.3
LOC116958415	ENSGALG00000001949.5
LOC116958452	ENSGALG00000005567.5
FBXL13	ENSGALG00000045817.1
ERGIC2	ENSGALG00000007183.6
ECHS1	ENSGALG00000024271.4
SDHA	ENSGALG00000013167.6
SLC35A3	ENSGALG00000005340.6
