s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi
EA36862	3801395	chr1	8	LOC116941391	1535597	chrm1	17
EA35945	3812855	chr1	9	GSR	1532354	chrm1	16
EA36937	3873118	chr1	10	LOC116941946	1061373	chrm1	9
EA37640	24826730	chr1	80	TXN	7642807	chrm1	48
EA35887	25211248	chr1	82	LOC116946187	14223094	chrm1	93
EA37793	25551868	chr1	83	LOC116942972	9078838	chrm1	50
EA39421	26110501	chr1	85	ECPAS	8458991	chrm1	49
EA39200	28015296	chr1	91	PSMD2	9603153	chrm1	53
EA35851	30881424	chr1	100	LOC116943050	9510958	chrm1	52
EA38338	33333148	chr1	107	LOC116941350	34228338	chrm1	323
EA38754	48231225	chr1	172	DHX29	12463747	chrm1	70
EA39400	48319217	chr1	173	CCDC125	12548216	chrm1	71
EA38257	56338173	chr1	197	LOC116950944	444162	chrm1	4
EA38553	56998874	chr1	198	LOC116942168	969932	chrm1	7
EA39189	57042475	chr1	199	LOC116942001	999406	chrm1	8
EA37478	60397186	chr1	212	LOC116938817	23014551	chrm1	188
EA39735	93847658	chr1	307	LOC116941019	33260251	chrm1	302
EA37353	112936803	chr1	378	LOC116940390	3754723	chrm1	31
EA24142	123773659	chr1	412	NUP155	13798412	chrm1	83
EA21770	124058404	chr1	413	TRAPPC13	11570968	chrm1	65
EA22819	124061929	chr1	414	TSPAN1	13014399	chrm1	78
EA22932	124576622	chr1	415	LOC116941637	13070057	chrm1	79
EA23489	125160412	chr1	418	THOP1	9682521	chrm1	55
EA23539	127888733	chr1	423	LOC116936807	9747	chrm1	0
EA23775	128611180	chr1	429	MTAP	12348389	chrm1	68
EA23183	128634684	chr1	430	WDR83OS	12561066	chrm1	72
EA22076	128660416	chr1	431	LOC116943518	12572054	chrm1	73
EA24221	128701130	chr1	432	PIGG	1365438	chrm1	12
EA22745	150148406	chr1	492	CMPK1	1462744	chrm1	14
EA21951	150219030	chr1	493	SMIM7	1477485	chrm1	15
EA22424	150650363	chr1	494	LOC116943281	13671631	chrm1	82
EA23028	151383900	chr1	496	LOC116941656	13191493	chrm1	81
EA22319	151665997	chr1	497	RIC1	13136849	chrm1	80
EA21828	152908593	chr1	502	WDR83	22807849	chrm1	184
EA22269	157594311	chr1	518	LOC116941938	666374	chrm1	5
EA22669	205556837	chr1	633	LOC116941378	1230151	chrm1	11
EA36061	55761243	chr1	196	VWA8	9573024	chrm2	378
EA38809	92755621	chr1	303	LOC116954501	14567253	chrm3	697
EA39530	110016189	chr1	372	LOC116955320	16314341	chrm3	728
EA37057	24421745	chr1	78	CASP10	23429163	chrm4	1060
EA37681	38682882	chr1	128	LOC116938536	7455255	chrm4	921
EA36718	39712932	chr1	133	LOC116938643	11568250	chrm4	973
EA38647	45417193	chr1	157	TWIST2	5125556	chrm4	889
EA36410	89001801	chr1	284	LOC116938529	7322020	chrm4	917
EA38093	96001362	chr1	320	LOC116938513	6622049	chrm4	906
EA35998	96496242	chr1	322	LOC116938507	6352902	chrm4	903
EA37578	96502578	chr1	323	LOC116938510	6373829	chrm4	904
EA39459	96566801	chr1	324	LOC116938508	6348197	chrm4	902
EA36592	96586697	chr1	325	LOC103091696	6330975	chrm4	900
EA36213	96590708	chr1	326	LOC116938506	6324573	chrm4	899
EA38604	96810828	chr1	327	LOC116938504	6339365	chrm4	901
EA38539	101749768	chr1	339	LOC116938252	4119722	chrm4	882
EA23997	146627454	chr1	482	LOC116938471	5400166	chrm4	893
EA23356	149868024	chr1	491	LCT	3696751	chrm4	877
EA39134	2935083	chr1	7	LOC116939068	9216574	chrm5	1110
EA38856	5470689	chr1	14	ABCF1	5019112	chrm5	1089
EA37313	41665860	chr1	142	LETMD1	4289746	chrm5	1083
EA24451	162308067	chr1	529	CHD1L	18060868	chrm5	1214
EA24425	171823060	chr1	568	MGAT2	11011085	chrm6	1393
EA22730	130731857	chr1	434	NAV2	9607380	chrm7	1562
EA23917	131212338	chr1	435	LOC116939955	9465616	chrm7	1561
EA22688	131395366	chr1	436	ZDHHC17	6896453	chrm7	1527
EA21850	131416374	chr1	437	LOC116939892	6851936	chrm7	1526
EA22518	131949507	chr1	438	GOLT1B	9428713	chrm7	1560
EA21893	132283599	chr1	439	UNC80	11387466	chrm7	1576
EA21745	132577048	chr1	440	LOC116939983	11271030	chrm7	1575
EA22298	133612143	chr1	441	MIOX	10991951	chrm7	1574
EA21977	133974687	chr1	442	LOC116939979	10896432	chrm7	1573
EA24386	134233865	chr1	443	LOC103091706	10884018	chrm7	1572
EA24045	134636621	chr1	444	LOC116939969	10728783	chrm7	1569
EA23374	153797526	chr1	506	LOC116939970	10654728	chrm7	1568
EA21803	153918782	chr1	507	TYMP	10629919	chrm7	1567
EA23604	153975357	chr1	508	RPS11	5358768	chrm7	1516
EA22762	154265996	chr1	509	LOC116939879	5570293	chrm7	1517
EA23893	154778438	chr1	510	ARHGEF39	5578440	chrm7	1518
EA23682	155495381	chr1	511	RERGL	5908675	chrm7	1519
EA23295	155627570	chr1	512	NUCB2	6051509	chrm7	1520
EA23625	155649492	chr1	513	LOC116939884	6051985	chrm7	1521
EA23139	155944711	chr1	514	ACSS3	6159199	chrm7	1522
EA22774	156423190	chr1	515	PPFIA2	6552833	chrm7	1523
EA38536	107662472	chr1	358	OXT	10597470	chrm9	1773
EA22901	171396096	chr1	561	LOC116940610	9845764	chrm9	1763
EA22323	184653438	chr1	601	LOC116940403	125350	chrm9	1642
EA23479	197008693	chr1	610	LOC116940493	4781665	chrm9	1690
EA37642	44549753	chr1	151	PTPN4	11934206	chrm10	1954
EA36145	46997835	chr1	168	TMEM237	11021128	chrm10	1943
EA39270	86614152	chr1	276	LOC116940986	10442529	chrm10	1932
EA39153	46436504	chr1	159	LOC116940158	1053563	chrm8	2008
EA21699	153177676	chr1	503	PCDH15	4261971	chrm8	2032
EA23776	162494048	chr1	530	LOC116941311	11038451	chrm11	2215
