BL08827	EA69229
BL08094	EA39677
BL08485	EA76874
BL10790	EA73697
BL11017	EA84193
BL14845	EA03132
BL02912	EA82126
BL07508	EA09166
BL21353	EA82705
BL19528	EA44729
BL19560	EA36437
BL20457	EA01624
BL27915	EA74174
BL27947	EA74054
BL17672	EA79785
BL10140	EA78631
BL09328	EA12459
BL09360	EA79219
BL09133	EA66341
BL26286	EA60016
BL28067	EA78643
BL25926	EA74167
BL15300	EA45781
BL27669	EA10476
BL00334	EA18164
BL03172	EA38432
BL04725	EA03404
BL01247	EA20891
BL06876	EA43088
BL00671	EA43185
BL04994	EA60285
BL19915	EA06210
BL19947	EA06832
BL23324	EA45539
BL11130	EA60913
BL12772	EA27701
BL24811	EA35215
BL18042	EA04182
BL19252	EA65225
BL03912	EA60803
BL03944	EA21873
BL05080	EA50774
BL05112	EA13649
BL28082	EA73643
BL12713	EA29563
BL19241	EA35301
BL18721	EA02315
BL18037	EA43370
BL18069	EA84073
BL03982	EA08030
BL21198	EA41762
BL20491	EA61039
BL24399	EA22745
BL25279	EA67689
BL10606	EA26751
BL01053	EA09586
BL02505	EA80559
BL03182	EA06893
BL07424	EA70979
BL14239	EA59929
BL22595	EA19906
BL16727	EA71569
BL00774	EA20294
BL01830	EA51014
BL25096	EA27849
BL27765	EA21365
BL24953	EA31287
BL27752	EA15178
BL20667	EA27942
BL23594	EA42880
BL23735	EA01799
BL23767	EA83218
BL08680	EA74463
BL06384	EA71794
BL27550	EA51337
BL08532	EA84847
BL12365	EA11680
BL10787	EA09398
BL10819	EA50858
BL00756	EA18709
BL20158	EA14513
BL20707	EA06531
BL27945	EA11896
BL21769	EA11367
BL07442	EA80232
BL01749	EA53518
BL06132	EA38070
BL15543	EA69322
BL15575	EA33401
BL16344	EA56223
BL19052	EA49135
BL17304	EA61226
BL14697	EA51023
BL03199	EA73601
BL21565	EA68886
BL01225	EA50423
BL02810	EA19679
BL25964	EA84547
BL04277	EA41241
BL23991	EA25965
BL01442	EA47133
BL19648	EA50071
BL19680	EA67572
BL10839	EA09956
BL14698	EA12729
BL20404	EA57676
BL03915	EA74900
BL06424	EA32996
BL11088	EA20490
BL12423	EA52534
BL18705	EA41859
BL11346	EA18549
BL17423	EA33206
BL02601	EA06294
BL05078	EA64418
BL01409	EA57987
BL01441	EA54475
BL04616	EA18640
BL06729	EA45868
BL07417	EA17538
BL07449	EA15716
BL01116	EA10106
BL11205	EA60577
BL00372	EA09496
BL01944	EA36359
BL01976	EA12965
BL21777	EA28628
BL22161	EA24612
BL16267	EA04620
BL19276	EA81143
BL19308	EA80478
BL23323	EA06414
BL13996	EA15734
BL15157	EA35221
BL14707	EA24334
BL11171	EA63922
BL25067	EA39137
BL23484	EA46287
BL25948	EA85785
BL00903	EA53093
BL21519	EA77104
BL21551	EA32215
BL19919	EA62496
BL14423	EA76999
BL18072	EA45314
BL24300	EA25268
BL06994	EA01647
BL28008	EA23390
BL20142	EA29746
BL24753	EA40583
BL23488	EA06592
BL11849	EA53539
BL05022	EA65743
BL05054	EA66355
BL19524	EA52304
BL19556	EA82719
BL14203	EA12556
BL14788	EA75763
BL15331	EA01592
BL21722	EA68912
BL23782	EA20923
BL19911	EA00913
BL08662	EA33285
BL10304	EA28021
BL19391	EA55233
BL22597	EA19451
BL27527	EA18199
BL27559	EA76938
BL00995	EA54060
BL16224	EA03159
BL04985	EA60396
BL23341	EA06338
BL27338	EA74272
BL17742	EA46958
BL21475	EA41088
BL10424	EA23802
BL27828	EA66191
BL06921	EA81337
BL07593	EA01104
BL07625	EA18496
BL15039	EA47081
BL23746	EA04847
BL28072	EA13562
BL02938	EA73542
BL08753	EA79506
BL08785	EA36790
BL15332	EA53370
BL21176	EA54508
BL26451	EA37103
BL26483	EA26484
BL17104	EA80991
BL19363	EA80115
BL24839	EA53680
BL10619	EA38067
BL19142	EA84261
BL19783	EA01935
BL22447	EA51313
BL13078	EA59568
BL13377	EA00417
BL15122	EA47987
BL15154	EA05005
BL23736	EA58868
BL25385	EA09278
BL24792	EA81428
BL10573	EA51177
BL02701	EA07786
BL15643	EA67758
BL18456	EA83168
BL11395	EA64966
BL21991	EA23190
BL19366	EA39448
BL22415	EA53316
BL02125	EA66741
BL04027	EA06297
BL05387	EA13815
BL24878	EA38194
BL26073	EA82533
BL05102	EA73877
BL08113	EA65622
BL13713	EA71122
BL11161	EA32172
BL12428	EA53903
BL14985	EA04493
BL15375	EA03649
BL19012	EA81832
BL01365	EA38774
BL21935	EA57538
BL19406	EA44090
BL19438	EA76354
BL19887	EA20328
BL21649	EA25857
BL19408	EA46036
BL20113	EA16016
BL12033	EA51116
BL22185	EA23604
BL07922	EA65103
BL01269	EA54748
BL17790	EA18570
BL26394	EA56548
BL14603	EA78255
BL16580	EA30242
BL14880	EA05010
BL19286	EA06401
BL20662	EA27749
BL22453	EA86301
BL22485	EA36762
BL18829	EA44893
BL18273	EA40639
BL19949	EA06595
BL16798	EA17146
BL22604	EA33386
BL22636	EA79126
BL05611	EA01908
BL05643	EA72093
BL15838	EA30010
BL14806	EA03236
BL16938	EA12458
BL25567	EA19966
BL18561	EA02035
BL21307	EA71142
BL21133	EA04582
BL00611	EA48311
BL04250	EA28489
BL07659	EA03428
BL07691	EA16978
BL27516	EA12754
BL01748	EA10916
BL01780	EA09490
BL11069	EA58050
BL02958	EA03937
BL04735	EA16226
BL06072	EA35501
BL05971	EA54454
BL10762	EA37492
BL27343	EA74757
BL00839	EA42056
BL02527	EA50929
BL02564	EA07296
BL04431	EA62075
BL20690	EA59757
BL18529	EA83320
BL10648	EA61846
BL27601	EA22855
BL07942	EA16590
BL04082	EA05564
BL12029	EA63898
BL09262	EA49141
BL00874	EA58738
BL05096	EA33607
BL26991	EA85192
BL27023	EA07160
BL03913	EA58177
BL05305	EA54188
BL03945	EA02592
BL12693	EA58658
BL12725	EA19723
BL01920	EA39518
BL05640	EA12968
BL14385	EA57037
BL16020	EA51616
BL13460	EA16345
BL21001	EA55138
BL28027	EA77965
BL03364	EA63205
BL03396	EA27345
BL01320	EA11770
BL01864	EA48735
BL01896	EA38364
BL03193	EA29828
BL11760	EA00757
BL13900	EA36171
BL12370	EA30505
BL13719	EA57180
BL15342	EA00045
BL24970	EA66878
BL03267	EA27072
BL04009	EA74746
BL21927	EA70606
BL23336	EA06894
BL02141	EA39052
BL25681	EA43201
BL25289	EA62223
BL18183	EA45103
BL18215	EA25869
BL18489	EA79580
BL18521	EA85053
BL22685	EA01134
BL24826	EA25853
BL03276	EA84844
BL04893	EA16690
BL13060	EA04472
BL21653	EA70192
BL18824	EA43910
BL17364	EA27344
BL19883	EA06102
BL20845	EA80279
BL17235	EA26481
BL19404	EA45903
BL07685	EA04300
BL04154	EA18964
BL04637	EA74481
BL03592	EA00182
BL04329	EA65915
BL19022	EA66393
BL21058	EA04967
BL18659	EA82552
BL16893	EA85069
BL21910	EA71193
BL22341	EA47347
BL22398	EA50235
BL00039	EA07258
BL20185	EA45318
BL22433	EA55588
BL01936	EA20623
BL01968	EA50696
BL02067	EA28785
BL02916	EA07588
BL10820	EA03434
BL04249	EA64459
BL04281	EA34711
BL07172	EA70975
BL04053	EA59149
BL04085	EA74274
BL21949	EA46196
BL19612	EA80422
BL07709	EA16859
BL02577	EA79233
BL18034	EA39865
BL15911	EA65453
BL17310	EA67120
BL17475	EA36003
BL15248	EA02889
BL16433	EA72051
BL12646	EA59718
BL13462	EA07225
BL27551	EA76897
BL07444	EA29711
BL28037	EA30913
BL04945	EA64913
BL26560	EA21350
BL26942	EA30940
BL26974	EA75725
BL02287	EA26539
BL02319	EA20255
BL21379	EA43192
BL19747	EA48127
BL15443	EA74885
BL02481	EA65200
BL15022	EA78558
BL05451	EA48689
BL17239	EA29183
BL00960	EA37080
BL26664	EA78887
BL21414	EA24413
BL21446	EA72550
BL19461	EA65888
BL01362	EA36830
BL01394	EA37120
BL20225	EA03506
