s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi
EPSTI1	5873791	chrm1	28	ENSGALG00000016964	168020290	1	849
LOC116942562	6231905	chrm1	30	ENSGALG00000032659	19001039	1	113
SPICE1	22956101	chrm1	162	ENSGALG00000045606	80098302	1	528
LOC116940787	4741093	chrm1	26	ENSGALG00000009479	22916121	2	1169
SPAG6	5686635	chrm1	27	ENSGALG00000007892	17728029	2	1126
LOC116943041	10793132	chrm1	54	ENSGALG00000031227	914016	2	1036
LOC116944907	11540756	chrm1	58	ENSGALG00000014887	62855425	3	2225
MSH5	14044356	chrm1	82	ENSGALG00000038188	57527018	3	2202
GSR	1532354	chrm1	11	ENSGALG00000037781	34628330	4	2698
LOC116943529	12581866	chrm1	65	ENSGALG00000024482	49238032	4	2777
LOC116943443	13847753	chrm1	77	ENSGALG00000038771	49136257	4	2772
LOC116946637	14296058	chrm1	89	ENSGALG00000028041	38131004	4	2715
LSM6	14810850	chrm1	96	ENSGALG00000009985	31368146	4	2669
LOC116939057	23705893	chrm1	169	ENSGALG00000011684	51603052	4	2799
LOC116944456	82121	chrm1	1	ENSGALG00000003803	12371157	Z	3120
LOC116943105	210173	chrm1	2	ENSGALG00000015209	44369961	Z	3284
LOC116950944	444162	chrm1	4	ENSGALG00000012620	41851352	Z	3277
LOC116941938	666374	chrm1	5	ENSGALG00000014751	20519860	Z	3163
PIGG	1365438	chrm1	8	ENSGALG00000015349	53415783	Z	3315
MTREX	1693760	chrm1	13	ENSGALG00000014709	16760912	Z	3142
TOPORS	1841556	chrm1	16	ENSGALG00000020523	67319345	Z	3393
EGFLAM	2158319	chrm1	17	ENSGALG00000003726	11920847	Z	3116
LOC116955742	2188145	chrm1	18	ENSGALG00000003432	10597099	Z	3109
LOC116939737	3089193	chrm1	20	ENSGALG00000032776	592143	Z	3047
LOC116940030	3227944	chrm1	22	ENSGALG00000002539	73543841	Z	3423
TXN	7642807	chrm1	41	ENSGALG00000015704	66729464	Z	3387
ECPAS	8458991	chrm1	42	ENSGALG00000015689	66608736	Z	3384
LOC116942972	9078838	chrm1	43	ENSGALG00000015729	67081222	Z	3390
BRIX1	9612160	chrm1	48	ENSGALG00000003373	10563504	Z	3107
LOC116943122	9828180	chrm1	51	ENSGALG00000014726	18063445	Z	3150
LOC116943253	9980910	chrm1	53	ENSGALG00000015683	66596998	Z	3382
TRAPPC13	11570968	chrm1	59	ENSGALG00000014767	20606618	Z	3166
MTAP	12348389	chrm1	61	ENSGALG00000008174	78808956	Z	3424
PLAA	12377749	chrm1	62	ENSGALG00000001782	68726436	Z	3395
CCDC125	12548216	chrm1	63	ENSGALG00000015572	64364473	Z	3371
AK3	12635395	chrm1	66	ENSGALG00000014447	27469311	Z	3219
LOC116941637	13070057	chrm1	70	ENSGALG00000014724	17517387	Z	3148
RIC1	13136849	chrm1	71	ENSGALG00000015036	27712511	Z	3223
LOC116943509	13158813	chrm1	72	ENSGALG00000015028	27627531	Z	3222
LOC116943329	13335459	chrm1	74	ENSGALG00000014716	17060827	Z	3144
NUP155	13798412	chrm1	75	ENSGALG00000003688	11564661	Z	3115
INIP	14030202	chrm1	80	ENSGALG00000020528	66125223	Z	3379
LOC116946187	14223094	chrm1	86	ENSGALG00000015728	66921864	Z	3389
DNAJC21	14244573	chrm1	87	ENSGALG00000003387	10575851	Z	3108
POLR3GL	15955667	chrm1	100	ENSGALG00000014650	59914465	Z	3353
POC5	16416374	chrm1	102	ENSGALG00000014960	23821152	Z	3190
LOC116952724	17366777	chrm1	106	ENSGALG00000033353	3471973	Z	3064
ACO1	17871743	chrm1	108	ENSGALG00000002162	71167701	Z	3410
SMU1	17874730	chrm1	109	ENSGALG00000002014	70821962	Z	3402
SNCAIP	18405106	chrm1	112	ENSGALG00000005330	81295732	Z	3434
LOC116956955	19159229	chrm1	117	ENSGALG00000015080	33891677	Z	3242
LOC116957544	19364285	chrm1	118	ENSGALG00000015078	34141730	Z	3243
LOC116957784	19526571	chrm1	119	ENSGALG00000002578	9221378	Z	3093
LOXHD1	20067098	chrm1	123	ENSGALG00000037829	1917366	Z	3060
MRPS27	20739299	chrm1	129	ENSGALG00000015002	25266791	Z	3207
CAAP1	21102499	chrm1	134	ENSGALG00000001765	68707323	Z	3394
NIM1K	21447152	chrm1	141	ENSGALG00000014861	13642618	Z	3128
LOC116943746	22110652	chrm1	147	ENSGALG00000021843	44328999	Z	3283
LOC116943667	22692803	chrm1	157	ENSGALG00000015754	67291211	Z	3392
LOC116943662	22924653	chrm1	161	ENSGALG00000015050	27886360	Z	3225
LOC116939010	23332286	chrm1	167	ENSGALG00000015090	33617017	Z	3239
LOC116939363	25072437	chrm1	180	ENSGALG00000015101	32692210	Z	3236
CCDC171	25216292	chrm1	181	ENSGALG00000015103	31978141	Z	3235
LOC116939517	25788793	chrm1	185	ENSGALG00000015150	36554622	Z	3254
LOC116939609	26400849	chrm1	189	ENSGALG00000037611	9283017	Z	3095
AK6	26457403	chrm1	193	ENSGALG00000020534	64369042	Z	3372
KATNAL2	26970864	chrm1	200	ENSGALG00000041882	1782160	Z	3058
DYM	27427195	chrm1	207	ENSGALG00000037426	1086905	Z	3054
LOC116939953	27566382	chrm1	210	ENSGALG00000000184	45760913	Z	3289
LOC116940019	27998015	chrm1	215	ENSGALG00000015184	38482983	Z	3261
LOC116940048	28253992	chrm1	217	ENSGALG00000017411	10315033	Z	3101
LOC116940099	28715177	chrm1	220	ENSGALG00000014645	60517699	Z	3355
XRCC4	29333490	chrm1	223	ENSGALG00000015620	63173370	Z	3362
LOC116940201	29404833	chrm1	224	ENSGALG00000015624	62961099	Z	3361
LOC116940268	29787969	chrm1	228	ENSGALG00000015144	35762090	Z	3251
LOC116940340	30350477	chrm1	235	ENSGALG00000002371	8966772	Z	3086
LOC116940372	30421214	chrm1	236	ENSGALG00000028140	8134526	Z	3081
GALT	30453911	chrm1	238	ENSGALG00000026195	7943943	Z	3080
LOC116940454	30869540	chrm1	242	ENSGALG00000015384	53711316	Z	3319
FGF10	31365456	chrm1	251	ENSGALG00000014872	14032776	Z	3132
CRHBP	31492973	chrm1	253	ENSGALG00000014994	23375581	Z	3186
LOC116940825	32512418	chrm1	259	ENSGALG00000030063	808461	Z	3049
ZNF532	32549743	chrm1	260	ENSGALG00000041052	852387	Z	3050
LOC116940854	32591415	chrm1	261	ENSGALG00000034821	962645	Z	3051
LOC116940994	33327950	chrm1	269	ENSGALG00000017447	36854752	Z	3256
LOC116940957	33341219	chrm1	270	ENSGALG00000033256	37074184	Z	3257
LOC116941111	33727010	chrm1	276	ENSGALG00000015264	50100505	Z	3302
JMY	33821382	chrm1	278	ENSGALG00000014819	22404480	Z	3175
OTP	33957231	chrm1	281	ENSGALG00000026744	23138812	Z	3182
PDE8B	34013765	chrm1	283	ENSGALG00000004339	23289222	Z	3184
LOC116941327	34051747	chrm1	284	ENSGALG00000015177	37913443	Z	3259
NDUFS8	6607606	chrm1	34	ENSGALG00000040173	536046	5	3467
LOC116944327	7347051	chrm1	39	ENSGALG00000040479	17281798	5	3619
TCTN1	7276043	chrm1	37	ENSGALG00000010517	36263376	6	4610
EXOSC3	14211501	chrm1	85	ENSGALG00000002426	5131035	6	4315
LOC116936807	9747	chrm1	0	ENSGALG00000005302	12336170	8	4714
CMPK1	1462744	chrm1	9	ENSGALG00000010481	22291564	8	4818
LOC116942342	9218378	chrm1	44	ENSGALG00000008709	16765731	8	4755
SPATA1	9587492	chrm1	46	ENSGALG00000008784	16965095	8	4758
WLS	9724355	chrm1	50	ENSGALG00000011238	29096474	8	4881
LOC116943204	9886484	chrm1	52	ENSGALG00000010569	24611889	8	4831
LOC116944602	11489547	chrm1	57	ENSGALG00000028530	17105179	8	4762
CLCC1	11641997	chrm1	60	ENSGALG00000002106	1738919	8	4617
LOC116943518	12572054	chrm1	64	ENSGALG00000010689	25003801	8	4844
LOC116943385	12914351	chrm1	67	ENSGALG00000005284	12320047	8	4712
OSBPL9	12975464	chrm1	68	ENSGALG00000010555	24471403	8	4829
TSPAN1	13014399	chrm1	69	ENSGALG00000010343	21841064	8	4805
LOC116941656	13191493	chrm1	73	ENSGALG00000011118	28936619	8	4877
DPYD	14017660	chrm1	79	ENSGALG00000005509	12966244	8	4720
SLC5A9	20925187	chrm1	131	ENSGALG00000010494	22961543	8	4821
ABCD3	21015210	chrm1	132	ENSGALG00000005647	13974017	8	4726
LOC116941733	21200567	chrm1	136	ENSGALG00000010436	22023808	8	4813
ATPAF1	21254573	chrm1	137	ENSGALG00000010444	22206503	8	4814
AGL	21328055	chrm1	138	ENSGALG00000005407	12503713	8	4717
CCDC17	21392987	chrm1	139	ENSGALG00000045029	21541771	8	4802
IPP	21417361	chrm1	140	ENSGALG00000010287	21586117	8	4803
ALG6	21509322	chrm1	143	ENSGALG00000010991	28139884	8	4869
MED8	21517396	chrm1	144	ENSGALG00000009993	20069284	8	4778
SZT2	21518538	chrm1	145	ENSGALG00000028561	20069230	8	4777
PODN	21925015	chrm1	146	ENSGALG00000021869	24907071	8	4841
LOC116943714	22165780	chrm1	148	ENSGALG00000028790	17017021	8	4761
LOC116943781	22240977	chrm1	150	ENSGALG00000040910	24858084	8	4838
LOC116943769	22507789	chrm1	151	ENSGALG00000005619	13932221	8	4725
WDR63	22580775	chrm1	153	ENSGALG00000008696	16764127	8	4754
LOC116943692	22753882	chrm1	158	ENSGALG00000011255	29113514	8	4882
CTH	22811149	chrm1	160	ENSGALG00000011331	29405129	8	4888
FAF1	23057953	chrm1	164	ENSGALG00000010536	24295113	8	4826
LOC116938836	23115544	chrm1	165	ENSGALG00000010857	26289893	8	4859
PSMD2	9603153	chrm1	47	ENSGALG00000006294	16044674	9	5053
MNS1	2988746	chrm1	19	ENSGALG00000013893	8108446	10	5220
LOC116939870	3134937	chrm1	21	ENSGALG00000001572	3091476	10	5165
GNB5	3289881	chrm1	23	ENSGALG00000039307	9323768	10	5232
RPS17	3390820	chrm1	24	ENSGALG00000002157	1793271	10	5134
CGNL1	3646290	chrm1	25	ENSGALG00000004294	7808270	10	5218
TLNRD1	14333311	chrm1	90	ENSGALG00000006399	12667133	10	5261
USP3	14408409	chrm1	91	ENSGALG00000003427	4524948	10	5189
TP53BP1	14678903	chrm1	92	ENSGALG00000042201	20696526	10	5344
LEO1	14738188	chrm1	94	ENSGALG00000004696	9458327	10	5234
LOC116947527	14804631	chrm1	95	ENSGALG00000002759	3510448	10	5172
SENP8	15702788	chrm1	97	ENSGALG00000027050	2022413	10	5139
CLPX	15949336	chrm1	99	ENSGALG00000007289	18168001	10	5289
ADPGK	16176381	chrm1	101	ENSGALG00000001788	2190828	10	5145
LOC116951481	16898381	chrm1	103	ENSGALG00000007371	18356598	10	5295
LOC116954056	17893533	chrm1	110	ENSGALG00000003322	4293508	10	5187
HERC1	18036354	chrm1	111	ENSGALG00000003381	4402618	10	5188
LOC116956130	18621124	chrm1	114	ENSGALG00000030988	1575874	10	5131
UBL7	18830109	chrm1	115	ENSGALG00000001394	2969170	10	5160
LOC116938253	19966108	chrm1	121	ENSGALG00000004230	7445902	10	5214
MINDY2	20039752	chrm1	122	ENSGALG00000004204	7383551	10	5212
LOC116938421	20245639	chrm1	124	ENSGALG00000004171	7315284	10	5210
CCNB2	20254880	chrm1	125	ENSGALG00000004161	7272826	10	5209
LOC116938511	20384577	chrm1	126	ENSGALG00000004150	7185219	10	5208
CTDSPL2	20494490	chrm1	128	ENSGALG00000008199	20248395	10	5323
MAP1B	20853227	chrm1	130	ENSGALG00000008425	20655060	10	5343
APBA1	24128599	chrm1	171	ENSGALG00000003930	6257700	10	5198
ISLR2	24173422	chrm1	172	ENSGALG00000029151	3063299	10	5163
LOC116939196	24223992	chrm1	173	ENSGALG00000001449	3042693	10	5162
LOC116939211	24333015	chrm1	174	ENSGALG00000041510	1504414	10	5129
