s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi
EA38421	1619247	chr1	2	ENSGALG00000035839	138617238	1	739
EA35952	3166281	chr1	7	ENSGALG00000016628	128198873	1	689
EA35876	4681665	chr1	13	ENSGALG00000015662	99407800	1	572
EA36683	5470357	chr1	15	ENSGALG00000015347	86683390	1	538
EA38465	5698981	chr1	16	ENSGALG00000015453	93219627	1	557
EA36682	5814825	chr1	17	ENSGALG00000015446	93187518	1	556
EA38659	6111722	chr1	18	ENSGALG00000014970	80650199	1	490
EA37385	6198607	chr1	19	ENSGALG00000014977	80750810	1	492
EA36071	6621192	chr1	20	ENSGALG00000016050	108342782	1	601
EA39659	9111475	chr1	28	ENSGALG00000012870	57259623	1	354
EA37187	9284784	chr1	31	ENSGALG00000040840	51511452	1	311
EA37396	24801045	chr1	68	ENSGALG00000017201	186558375	1	882
EA36359	28846627	chr1	81	ENSGALG00000014800	79998068	1	480
EA38654	31878721	chr1	86	ENSGALG00000043393	94975094	1	569
EA37817	32764176	chr1	88	ENSGALG00000015025	81306906	1	498
EA35903	33537377	chr1	95	ENSGALG00000015069	81391655	1	501
EA39111	33802324	chr1	96	ENSGALG00000015770	104122132	1	579
EA37283	36311670	chr1	99	ENSGALG00000015742	103813504	1	576
EA36732	36311888	chr1	100	ENSGALG00000031560	80019463	1	481
EA35909	36340192	chr1	101	ENSGALG00000015378	89812171	1	545
EA36368	36417696	chr1	102	ENSGALG00000015379	89826119	1	546
EA36723	36571205	chr1	103	ENSGALG00000042771	96501041	1	570
EA37342	37874711	chr1	105	ENSGALG00000037655	93792987	1	563
EA36075	46467386	chr1	135	ENSGALG00000016855	142495382	1	757
EA35783	46742383	chr1	137	ENSGALG00000041949	194374727	1	910
EA39349	46790960	chr1	138	ENSGALG00000016734	131537499	1	697
EA38889	50720335	chr1	151	ENSGALG00000017332	196850266	1	936
EA37492	54520878	chr1	161	ENSGALG00000016991	169655095	1	803
EA36061	55761243	chr1	162	ENSGALG00000016955	167502950	1	794
EA35902	92828925	chr1	242	ENSGALG00000017135	180188435	1	856
EA38991	92987365	chr1	243	ENSGALG00000017145	180568847	1	860
EA39794	93078202	chr1	244	ENSGALG00000015073	81383483	1	500
EA39420	102566550	chr1	269	ENSGALG00000016815	138282713	1	736
EA39530	110016189	chr1	297	ENSGALG00000019178	110421676	1	610
EA36752	111347442	chr1	299	ENSGALG00000009514	28704250	1	142
EA36031	112087995	chr1	300	ENSGALG00000031699	46042533	1	237
EA35815	112645800	chr1	301	ENSGALG00000011504	46668978	1	238
EA36720	112788695	chr1	302	ENSGALG00000012662	53933065	1	329
EA36210	112955313	chr1	303	ENSGALG00000019336	45188550	1	224
EA39247	113350715	chr1	305	ENSGALG00000012987	60277782	1	369
EA35758	113821573	chr1	306	ENSGALG00000012919	58904233	1	359
EA37290	113920777	chr1	307	ENSGALG00000012929	58950391	1	360
EA37804	116818767	chr1	309	ENSGALG00000038467	20448934	1	105
EA37158	117003298	chr1	311	ENSGALG00000009547	29702685	1	146
EA39443	117357225	chr1	312	ENSGALG00000008144	1638626	1	18
EA36135	118008469	chr1	313	ENSGALG00000009448	27068635	1	137
EA36911	119140623	chr1	318	ENSGALG00000008926	22670290	1	119
EA38262	120156021	chr1	319	ENSGALG00000009730	31253936	1	151
EA38870	120922536	chr1	323	ENSGALG00000009859	33914415	1	167
EA38113	121883818	chr1	327	ENSGALG00000007931	14993974	1	86
EA38572	122027496	chr1	328	ENSGALG00000014038	6862558	1	41
EA22730	130731857	chr1	350	ENSGALG00000010311	38750909	1	201
EA22688	131395366	chr1	352	ENSGALG00000010253	38250499	1	199
EA21850	131416374	chr1	353	ENSGALG00000010246	38171779	1	198
EA22518	131949507	chr1	354	ENSGALG00000033855	65337340	1	393
EA21977	133974687	chr1	358	ENSGALG00000043178	1275443	1	7
EA24104	134803098	chr1	360	ENSGALG00000008401	1752991	1	21
EA23457	134983410	chr1	361	ENSGALG00000006731	4825151	1	33
EA23958	134986093	chr1	362	ENSGALG00000024480	93704946	1	561
EA21873	135664320	chr1	364	ENSGALG00000009945	35464430	1	178
EA21809	135853482	chr1	365	ENSGALG00000011276	44433309	1	219
EA21846	136129530	chr1	366	ENSGALG00000011274	44202174	1	218
EA22168	136655251	chr1	367	ENSGALG00000030550	43483144	1	215
EA23333	139181331	chr1	371	ENSGALG00000012975	59998044	1	366
EA24394	139409571	chr1	374	ENSGALG00000009840	33758983	1	165
EA23827	139480610	chr1	375	ENSGALG00000008797	22351088	1	115
EA21728	139857452	chr1	376	ENSGALG00000033772	6801597	1	37
EA23552	139977131	chr1	377	ENSGALG00000008154	14006452	1	75
EA22175	140439923	chr1	378	ENSGALG00000039861	20822048	1	109
EA23101	140504710	chr1	379	ENSGALG00000013018	15825373	1	93
EA24012	140504960	chr1	380	ENSGALG00000040272	15825318	1	92
EA22978	140698436	chr1	381	ENSGALG00000043355	16025693	1	95
EA24022	141592540	chr1	384	ENSGALG00000007098	15477556	1	91
EA23054	143211083	chr1	385	ENSGALG00000023584	17209558	1	98
EA23374	153797526	chr1	415	ENSGALG00000012947	59579363	1	363
EA23604	153975357	chr1	416	ENSGALG00000017299	197370909	1	946
EA22762	154265996	chr1	417	ENSGALG00000036358	63412998	1	387
EA23682	155495381	chr1	419	ENSGALG00000013112	63899629	1	388
EA23139	155944711	chr1	422	ENSGALG00000010940	40199692	1	207
EA22012	166342660	chr1	459	ENSGALG00000009023	23587086	1	123
EA23582	166502704	chr1	461	ENSGALG00000009066	23926311	1	125
EA22099	167645725	chr1	462	ENSGALG00000009586	30191198	1	147
EA22386	168596937	chr1	464	ENSGALG00000029616	54674159	1	333
EA23128	168771179	chr1	466	ENSGALG00000031934	25342793	1	131
EA23001	170715660	chr1	468	ENSGALG00000019215	92636541	1	552
EA24422	173072501	chr1	484	ENSGALG00000008098	14392312	1	79
EA21719	174347135	chr1	492	ENSGALG00000019171	111636893	1	622
EA23118	182559321	chr1	500	ENSGALG00000008382	11555109	1	57
EA23112	182630741	chr1	501	ENSGALG00000008439	11371413	1	56
EA22894	182861838	chr1	502	ENSGALG00000040444	11192618	1	55
EA22534	183540428	chr1	503	ENSGALG00000009805	33338738	1	160
EA23547	183721998	chr1	504	ENSGALG00000030024	33026378	1	158
EA23646	195786444	chr1	511	ENSGALG00000032659	19001039	1	99
EA24028	198420892	chr1	514	ENSGALG00000009540	29660476	1	144
EA23955	199777702	chr1	519	ENSGALG00000012992	60432077	1	370
EA22103	200659112	chr1	524	ENSGALG00000012865	57002305	1	351
EA22945	201782869	chr1	526	ENSGALG00000040189	110362181	1	609
EA22087	204593532	chr1	528	ENSGALG00000014083	67982231	1	404
EA21908	205673628	chr1	533	ENSGALG00000030702	4815768	1	31
EA23651	205889280	chr1	535	ENSGALG00000011409	45696331	1	231
EA36523	9251352	chr1	30	ENSGALG00000043597	126027308	2	1533
EA37945	19523421	chr1	56	ENSGALG00000006437	8600620	2	1006
EA38430	21198429	chr1	60	ENSGALG00000007680	16731265	2	1041
EA38466	21494086	chr1	62	ENSGALG00000038522	991608	2	964
EA38240	21617751	chr1	63	ENSGALG00000006599	9915430	2	1014
EA38690	24800689	chr1	67	ENSGALG00000039589	55312884	2	1253
EA38524	30788135	chr1	84	ENSGALG00000037203	43386277	2	1197
EA37098	40106230	chr1	113	ENSGALG00000005487	3930891	2	979
EA38489	41276297	chr1	119	ENSGALG00000005826	4751685	2	988
EA36060	41739631	chr1	120	ENSGALG00000013001	77878227	2	1330
EA38254	41900353	chr1	121	ENSGALG00000038328	78221561	2	1332
EA35935	43450114	chr1	123	ENSGALG00000043243	49886906	2	1238
EA35855	44184146	chr1	124	ENSGALG00000031971	53559936	2	1248
EA37642	44549753	chr1	126	ENSGALG00000022909	84766062	2	1351
EA38711	44941743	chr1	128	ENSGALG00000007331	14783967	2	1027
EA36471	45011316	chr1	129	ENSGALG00000006181	6273812	2	997
EA38646	45380559	chr1	131	ENSGALG00000040028	44413014	2	1201
EA36626	47093712	chr1	140	ENSGALG00000009410	22674871	2	1083
EA36230	52269103	chr1	155	ENSGALG00000007417	15599281	2	1031
EA37505	65159288	chr1	187	ENSGALG00000010708	25024569	2	1103
EA39726	86455548	chr1	224	ENSGALG00000005417	3303810	2	975
EA37660	88043285	chr1	227	ENSGALG00000037669	47957624	2	1225
EA37166	88633348	chr1	229	ENSGALG00000009670	23677464	2	1092
EA37896	89047119	chr1	230	ENSGALG00000009512	23311143	2	1090
EA37509	89458994	chr1	231	ENSGALG00000009752	24691866	2	1099
EA39777	95176004	chr1	252	ENSGALG00000009467	22674891	2	1084
EA37593	101331542	chr1	265	ENSGALG00000011442	39748109	2	1158
EA36490	102412638	chr1	268	ENSGALG00000039169	45962363	2	1211
EA35862	103505278	chr1	274	ENSGALG00000011278	35794567	2	1148
EA23997	146627454	chr1	393	ENSGALG00000011254	35241163	2	1147
EA23263	149100768	chr1	399	ENSGALG00000034628	85678765	2	1357
EA22082	149422760	chr1	401	ENSGALG00000011304	37881702	2	1155
EA24094	165212197	chr1	450	ENSGALG00000038469	629829	2	960
EA37384	9297488	chr1	32	ENSGALG00000014964	64048903	3	2074
EA37291	9921016	chr1	35	ENSGALG00000008847	10229406	3	1702
EA37120	11194138	chr1	41	ENSGALG00000032640	32555854	3	1893
EA36452	15365311	chr1	45	ENSGALG00000010023	27261822	3	1845
EA36220	15558690	chr1	46	ENSGALG00000031265	88773	3	1635
EA38270	16325845	chr1	50	ENSGALG00000010182	30404762	3	1867
EA38862	17025024	chr1	51	ENSGALG00000009052	8715863	3	1685
EA38546	18260845	chr1	53	ENSGALG00000032259	25943216	3	1839
EA38774	21273570	chr1	61	ENSGALG00000010571	32136491	3	1890
EA36699	67425505	chr1	189	ENSGALG00000023648	11901866	3	1713
EA38364	67976891	chr1	190	ENSGALG00000010285	30500633	3	1869
EA36483	70692309	chr1	195	ENSGALG00000031427	36441865	3	1915
EA38223	74070104	chr1	198	ENSGALG00000034003	38194653	3	1928
EA37103	74202233	chr1	199	ENSGALG00000042853	38193355	3	1927
EA38276	74332589	chr1	200	ENSGALG00000013950	38169225	3	1926
EA39461	74509384	chr1	201	ENSGALG00000013952	38124926	3	1925
EA37305	74684478	chr1	204	ENSGALG00000007832	2124833	3	1642
EA37625	80618172	chr1	213	ENSGALG00000010448	31430389	3	1883
EA36400	83768666	chr1	219	ENSGALG00000010671	34777525	3	1906
EA38638	83951158	chr1	220	ENSGALG00000011106	40287179	3	1942
EA36420	84477544	chr1	222	ENSGALG00000010341	31002022	3	1876
EA37070	85369718	chr1	223	ENSGALG00000008716	4686787	3	1677
EA35912	94795010	chr1	248	ENSGALG00000032529	9237768	3	1689
EA36346	94812374	chr1	249	ENSGALG00000010678	34835301	3	1907
EA37409	105314498	chr1	278	ENSGALG00000009896	23038588	3	1827
EA36554	106072708	chr1	281	ENSGALG00000039772	35972262	3	1914
EA37080	107092433	chr1	283	ENSGALG00000009627	19838366	3	1801
EA39430	108113973	chr1	288	ENSGALG00000009078	8390483	3	1683
EA37970	108149030	chr1	289	ENSGALG00000010014	26873799	3	1843
EA36038	108257357	chr1	290	ENSGALG00000009887	22952244	3	1825
EA37480	108279428	chr1	291	ENSGALG00000009890	22963144	3	1826
EA24461	156910270	chr1	425	ENSGALG00000016505	104301775	3	2242
EA23254	166110238	chr1	457	ENSGALG00000043290	16134058	3	1754
EA23404	166364870	chr1	460	ENSGALG00000037087	66313307	3	2082
EA23570	171823429	chr1	478	ENSGALG00000010131	29630379	3	1860
EA22565	171844227	chr1	479	ENSGALG00000019873	100534481	3	2233
EA36621	2425724	chr1	3	ENSGALG00000036539	1070879	4	2308
EA35945	3812855	chr1	9	ENSGALG00000037781	34628330	4	2492
EA39734	6755757	chr1	22	ENSGALG00000024039	1622728	4	2321
EA39071	30556629	chr1	83	ENSGALG00000004336	1237808	4	2310
EA38837	35798091	chr1	98	ENSGALG00000040746	1528834	4	2315
EA38773	46332233	chr1	133	ENSGALG00000009560	23878782	4	2438
EA36823	47216406	chr1	141	ENSGALG00000016088	89703407	4	2786
EA37606	53931351	chr1	160	ENSGALG00000005997	3290943	4	2352
EA36320	57496127	chr1	165	ENSGALG00000011395	49237907	4	2561
EA36505	74668266	chr1	203	ENSGALG00000005038	2095918	4	2334
EA39229	90638788	chr1	234	ENSGALG00000023191	46463750	4	2554
EA35779	91239715	chr1	237	ENSGALG00000038160	85464361	4	2764
EA36069	92631265	chr1	241	ENSGALG00000015665	82394778	4	2745
EA38536	107662472	chr1	286	ENSGALG00000014117	88655304	4	2781
EA23975	162844673	chr1	441	ENSGALG00000014395	73692459	4	2699
EA22317	163387528	chr1	444	ENSGALG00000014516	76880121	4	2712
EA22635	163687175	chr1	445	ENSGALG00000014954	78254035	4	2716
EA24315	165494548	chr1	451	ENSGALG00000015012	78650996	4	2722
EA22713	166005097	chr1	455	ENSGALG00000033888	91054683	4	2798
EA23409	170825786	chr1	469	ENSGALG00000015706	83316610	4	2751
EA24286	171181660	chr1	470	ENSGALG00000015692	82914478	4	2748
EA22901	171396096	chr1	472	ENSGALG00000030356	78512725	4	2718
EA23222	171486477	chr1	473	ENSGALG00000037214	82748684	4	2747
EA21637	173426832	chr1	488	ENSGALG00000014992	78519656	4	2719
EA24205	173807488	chr1	489	ENSGALG00000014386	73527041	4	2696
EA23802	173925477	chr1	490	ENSGALG00000010769	43785536	4	2530
EA36937	3873118	chr1	10	ENSGALG00000010158	25835637	Z	2960
EA37363	4121530	chr1	11	ENSGALG00000014711	16861020	Z	2897
EA37640	24826730	chr1	69	ENSGALG00000015704	66729464	Z	3124
EA36970	25088999	chr1	70	ENSGALG00000015721	66871680	Z	3125
EA35887	25211248	chr1	71	ENSGALG00000015728	66921864	Z	3126
EA37793	25551868	chr1	72	ENSGALG00000015729	67081222	Z	3127
EA39421	26110501	chr1	74	ENSGALG00000015689	66608736	Z	3122
EA38754	48231225	chr1	142	ENSGALG00000014700	16761257	Z	2896
EA39400	48319217	chr1	143	ENSGALG00000015572	64364473	Z	3111
EA38704	48444430	chr1	144	ENSGALG00000015571	64369090	Z	3113
EA38257	56338173	chr1	163	ENSGALG00000012620	41851352	Z	3021
EA38125	56978957	chr1	164	ENSGALG00000012606	40839365	Z	3015
EA38070	58658064	chr1	169	ENSGALG00000010179	26796711	Z	2967
EA39395	59298942	chr1	170	ENSGALG00000010164	26326424	Z	2963
EA37800	59961291	chr1	175	ENSGALG00000010147	25715039	Z	2959
EA37966	60795016	chr1	178	ENSGALG00000014730	18908652	Z	2907
EA39548	61399088	chr1	179	ENSGALG00000014734	19094373	Z	2909
EA39677	107375769	chr1	285	ENSGALG00000015311	52053816	Z	3052
EA24142	123773659	chr1	330	ENSGALG00000003688	11564661	Z	2874
EA21770	124058404	chr1	331	ENSGALG00000014767	20606618	Z	2919
EA24474	124511780	chr1	334	ENSGALG00000014724	17517387	Z	2903
EA22859	125009385	chr1	336	ENSGALG00000014768	20653718	Z	2920
EA23393	125800168	chr1	338	ENSGALG00000014729	18874705	Z	2906
EA23583	126267539	chr1	339	ENSGALG00000014727	18507712	Z	2905
EA22336	127974181	chr1	343	ENSGALG00000003446	10705011	Z	2866
EA22286	128279990	chr1	344	ENSGALG00000026598	43280187	Z	3025
EA23897	128419765	chr1	345	ENSGALG00000014862	13665258	Z	2884
EA22658	128498551	chr1	346	ENSGALG00000014859	13611179	Z	2882
EA23775	128611180	chr1	347	ENSGALG00000008174	78808956	Z	3161
EA24221	128701130	chr1	349	ENSGALG00000015349	53415783	Z	3059
EA24161	144963945	chr1	386	ENSGALG00000023552	10794664	Z	2867
EA23901	145223566	chr1	387	ENSGALG00000003558	11023261	Z	2870
EA22424	150650363	chr1	406	ENSGALG00000005846	31049251	Z	2977
EA22319	151665997	chr1	408	ENSGALG00000015036	27712511	Z	2971
EA22801	151876440	chr1	409	ENSGALG00000015390	53790695	Z	3064
EA23090	151899642	chr1	410	ENSGALG00000003631	11532281	Z	2873
EA23893	154778438	chr1	418	ENSGALG00000002599	9282571	Z	2853
EA23797	156780858	chr1	424	ENSGALG00000020569	19488829	Z	2911
EA22636	159414602	chr1	431	ENSGALG00000015326	52125583	Z	3055
EA21824	159518129	chr1	433	ENSGALG00000005390	81806717	Z	3177
EA23882	170452285	chr1	467	ENSGALG00000000247	46841797	Z	3041
EA39666	9980006	chr1	36	ENSGALG00000012287	57934495	5	3662
EA36657	9993733	chr1	37	ENSGALG00000012282	57934479	5	3661
EA39355	10302984	chr1	38	ENSGALG00000010093	36563103	5	3490
EA37035	10877648	chr1	39	ENSGALG00000009592	29682650	5	3446
EA36571	11016043	chr1	40	ENSGALG00000009526	29099825	5	3440
EA37855	13377962	chr1	42	ENSGALG00000009081	25917935	5	3409
