fid	gid	dups	age
OG_1000	g16307	1	Letjap
OG_1001	g25954	2	Letjap
OG_1001	g12683	2	Letjap
OG_1002	g13525	1	Letjap
OG_1003.1	g23271	3	Letjap
OG_1003.1	g2232	3	Letjap
OG_1003.1	g30589	3	Letjap
OG_1003.2	g23090	2	Letjap
OG_1003.2	g4065	2	Letjap
OG_1004	g3122	1	Letjap
OG_1006	g21568	2	Letjap
OG_1006	g7616	2	Letjap
OG_1009	g14123	1	Letjap
OG_1011	g16717	2	Letjap
OG_1011	g2499	2	Letjap
OG_1012	g13417	1	Letjap
OG_1013	g6258	3	Letjap
OG_1013	g19502	3	Letjap
OG_1013	g31668	3	Letjap
OG_1014	g13026	1	Letjap
OG_1016	g13385	1	Letjap
OG_1018	g634	2	Vertebrata
OG_1018	g7866	2	Vertebrata
OG_1019	g16626	4	Hyperoartia
OG_1019	g5453	4	Hyperoartia
OG_1019	g15184	4	Hyperoartia
OG_1019	g15183	4	Hyperoartia
OG_101	g7762	1	Letjap
OG_1020	g5781	1	Letjap
OG_1021	g19268	3	Cyclostomata
OG_1021	g31952	3	Cyclostomata
OG_1021	g21254	3	Cyclostomata
OG_1022	g9835	1	Letjap
OG_1027	g5725	1	Letjap
OG_1029.1	g829	1	Letjap
OG_1029.3	g829	1	Letjap
OG_102	g8670	1	Letjap
OG_1030	g10292	1	Letjap
OG_1031	g14967	1	Letjap
OG_1033	g13531	2	Vertebrata
OG_1033	g1705	2	Vertebrata
OG_1034	g9446	1	Letjap
OG_1035	g10605	1	Letjap
OG_1036	g26750	5	Letjap
OG_1036	g28074	5	Letjap
OG_1036	g32146	5	Letjap
OG_1036	g24169	5	Letjap
OG_1036	g19609	5	Letjap
OG_1037	g4415	1	Letjap
OG_103	g817	2	Hyperoartia
OG_103	g10336	2	Hyperoartia
OG_1040	g5653	1	Letjap
OG_1041	g2503	1	Letjap
OG_1045	g17629	3	Vertebrata
OG_1045	g17751	3	Vertebrata
OG_1045	g12565	3	Vertebrata
OG_1047	g2294	1	Letjap
OG_1048	g14126	2	Letjap
OG_1048	g14128	2	Letjap
OG_104	g14063	1	Letjap
OG_1052	g11857	3	Vertebrata
OG_1052	g17526	3	Vertebrata
OG_1052	g22470	3	Vertebrata
OG_1053	g25443	2	Leth
OG_1053	g16137	2	Leth
OG_1054	g3888	1	Letjap
OG_1055	g26111	2	Letjap
OG_1055	g31511	2	Letjap
OG_1056	g27221	2	Letjap
OG_1056	g6792	2	Letjap
OG_1057	g32349	3	Letjap
OG_1057	g28111	3	Letjap
OG_1057	g25397	3	Letjap
OG_1058	g13631	2	Vertebrata
OG_1058	g12069	2	Vertebrata
OG_1059	g9340	1	Letjap
OG_105.1	g20461	2	Cyclostomata
OG_105.1	g17035	2	Cyclostomata
OG_105.2	g9411	1	Letjap
OG_1060	g14385	1	Letjap
OG_1061	g1233	1	Letjap
OG_1062	g3327	1	Letjap
OG_1063	g23507	3	Letjap
OG_1063	g31638	3	Letjap
OG_1063	g7796	3	Letjap
OG_1064	g27608	1	Letjap
OG_1066	g18152	2	Letjap
OG_1066	g18153	2	Letjap
OG_1068	g22694	4	Hyperoartia
OG_1068	g21489	4	Hyperoartia
OG_1068	g687	4	Hyperoartia
OG_1068	g17203	4	Hyperoartia
OG_106	g5788	3	Vertebrata
OG_106	g27409	3	Vertebrata
OG_106	g8503	3	Vertebrata
OG_1070	g16983	1	Letjap
OG_1071	g6115	2	Vertebrata
OG_1071	g8040	2	Vertebrata
OG_1072	g106	1	Letjap
OG_1075	g5447	3	Vertebrata
OG_1075	g5448	3	Vertebrata
OG_1075	g13127	3	Vertebrata
OG_1079	g32236	2	Leth
OG_1079	g17171	2	Leth
OG_107	g5065	2	Letjap
OG_107	g5066	2	Letjap
OG_1080	g5220	1	Letjap
OG_1081	g2813	1	Letjap
OG_1082	g10599	1	Letjap
OG_1083	g4030	2	Vertebrata
OG_1083	g16874	2	Vertebrata
OG_1084	g31367	2	Letjap
OG_1084	g6110	2	Letjap
OG_1085	g4960	1	Letjap
OG_1086	g24889	4	Hyperoartia
OG_1086	g32021	4	Hyperoartia
OG_1086	g32302	4	Hyperoartia
OG_1086	g33319	4	Hyperoartia
OG_10874	g16165	1	Letjap
OG_10875	g12821	1	Letjap
OG_10876	g12821	2	Letjap
OG_10876	g27635	2	Letjap
OG_10878	g5529	1	Letjap
OG_10879	g14898	1	Letjap
OG_10880	g10973	1	Letjap
OG_10881	g8027	1	Letjap
OG_10882	g7607	1	Letjap
OG_10883	g4202	2	Leth
OG_10883	g22240	2	Leth
OG_10885	g29	1	Letjap
OG_10886	g10863	1	Letjap
OG_10888	g9229	1	Letjap
OG_10889	g3319	1	Letjap
OG_1088	g6690	1	Letjap
OG_10890	g26497	5	Hyperoartia
OG_10890	g18694	5	Hyperoartia
OG_10890	g27002	5	Hyperoartia
OG_10890	g31176	5	Hyperoartia
OG_10890	g29227	5	Hyperoartia
OG_10891	g11056	1	Letjap
OG_10892	g11499	1	Letjap
OG_10893	g549	1	Letjap
OG_10895	g9504	1	Letjap
OG_10897	g7673	1	Letjap
OG_10898	g5335	1	Letjap
OG_1089	g15290	2	Letjap
OG_1089	g26454	2	Letjap
OG_108	g8860	1	Letjap
OG_10900	g17650	2	Letjap
OG_10900	g31920	2	Letjap
OG_10902	g10242	1	Letjap
OG_10903	g10251	1	Letjap
OG_10905	g15866	1	Letjap
OG_10909	g1618	2	Letjap
OG_10909	g23156	2	Letjap
OG_1090	g18025	1	Letjap
OG_10910	g1618	1	Letjap
OG_10912	g1744	3	Letjap
OG_10912	g29030	3	Letjap
OG_10912	g23166	3	Letjap
OG_10913	g5350	2	Vertebrata
OG_10913	g3077	2	Vertebrata
OG_10914	g5603	1	Letjap
OG_10915	g9306	6	Vertebrata
OG_10915	g25624	6	Vertebrata
OG_10915	g25484	6	Vertebrata
OG_10915	g26211	6	Vertebrata
OG_10915	g13085	6	Vertebrata
OG_10915	g13084	6	Vertebrata
OG_10916	g923	1	Letjap
