s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg
BL01895	5735521	BFL_1	114	CLCC1	11641997	chrm1	57	A
BL01665	8731609	BFL_1	215	LRRC71	17820557	chrm1	94	A
BL01406	12213086	BFL_1	337	LOC116941866	5984192	chrm1	25	A
BL00921	19328857	BFL_1	574	LOC116939953	27566382	chrm1	194	A
BL00797	21398773	BFL_1	604	LOC116940251	29603534	chrm1	208	A
BL25600	1939720	BFL_1	29	LOC116944346	23415030	chrm2	416	A
BL01505	10823261	BFL_1	285	DPY19L1	25781942	chrm2	442	A
BL01414	12122605	BFL_1	331	NUP35	18704899	chrm2	378	A
BL01193	15155769	BFL_1	448	ADAT3	14142215	chrm2	336	A
BL00953	18747513	BFL_1	562	MAP3K19	11426691	chrm2	318	A
BL01954	4648250	BFL_1	82	SRPRA	21813322	chrm3	691	A
BL01945	4821920	BFL_1	87	TBC1D23	3643783	chrm3	486	A
BL01942	4852948	BFL_1	90	EIF3F	22857662	chrm3	696	A
BL01736	7855452	BFL_1	185	LOC116957087	21299276	chrm3	689	A
BL01698	8212404	BFL_1	202	LOC116957234	22040137	chrm3	692	A
BL01683	8462297	BFL_1	209	ANAPC13	21280837	chrm3	686	A
BL01246	14531982	BFL_1	419	SMIM12	782191	chrm3	451	A
BL01179	15386042	BFL_1	454	LOC116951950	3587099	chrm3	483	A
BL01118	16123760	BFL_1	480	LOC116957560	23765401	chrm3	703	A
BL01102	16341316	BFL_1	491	LOC116951933	3504663	chrm3	482	A
BL01098	16387634	BFL_1	494	COG7	6998182	chrm3	510	A
BL01077	16686718	BFL_1	499	HINFP	16245042	chrm3	608	A
BL01066	16888266	BFL_1	504	LOC116957411	22987355	chrm3	697	A
BL00839	20618445	BFL_1	600	MEGF8	23780765	chrm3	704	A
BL00816	20990376	BFL_1	602	LOC116957170	21784163	chrm3	690	A
BL14684	23672615	BFL_1	640	TOMM70	3318384	chrm3	478	A
