FID	NbGenes	NbSpecies	NbDesc	Strata	Losses	Panther Name
PTHR19346:SF2	27	14	16	Vertebrata	Amical,Orylat	Solute carrier family 35 member f4
PTHR46145	10	8	23	Deuterostomia	Strpur,Letrei,Petmar,Parata,Gnathostomata	Family not named
PTHR21346:SF5	9	9	16	Vertebrata	Leth,Amical,Orylat,Xentro,Mammalia	Fun14 domain-containing 2
PTHR23167:SF36	18	7	16	Vertebrata	Letrei,Petmar,Amical,Danrer,Sarcopterygia	Spectrin beta chain
PTHR19303:SF36	54	11	19	Chordata	Petmar,Chondrichthyes,Actinopterygii,Xentro	Not found
PTHR10725:SF32	85	4	16	Vertebrata	Hyperoartia,Chondrichthyes,Actinopterygii,Latcha,Xentro,Musmus	Dna transposase thap9
PTHR46704	1643	11	23	Deuterostomia	Acapla,Letjap,Chondrichthyes,Actinopterygii,Tetrapoda	Family not named
PTHR47018:SF1	1092	9	23	Deuterostomia	Acapla,Hyperoartia,Chondrichthyes,Actinopterygii,Tetrapoda	Subfamily not named
PTHR23022:SF127	83	4	19	Chordata	Brabel,Braflo,Hyperoartia,Chondrichthyes,Holostei,Danrer,Sarcopterygia	Not found
PTHR11375:SF2	38	21	23	Deuterostomia	Letrei,Amical	Acidic leucine-rich nuclear phosphoprotein 32 family member b
PTHR24361:SF414	22	14	23	Deuterostomia	Chipun,Holostei,Orylat,Sarcopterygia	Mitogen-activated protein kinase kinase kinase 1
PTHR46289:SF11	106	9	23	Deuterostomia	Acapla,Ptyfla,Hyperoartia,Chondrichthyes,Actinopterygii,Amniotes	Not found
PTHR10829	102	22	23	Deuterostomia	Amical	Cortactin and drebrin
PTHR11984:SF12	27	15	16	Vertebrata	Amical	Gap junction alpha-3 protein
PTHR45628:SF10	56	16	19	Chordata	Ceph2,Amical	Voltage-dependent l-type calcium channel subunit alpha-1c
PTHR24125:SF0	30	19	23	Deuterostomia	Strpur,Letrei,Amical,Orylat	Ankyrin repeat and death domain-containing protein 1a
PTHR42650	23	22	23	Deuterostomia	Amical	Family not named
PTHR42650:SF1	23	22	23	Deuterostomia	Amical	Tail-anchored protein insertion receptor wrb
PTHR24390:SF122	12	10	16	Vertebrata	Letrei,Petmar,Calmil,Holostei,Galgal	Myc-associated zinc finger protein
PTHR10104	11	11	23	Deuterostomia	Parata,Gnathostomata	Stathmin
PTHR46114	281	5	16	Vertebrata	Petmar,Chondrichthyes,Amical,Euteleostei,Sarcopterygia	Family not named
PTHR46114:SF1	281	5	16	Vertebrata	Petmar,Chondrichthyes,Amical,Euteleostei,Sarcopterygia	Subfamily not named
PTHR46060	108	6	19	Chordata	Brabel,Braflo,Letrei,Chondrichthyes,Actinopterygii,Tetrapoda	Family not named
PTHR33198:SF9	207	12	23	Deuterostomia	Hyperoartia,Chondrichthyes,Holostei,Danrer,Amniotes	Subfamily not named
PTHR47027	476	12	23	Deuterostomia	Acapla,Letjap,Petmar,Chondrichthyes,Amical,Danrer,Tetrapoda	Family not named
PTHR20951	23	22	23	Deuterostomia	Amical	C13orf1 protein-related
PTHR20951:SF2	23	22	23	Deuterostomia	Amical	Spry domain-containing protein 7
PTHR13585:SF19	465	18	23	Deuterostomia	Acapla,Hemichordata,Petmar,Amical	Zinc finger ccch domain-containing protein 13
PTHR15136	51	22	23	Deuterostomia	Amical	Family not named
PTHR33198:SF17	257	13	23	Deuterostomia	Hyperoartia,Chondrichthyes,Amical,Danrer,Amniotes	Not found
PTHR21083:SF0	23	21	23	Deuterostomia	Letrei,Amical	Protein pih1d3
PTHR21083	23	21	23	Deuterostomia	Letrei,Amical	Twister
PTHR10972:SF200	32	22	23	Deuterostomia	Amical	Not found
PTHR45841	21	20	23	Deuterostomia	Ptyfla,Letrei,Amical	Family not named
PTHR35555:SF1	51	8	23	Deuterostomia	Hyperoartia,Parata,Gnathostomata	Subfamily not named
PTHR15696:SF0	29	20	23	Deuterostomia	Letrei,Calmil,Amical	Telomerase-binding protein est1a
PTHR23274:SF39	82	6	23	Deuterostomia	Echinodermata,Sackow,Cephalochordata,Petmar,Chondrichthyes,Amical,Euteleostei,Sarcopterygia	Not found
PTHR11864:SF20	22	19	23	Deuterostomia	Ceph2,Letrei,Amical	Pre-mrna-processing factor 40 homolog a
PTHR22955	790	11	23	Deuterostomia	Letjap,Gnathostomata	Retrotransposon
PTHR23304:SF179	8	5	16	Vertebrata	Petmar,Parata,Calmil,Actinopterygii,Latcha,Amniotes	Not found
PTHR13608:SF3	26	22	23	Deuterostomia	Amical	Upf0668 protein c10orf76
PTHR13608	26	22	23	Deuterostomia	Amical	Uncharacterized
PTHR13375:SF3	22	22	23	Deuterostomia	Amical	Tho complex subunit 5 homolog
PTHR11566:SF32	29	19	23	Deuterostomia	Strpur,Ptyfla,Letrei,Amical	Dynamin-1
PTHR14885:SF2	33	19	23	Deuterostomia	Letrei,Petmar,Amical,Danrer	Subfamily not named
PTHR46600:SF2	15	7	23	Deuterostomia	Hemichordata,Cephalochordata,Hyperoartia,Chondrichthyes,Amical,Sarcopterygia	Not found
PTHR15124:SF22	114	15	23	Deuterostomia	Strpur,Ptyfla,Calmil,Holostei,Danrer,Mammalia	Not found
PTHR47018:SF2	549	9	23	Deuterostomia	Brabel,Hyperoartia,Chondrichthyes,Actinopterygii,Tetrapoda	Subfamily not named
PTHR12243:SF37	11	5	23	Deuterostomia	Strpur,Hemichordata,Cephalochordata,Hyperoartia,Chondrichthyes,Holostei,Sarcopterygia	Subfamily not named
PTHR45703:SF3	40	21	23	Deuterostomia	Letrei,Amical	Subfamily not named
PTHR12603:SF0	24	22	23	Deuterostomia	Amical	Ccr4-not transcription complex subunit 4
PTHR19303:SF27	91	6	16	Vertebrata	Calmil,Osteichthyes	Not found
PTHR48109:SF4	20	20	23	Deuterostomia	Letrei,Amical,Latcha	Not found
PTHR10270:SF161	34	11	23	Deuterostomia	Hyperoartia,Calmil,Actinopterygii,Latcha,Amniotes	Transcription factor sox-14-related
PTHR24051:SF5	22	16	23	Deuterostomia	Acapla,Hemichordata,Cephalochordata,Amical	Sushi domain-containing protein 1
PTHR46594:SF4	1	1	1	Eptbur		Not found
PTHR22803:SF69	27	16	23	Deuterostomia	Strpur,Hemichordata,Cephalochordata,Amical	C-type mannose receptor 2
PTHR15895	14	11	23	Deuterostomia	Echinodermata,Calmil,Osteichthyes	Immediate early response gene
PTHR20966	13	11	23	Deuterostomia	Echinodermata,Ptyfla,Hyperoartia,Parata,Amical,Euteleostei,Xentro,Galgal	Family not named
PTHR20966:SF2	13	11	23	Deuterostomia	Echinodermata,Ptyfla,Hyperoartia,Parata,Amical,Euteleostei,Xentro,Galgal	Ankyrin repeat and socs box protein 17
