s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi
EA35945	3812855	chr1	9	ENSLOCG00000012126	51473814	LG4	340
EA37223	20852944	chr1	69	ENSLOCG00000003574	11084444	LG4	63
EA37077	21757358	chr1	75	ENSLOCG00000007163	17764488	LG4	129
EA37640	24826730	chr1	80	ENSLOCG00000013388	66535547	LG4	421
EA36970	25088999	chr1	81	ENSLOCG00000013366	66432700	LG4	420
EA39421	26110501	chr1	85	ENSLOCG00000013324	66284921	LG4	417
EA37681	38682882	chr1	122	ENSLOCG00000005446	14078110	LG4	102
EA36718	39712932	chr1	126	ENSLOCG00000004424	12222976	LG4	84
EA37313	41665860	chr1	134	ENSLOCG00000004454	12260782	LG4	85
EA38773	46332233	chr1	148	ENSLOCG00000007882	19287837	LG4	143
EA36320	57496127	chr1	185	ENSLOCG00000002685	7211431	LG4	37
EA36117	63194030	chr1	202	ENSLOCG00000003644	11254718	LG4	66
EA39070	63682016	chr1	204	ENSLOCG00000003621	11174863	LG4	65
EA36173	63835257	chr1	205	ENSLOCG00000004370	12170966	LG4	82
EA37683	64247188	chr1	206	ENSLOCG00000004180	11892307	LG4	74
EA39528	64417208	chr1	207	ENSLOCG00000004550	12439818	LG4	88
EA39013	88816692	chr1	260	ENSLOCG00000005115	13213520	LG4	98
EA37509	89458994	chr1	263	ENSLOCG00000007520	18417342	LG4	137
EA35680	91206423	chr1	269	ENSLOCG00000001643	2295258	LG4	13
EA35779	91239715	chr1	270	ENSLOCG00000010881	43677927	LG4	270
EA36033	96219944	chr1	292	ENSLOCG00000006295	15782368	LG4	116
EA39677	107375769	chr1	324	ENSLOCG00000012813	61279666	LG4	385
EA23775	128611180	chr1	393	ENSLOCG00000013426	66650471	LG4	425
EA24221	128701130	chr1	396	ENSLOCG00000012169	51850180	LG4	344
EA24082	145887899	chr1	440	ENSLOCG00000004655	12559517	LG4	90
EA22309	147098877	chr1	445	ENSLOCG00000004233	12021291	LG4	78
EA24168	147188078	chr1	446	ENSLOCG00000004250	12054665	LG4	79
EA22954	147456493	chr1	447	ENSLOCG00000004129	11791043	LG4	73
EA24405	149200090	chr1	451	ENSLOCG00000005559	14324660	LG4	105
EA22424	150650363	chr1	456	ENSLOCG00000013247	64757189	LG4	414
EA22636	159414602	chr1	486	ENSLOCG00000011155	45438648	LG4	288
EA21824	159518129	chr1	488	ENSLOCG00000012118	51472522	LG4	339
EA23975	162844673	chr1	497	ENSLOCG00000012339	53748036	LG4	358
EA22317	163387528	chr1	500	ENSLOCG00000009876	34208963	LG4	218
EA24094	165212197	chr1	506	ENSLOCG00000001061	1056054	LG4	3
EA24315	165494548	chr1	507	ENSLOCG00000009998	35762771	LG4	227
EA23409	170825786	chr1	526	ENSLOCG00000007015	17222991	LG4	125
EA24286	171181660	chr1	527	ENSLOCG00000002235	4739997	LG4	26
EA23874	171360531	chr1	528	ENSLOCG00000002277	4765876	LG4	27
EA22901	171396096	chr1	529	ENSLOCG00000009946	35607593	LG4	223
EA23222	171486477	chr1	530	ENSLOCG00000006897	17072437	LG4	122
EA21637	173426832	chr1	547	ENSLOCG00000009955	35627001	LG4	224
EA23802	173925477	chr1	548	ENSLOCG00000013597	67976980	LG4	435
EA22176	174604232	chr1	553	ENSLOCG00000003251	9207644	LG4	55
EA37384	9297488	chr1	33	ENSLOCG00000016969	54907397	LG1	916
EA38194	33369013	chr1	105	ENSLOCG00000014362	392709	LG1	490
EA38635	90727421	chr1	267	ENSLOCG00000016104	22442784	LG1	689
EA37409	105314498	chr1	317	ENSLOCG00000017240	64970801	LG1	1009
EA37080	107092433	chr1	322	ENSLOCG00000016058	21575217	LG1	682
