s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg
LOC116942440	6144584	chrm1	21	g99447	50532324	scaffold_18	512	H+Q
LOC116941559	10189431	chrm1	44	g94647	26299951	scaffold_18	248	H+Q
POLB	14256481	chrm1	69	g90249	5461427	scaffold_18	30	H+Q
LOC116939244	24336258	chrm1	138	g97161	39317648	scaffold_18	387	H+Q
LOC116938684	21484046	chrm1	105	g130464	14467984	scaffold_2	717	B2+M
LOC116943714	22165780	chrm1	112	g129870	11881868	scaffold_2	688	B2+M
LOC116939099	23886457	chrm1	133	g136254	42972596	scaffold_2	959	B2+M
LOC116939211	24333015	chrm1	137	g128399	4759926	scaffold_2	622	B2+M
TMC3	26473897	chrm1	153	g127769	1674868	scaffold_2	598	B2+M
LOC116940280	29885954	chrm1	177	g130630	15174329	scaffold_2	725	B2+M
LOC116940325	30310842	chrm1	180	g137652	48450157	scaffold_2	1008	B2+M
DCAF15	22714605	chrm1	118	g161711	39465983	scaffold_4	1546	A1
MAN2A2	33565844	chrm1	207	g156051	11565942	scaffold_4	1198	A1
LOC116936807	9747	chrm1	0	g68385	3792814	scaffold_16	1708	L+J
LOC116943105	210173	chrm1	1	g78144	51326444	scaffold_16	2154	L+J
LOC116944195	313933	chrm1	2	g67635	120705	scaffold_16	1670	L+J
LOC116950944	444162	chrm1	3	g72484	25455842	scaffold_16	1921	L+J
R3HDM4	929030	chrm1	4	g68082	2312675	scaffold_16	1692	L+J
LOC116942087	1381119	chrm1	5	g69800	11849145	scaffold_16	1793	L+J
CMPK1	1462744	chrm1	6	g69783	11728194	scaffold_16	1791	L+J
MTREX	1693760	chrm1	8	g74689	36259156	scaffold_16	2042	L+J
TOPORS	1841556	chrm1	11	g75148	38531577	scaffold_16	2058	L+J
LOC116941407	1920078	chrm1	12	g69424	9514041	scaffold_16	1765	L+J
ECPAS	8458991	chrm1	33	g77530	48605544	scaffold_16	2143	L+J
LOC116942284	8679926	chrm1	34	g72496	25540532	scaffold_16	1922	L+J
LOC116941539	9332602	chrm1	36	g76396	44195181	scaffold_16	2110	L+J
SPATA1	9587492	chrm1	37	g68961	7167615	scaffold_16	1740	L+J
BRIX1	9612160	chrm1	39	g73263	29787522	scaffold_16	1982	L+J
THOP1	9682521	chrm1	40	g72481	25393965	scaffold_16	1920	L+J
WLS	9724355	chrm1	41	g69704	11247028	scaffold_16	1786	L+J
LOC116943204	9886484	chrm1	42	g74693	36262130	scaffold_16	2043	L+J
LOC116942235	9989146	chrm1	43	g70311	14427828	scaffold_16	1824	L+J
PIGW	11172829	chrm1	46	g75547	40427566	scaffold_16	2074	L+J
LOC116944907	11540756	chrm1	47	g74299	34441186	scaffold_16	2025	L+J
TRAPPC13	11570968	chrm1	48	g75631	40825526	scaffold_16	2079	L+J
CLCC1	11641997	chrm1	49	g77769	49631920	scaffold_16	2145	L+J
MTAP	12348389	chrm1	50	g67996	1884257	scaffold_16	1685	L+J
PLAA	12377749	chrm1	51	g77016	46830808	scaffold_16	2132	L+J
LOC116943518	12572054	chrm1	52	g69512	10151180	scaffold_16	1775	L+J
LOC116943529	12581866	chrm1	53	g72499	25546973	scaffold_16	1923	L+J
LOC116943484	12593939	chrm1	54	g77009	46817553	scaffold_16	2131	L+J
AK3	12635395	chrm1	55	g72839	27441052	scaffold_16	1949	L+J
LOC116943362	12946918	chrm1	56	g75859	41895447	scaffold_16	2086	L+J
RIC1	13136849	chrm1	57	g71921	22329223	scaffold_16	1895	L+J
PLGRKT	13183836	chrm1	58	g73154	29235944	scaffold_16	1973	L+J
LOC116941656	13191493	chrm1	59	g69277	8871559	scaffold_16	1756	L+J
LOC116943281	13671631	chrm1	60	g70926	17359124	scaffold_16	1843	L+J
NUP155	13798412	chrm1	61	g73187	29356810	scaffold_16	1975	L+J
DPYD	14017660	chrm1	63	g69583	10628347	scaffold_16	1780	L+J
INIP	14030202	chrm1	64	g71907	22246262	scaffold_16	1893	L+J
WDR18	14042085	chrm1	65	g68543	4551620	scaffold_16	1714	L+J
ATP5F1D	14072545	chrm1	66	g73114	29067446	scaffold_16	1970	L+J
EXOSC3	14211501	chrm1	67	g73281	29857035	scaffold_16	1985	L+J
DNAJC21	14244573	chrm1	68	g73793	31933650	scaffold_16	1999	L+J
LOC116954056	17893533	chrm1	85	g71956	22570710	scaffold_16	1900	L+J
ABCD3	21015210	chrm1	99	g68367	3690152	scaffold_16	1707	L+J
FAM32A	21110686	chrm1	100	g74622	35918697	scaffold_16	2037	L+J
ATPAF1	21254573	chrm1	101	g72120	23542029	scaffold_16	1909	L+J
AGL	21328055	chrm1	102	g68827	6390991	scaffold_16	1728	L+J
IPP	21417361	chrm1	103	g73414	30508087	scaffold_16	1991	L+J
NIM1K	21447152	chrm1	104	g77368	48196909	scaffold_16	2142	L+J
ALG6	21509322	chrm1	107	g76804	45890772	scaffold_16	2123	L+J
MED8	21517396	chrm1	108	g73873	32284027	scaffold_16	2006	L+J
SZT2	21518538	chrm1	109	g72914	27776104	scaffold_16	1953	L+J
LOC116938777	22030744	chrm1	110	g75208	38790957	scaffold_16	2061	L+J
TRAPPC5	22546251	chrm1	114	g77935	50262819	scaffold_16	2151	L+J
WDR63	22580775	chrm1	115	g74297	34434586	scaffold_16	2024	L+J
DOT1L	22676314	chrm1	117	g71656	21073012	scaffold_16	1880	L+J
LOC116943692	22753882	chrm1	119	g69490	10027735	scaffold_16	1773	L+J
KEAP1	22796246	chrm1	120	g68305	3342345	scaffold_16	1702	L+J
WDR83	22807849	chrm1	121	g69515	10154547	scaffold_16	1776	L+J
CTH	22811149	chrm1	122	g68726	5700660	scaffold_16	1719	L+J
LOC116938817	23014551	chrm1	125	g75216	38821241	scaffold_16	2062	L+J
FAF1	23057953	chrm1	126	g71410	19896482	scaffold_16	1863	L+J
LOC116938836	23115544	chrm1	127	g75026	37976801	scaffold_16	2056	L+J
DIS3L	32435676	chrm1	196	g74341	34571547	scaffold_16	2029	L+J
LOC116940030	3227944	chrm1	17	g108012	25353669	scaffold_19	2366	K
LOC116948209	15343859	chrm1	74	g103984	6987261	scaffold_19	2202	K
LOC116941318	34012085	chrm1	215	g112013	45818822	scaffold_19	2535	K
MED16	13799266	chrm1	62	g18710	25577477	scaffold_11	2796	F
LOC116939010	23332286	chrm1	129	g17771	21779445	scaffold_11	2756	F
LOC116943746	22110652	chrm1	111	g193360	40086355	scaffold_7	3298	E
LOC116942036	1731566	chrm1	9	g4104	10356595	scaffold_10	3394	G
