s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg
EA39134	2935083	chr1	3	g91102	9349324	scaffold_18	62	H+Q
EA36028	2945199	chr1	4	g96119	34306533	scaffold_18	318	H+Q
EA35839	7241915	chr1	15	g96007	33812252	scaffold_18	303	H+Q
EA38890	7594535	chr1	16	g96299	35062633	scaffold_18	328	H+Q
EA35979	8251963	chr1	17	g95767	32570181	scaffold_18	293	H+Q
EA38825	9157438	chr1	19	g96929	38307455	scaffold_18	360	H+Q
EA36523	9251352	chr1	20	g96781	37576279	scaffold_18	347	H+Q
EA37187	9284784	chr1	21	g89591	1792941	scaffold_18	12	H+Q
EA35711	9459750	chr1	23	g97372	40484300	scaffold_18	384	H+Q
EA39448	9597189	chr1	24	g92075	13712437	scaffold_18	116	H+Q
EA37698	16879983	chr1	49	g101498	58858808	scaffold_18	567	H+Q
EA36985	28208096	chr1	71	g92016	13428526	scaffold_18	109	H+Q
EA38194	33369013	chr1	80	g90735	7601935	scaffold_18	46	H+Q
EA38050	34146401	chr1	83	g90635	7146689	scaffold_18	39	H+Q
EA39153	46436504	chr1	115	g100864	56254027	scaffold_18	547	H+Q
EA39480	60590488	chr1	154	g98730	47157757	scaffold_18	454	H+Q
EA37103	74202233	chr1	179	g91963	13218181	scaffold_18	105	H+Q
EA37257	88226486	chr1	212	g90665	7247782	scaffold_18	41	H+Q
EA36065	92351637	chr1	224	g91419	10904511	scaffold_18	75	H+Q
EA37629	103154401	chr1	256	g92521	16019156	scaffold_18	134	H+Q
EA38901	118887858	chr1	299	g96140	34417396	scaffold_18	321	H+Q
EA39166	118896205	chr1	300	g96870	38037445	scaffold_18	357	H+Q
EA23374	153797526	chr1	382	g97365	40457048	scaffold_18	383	H+Q
EA22058	156781027	chr1	392	g101385	58341874	scaffold_18	564	H+Q
EA22314	159188583	chr1	397	g98821	47637957	scaffold_18	457	H+Q
EA22414	174280241	chr1	456	g96836	37872165	scaffold_18	353	H+Q
EA24319	200493856	chr1	490	g101735	59867778	scaffold_18	571	H+Q
EA23834	204360271	chr1	497	g94215	24404258	scaffold_18	222	H+Q
EA36908	118384	chr1	1	g137342	47058796	scaffold_2	980	B2+M
EA37109	10369063	chr1	30	g132486	24592136	scaffold_2	779	B2+M
EA36257	10960837	chr1	35	g132651	25406489	scaffold_2	784	B2+M
EA38494	20218976	chr1	55	g129124	8152587	scaffold_2	644	B2+M
EA37077	21757358	chr1	60	g136240	42929221	scaffold_2	939	B2+M
EA38690	24800689	chr1	62	g130334	13974610	scaffold_2	695	B2+M
EA36711	39514722	chr1	95	g132837	26258492	scaffold_2	795	B2+M
EA37098	40106230	chr1	98	g132883	26568322	scaffold_2	798	B2+M
EA35855	44184146	chr1	107	g138453	51880170	scaffold_2	1017	B2+M
EA37142	44710272	chr1	109	g131958	21663118	scaffold_2	757	B2+M
EA39629	64029462	chr1	161	g137083	45978009	scaffold_2	965	B2+M
EA36511	64064983	chr1	162	g137081	45971736	scaffold_2	964	B2+M
EA37683	64247188	chr1	163	g134805	37122302	scaffold_2	873	B2+M
EA39137	64370766	chr1	164	g134804	37117112	scaffold_2	872	B2+M
EA36287	64846935	chr1	166	g128404	4788535	scaffold_2	617	B2+M
EA38288	95736382	chr1	237	g138869	53754907	scaffold_2	1028	B2+M
EA39459	96566801	chr1	238	g133341	29658012	scaffold_2	817	B2+M
EA35799	97408024	chr1	240	g128480	5209399	scaffold_2	623	B2+M
EA37823	97614672	chr1	241	g128479	5207700	scaffold_2	622	B2+M
EA38022	101286421	chr1	247	g132973	27159788	scaffold_2	801	B2+M
EA37532	102715039	chr1	253	g137902	49323090	scaffold_2	993	B2+M
EA37466	102903979	chr1	254	g137901	49320270	scaffold_2	992	B2+M
EA23777	132056142	chr1	333	g133996	33414944	scaffold_2	845	B2+M
EA21893	132283599	chr1	334	g134000	33444911	scaffold_2	846	B2+M
EA22713	166005097	chr1	425	g127764	1643758	scaffold_2	591	B2+M
EA21836	198284611	chr1	481	g128296	4233312	scaffold_2	613	B2+M
EA37716	9761309	chr1	25	g157343	17624954	scaffold_4	1260	A1
EA37291	9921016	chr1	26	g161780	39734590	scaffold_4	1533	A1
EA39666	9980006	chr1	27	g155227	8112727	scaffold_4	1127	A1
EA36657	9993733	chr1	28	g158499	23395759	scaffold_4	1339	A1
EA39355	10302984	chr1	29	g155309	8391322	scaffold_4	1132	A1
EA39424	10375475	chr1	31	g161318	37437290	scaffold_4	1504	A1
EA37242	10493695	chr1	32	g156181	12237034	scaffold_4	1190	A1
EA35810	10740500	chr1	33	g159015	26002967	scaffold_4	1381	A1
EA37035	10877648	chr1	34	g161547	38545382	scaffold_4	1521	A1
EA36571	11016043	chr1	36	g156655	14467960	scaffold_4	1217	A1
EA39752	13377356	chr1	37	g155618	9605456	scaffold_4	1152	A1
EA37855	13377962	chr1	38	g155658	9788580	scaffold_4	1155	A1
EA36241	14107165	chr1	39	g163591	49636404	scaffold_4	1617	A1
EA36830	14182472	chr1	40	g157940	20618093	scaffold_4	1311	A1
EA36369	14718434	chr1	41	g155756	10423245	scaffold_4	1164	A1
EA39310	15125570	chr1	42	g160829	34901345	scaffold_4	1472	A1
EA36220	15558690	chr1	43	g159634	29236451	scaffold_4	1418	A1
EA39214	15826584	chr1	44	g160669	34090250	scaffold_4	1459	A1
EA35925	15891433	chr1	45	g161289	37338888	scaffold_4	1498	A1
EA37888	16062923	chr1	46	g157686	19219156	scaffold_4	1292	A1
EA38456	16186689	chr1	47	g163348	48387094	scaffold_4	1603	A1
EA38270	16325845	chr1	48	g155793	10577312	scaffold_4	1169	A1
EA37816	17516607	chr1	50	g155630	9657328	scaffold_4	1154	A1
EA38546	18260845	chr1	51	g154273	3600332	scaffold_4	1084	A1
EA36204	18690547	chr1	52	g159486	28368978	scaffold_4	1408	A1
EA38983	21270206	chr1	57	g156579	14019038	scaffold_4	1210	A1
EA38774	21273570	chr1	58	g156570	13978687	scaffold_4	1209	A1
EA38697	33145927	chr1	76	g161023	35928649	scaffold_4	1482	A1
EA36831	33216683	chr1	77	g161021	35922808	scaffold_4	1481	A1
EA39208	65658601	chr1	168	g157783	19709945	scaffold_4	1303	A1
EA37095	67207422	chr1	169	g158162	21718503	scaffold_4	1322	A1
EA36699	67425505	chr1	170	g158734	24468751	scaffold_4	1365	A1
