NCAPH2	ENSLOCG00000015775
LOC116950616	ENSLOCG00000013450
LSM5	ENSLOCG00000012903
LOC116942626	ENSLOCG00000005026
LOC116942671	ENSLOCG00000008952
LOC116944875	ENSLOCG00000007670
LDHD	ENSLOCG00000003318
P4HA1	ENSLOCG00000008546
OSER1	ENSLOCG00000007656
LOC116957332	ENSLOCG00000006194
LOC116948812	ENSLOCG00000017735
LURAP1	ENSLOCG00000013262
LYRM9	ENSLOCG00000005647
NANOS1	ENSLOCG00000018172
LOC116940661	ENSLOCG00000006006
GINS2	ENSLOCG00000000923
LOC116936857	ENSLOCG00000002575
LOC116942411	ENSLOCG00000012245
SLC12A9	ENSLOCG00000008887
MMAB	ENSLOCG00000004341
UBASH3B	ENSLOCG00000001560
MBTD1	ENSLOCG00000011026
NDUFAF6	ENSLOCG00000008276
LOC116955625	ENSLOCG00000002625
CFAP43	ENSLOCG00000011880
CCDC153	ENSLOCG00000003312
LOC116951219	ENSLOCG00000004899
LOC116952728	ENSLOCG00000014076
LOC116952682	ENSLOCG00000008871
NAT10	ENSLOCG00000002896
MFAP2	ENSLOCG00000007802
PPP1R9B	ENSLOCG00000010917
ACER1	ENSLOCG00000001026
LOC116941704	ENSLOCG00000008249
DNAJA3	ENSLOCG00000002434
LOC116940928	ENSLOCG00000006379
SMO	ENSLOCG00000015973
SACM1L	ENSLOCG00000002009
PRRX1	ENSLOCG00000003997
LOC116947368	ENSLOCG00000014212
KCND1	ENSLOCG00000015789
CLP1	ENSLOCG00000008074
LOC116945028	ENSLOCG00000004418
CLPTM1L	ENSLOCG00000003491
XPOT	ENSLOCG00000016512
KIF15	ENSLOCG00000002182
VANGL2	ENSLOCG00000006574
LRRC9	ENSLOCG00000010036
LOC116950239	ENSLOCG00000006023
MYO19	ENSLOCG00000003147
LOC116954185	ENSLOCG00000003530
LOC116937101	ENSLOCG00000016528
POM	ENSLOCG00000016684
EIPR1	ENSLOCG00000017215
TM2D3	ENSLOCG00000014600
LOC116955349	ENSLOCG00000001392
LOC116941560	ENSLOCG00000015578
TMEM229A	ENSLOCG00000017905
LOC116944074	ENSLOCG00000010026
LOC116958257	ENSLOCG00000012952
C33H19orf54	ENSLOCG00000014662
LOC116948362	ENSLOCG00000009093
RAP1GAP	ENSLOCG00000003744
POGLUT2	ENSLOCG00000008683
MLST8	ENSLOCG00000005213
LOC116953652	ENSLOCG00000007846
MRPL46	ENSLOCG00000014530
LOC116956241	ENSLOCG00000017934
LOC116938457	ENSLOCG00000001516
LOC116957778	ENSLOCG00000000846
SDR42E1	ENSLOCG00000002140
INTS8	ENSLOCG00000006404
LOC116957193	ENSLOCG00000014285
ETF1	ENSLOCG00000009715
CREBL2	ENSLOCG00000016490
DHX38	ENSLOCG00000004169
NDUFAF3	ENSLOCG00000014399
RSPRY1	ENSLOCG00000007716
LOC116954236	ENSLOCG00000017585
LOC116955724	ENSLOCG00000017496
LOC116940602	ENSLOCG00000010180
LOC116940639	ENSLOCG00000011865
GCDH	ENSLOCG00000008352
C44H19orf44	ENSLOCG00000003684
LETMD1	ENSLOCG00000004454
LOC116939018	ENSLOCG00000001300
LOC116944855	ENSLOCG00000003880
FHAD1	ENSLOCG00000002419
LOC116947090	ENSLOCG00000008944
ARHGEF3	ENSLOCG00000015644
MANF	ENSLOCG00000013413
LOC116939849	ENSLOCG00000016467
LOC116945527	ENSLOCG00000002673
LOC116941111	ENSLOCG00000009118
MYRF	ENSLOCG00000016212
LOC116952531	ENSLOCG00000016334
NWD2	ENSLOCG00000009653
LOC116948446	ENSLOCG00000016840
LOC116950829	ENSLOCG00000011157
SUMO1	ENSLOCG00000010236
LOC116938553	ENSLOCG00000011575
LOC116952176	ENSLOCG00000004854
BDH2	ENSLOCG00000012025
LOC116938654	ENSLOCG00000009041
RSPH14	ENSLOCG00000002788
HEATR6	ENSLOCG00000005957
DUSP22	ENSLOCG00000000986
LOC116956013	ENSLOCG00000018363
MRPL13	ENSLOCG00000009210
FAM135A	ENSLOCG00000017093
RFWD3	ENSLOCG00000001489
LOC116942378	ENSLOCG00000014267
LOC116944316	ENSLOCG00000005875
LOC116944395	ENSLOCG00000011609
LOC116950519	ENSLOCG00000008397
NDUFA11	ENSLOCG00000003164
LOC116948533	ENSLOCG00000004779
ASAH2	ENSLOCG00000006273
NAPEPLD	ENSLOCG00000015986
SETD3	ENSLOCG00000008698
YIPF1	ENSLOCG00000006061
LOC116943713	ENSLOCG00000013495
LOC116943860	ENSLOCG00000003228
CTSO	ENSLOCG00000008229
CLINT1	ENSLOCG00000009271
CCN1	ENSLOCG00000005392
OSBPL9	ENSLOCG00000009802
DET1	ENSLOCG00000014536
GTF2A2	ENSLOCG00000014796
LMF2	ENSLOCG00000016821
CEP290	ENSLOCG00000016353
LOC116953380	ENSLOCG00000002098
LOC116955331	ENSLOCG00000007988
CSNK2B	ENSLOCG00000000693
LOC116946251	ENSLOCG00000011357
LOC116943899	ENSLOCG00000010450
PFDN4	ENSLOCG00000002535
LOC116945967	ENSLOCG00000002085
IRAK1BP1	ENSLOCG00000016253
LOC116952934	ENSLOCG00000002112
CMSS1	ENSLOCG00000009391
LOC116954024	ENSLOCG00000014756
TLCD1	ENSLOCG00000005834
LOC116947744	ENSLOCG00000008835
LOC116953202	ENSLOCG00000004711
LOC116954120	ENSLOCG00000013047
SSNA1	ENSLOCG00000000723
HNRNPUL1	ENSLOCG00000014236
TRMT10A	ENSLOCG00000012298
