s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi
PIGG	1365438	chrm1	8	ENSLOCG00000012169	51850180	LG4	366
GSR	1532354	chrm1	10	ENSLOCG00000012126	51473814	LG4	362
TOPORS	1841556	chrm1	16	ENSLOCG00000017928	66616306	LG4	456
TXN	7642807	chrm1	40	ENSLOCG00000013388	66535547	LG4	452
ECPAS	8458991	chrm1	42	ENSLOCG00000013324	66284921	LG4	448
MTAP	12348389	chrm1	60	ENSLOCG00000013426	66650471	LG4	457
PLAA	12377749	chrm1	61	ENSLOCG00000011346	46904732	LG4	312
LOC116943529	12581866	chrm1	65	ENSLOCG00000002670	7210892	LG4	39
EXOSC3	14211501	chrm1	83	ENSLOCG00000011471	47182054	LG4	321
LSM6	14810850	chrm1	94	ENSLOCG00000008852	23966202	LG4	187
LOC116952559	17309319	chrm1	105	ENSLOCG00000009420	26359776	LG4	208
ACO1	17871743	chrm1	107	ENSLOCG00000011082	45216548	LG4	298
SMU1	17874730	chrm1	108	ENSLOCG00000011577	47419898	LG4	329
LOC116954056	17893533	chrm1	109	ENSLOCG00000011539	47343790	LG4	325
LOC116956955	19159229	chrm1	116	ENSLOCG00000011046	45074347	LG4	296
LOC116957544	19364285	chrm1	117	ENSLOCG00000011259	45954353	LG4	310
CAAP1	21102499	chrm1	133	ENSLOCG00000012584	59461027	LG4	393
NDUFB6	22679181	chrm1	156	ENSLOCG00000013412	66607799	LG4	455
LOC116939010	23332286	chrm1	170	ENSLOCG00000011629	47692387	LG4	331
LOC116939363	25072437	chrm1	186	ENSLOCG00000011896	49886019	LG4	346
CCDC171	25216292	chrm1	187	ENSLOCG00000011882	49326794	LG4	345
DCST1	26925566	chrm1	208	ENSLOCG00000007858	19215766	LG4	150
LOC116939853	27348515	chrm1	215	ENSLOCG00000011941	50374024	LG4	349
DNAH6	30691951	chrm1	257	ENSLOCG00000012784	60765214	LG4	407
LOC116940432	30824446	chrm1	258	ENSLOCG00000012794	61027631	LG4	408
LOC116940454	30869540	chrm1	259	ENSLOCG00000012803	61079692	LG4	409
LOC116940468	30949154	chrm1	261	ENSLOCG00000012810	61187554	LG4	410
LOC116940787	4741093	chrm1	27	ENSLOCG00000017984	11248874	LG1	645
POLB	14256481	chrm1	86	ENSLOCG00000015620	12331308	LG1	659
LOC116944456	82121	chrm1	1	ENSLOCG00000011371	46539690	LG2	1483
MTREX	1693760	chrm1	12	ENSLOCG00000010186	37426272	LG2	1420
EGFLAM	2158319	chrm1	17	ENSLOCG00000012642	53774462	LG2	1549
LOC116955742	2188145	chrm1	18	ENSLOCG00000011796	49072510	LG2	1506
LOC116939737	3089193	chrm1	21	ENSLOCG00000003671	10064110	LG2	1213
LOC116940030	3227944	chrm1	23	ENSLOCG00000008989	29827187	LG2	1373
LOC116941866	5984192	chrm1	29	ENSLOCG00000014690	66574739	LG2	1670
LOC116942972	9078838	chrm1	44	ENSLOCG00000002675	5978640	LG2	1186
BRIX1	9612160	chrm1	48	ENSLOCG00000011774	49029195	LG2	1504
TRAPPC13	11570968	chrm1	58	ENSLOCG00000010577	42705665	LG2	1437
CCDC125	12548216	chrm1	62	ENSLOCG00000004213	10725910	LG2	1224
AK3	12635395	chrm1	66	ENSLOCG00000011239	46083988	LG2	1473
RIC1	13136849	chrm1	71	ENSLOCG00000010095	37041607	LG2	1415
PLGRKT	13183836	chrm1	72	ENSLOCG00000010124	37172409	LG2	1416
NUP155	13798412	chrm1	74	ENSLOCG00000012677	53960134	LG2	1550
INIP	14030202	chrm1	79	ENSLOCG00000002888	7230921	LG2	1191
LOC116946187	14223094	chrm1	84	ENSLOCG00000002642	5880203	LG2	1185
DNAJC21	14244573	chrm1	85	ENSLOCG00000011784	49038380	LG2	1505
MCCC2	14447161	chrm1	90	ENSLOCG00000011352	46473793	LG2	1481
POC5	16416374	chrm1	100	ENSLOCG00000005510	14184172	LG2	1260
SNCAIP	18405106	chrm1	111	ENSLOCG00000008733	27917504	LG2	1357
LOC116956002	18480402	chrm1	112	ENSLOCG00000004307	10788040	LG2	1228
LOC116957784	19526571	chrm1	118	ENSLOCG00000007436	22241589	LG2	1312
LOXHD1	20067098	chrm1	121	ENSLOCG00000011190	45816488	LG2	1470
MRPS27	20739299	chrm1	128	ENSLOCG00000011134	45442273	LG2	1467
MAP1B	20853227	chrm1	129	ENSLOCG00000011141	45529086	LG2	1468
CCDC17	21392987	chrm1	138	ENSLOCG00000012421	53072802	LG2	1538
NIM1K	21447152	chrm1	139	ENSLOCG00000008131	24781184	LG2	1332
LOC116943746	22110652	chrm1	147	ENSLOCG00000008202	25268313	LG2	1334
LOC116943662	22924653	chrm1	163	ENSLOCG00000010062	36822504	LG2	1413
PRXL2C	23124909	chrm1	168	ENSLOCG00000009173	32368557	LG2	1384
APBA1	24128599	chrm1	177	ENSLOCG00000009455	33337402	LG2	1390
LOC116939517	25788793	chrm1	192	ENSLOCG00000009712	34273731	LG2	1402
AK6	26457403	chrm1	200	ENSLOCG00000004249	10746443	LG2	1225
KATNAL2	26970864	chrm1	209	ENSLOCG00000012385	52831490	LG2	1537
DYM	27427195	chrm1	217	ENSLOCG00000011668	48300421	LG2	1498
LOC116940019	27998015	chrm1	225	ENSLOCG00000009894	35213543	LG2	1408
XRCC4	29333490	chrm1	234	ENSLOCG00000002026	4464293	LG2	1166
LOC116940201	29404833	chrm1	235	ENSLOCG00000002002	4300304	LG2	1165
LOC116940268	29787969	chrm1	242	ENSLOCG00000009585	33913754	LG2	1398
LOC116941895	30087708	chrm1	245	ENSLOCG00000006774	17697772	LG2	1294
LOC116940340	30350477	chrm1	251	ENSLOCG00000004546	11337642	LG2	1233
LOC116940372	30421214	chrm1	252	ENSLOCG00000012362	52472534	LG2	1534
GALT	30453911	chrm1	254	ENSLOCG00000012369	52824944	LG2	1535
