fid	gid	dups	age
OG_1000	EA11680	2	Myxines
OG_1000	EA10592	2	Myxines
OG_1001	EA09890	2	Myxines
OG_1001	EA12192	2	Myxines
OG_1002	EA25025	1	Parata
OG_1003.1	EA68836	1	Parata
OG_1003.2	EA42283	1	Parata
OG_1004	EA72296	1	Parata
OG_1006	EA30247	1	Parata
OG_1012	EA62820	1	Parata
OG_1013	EA36892	1	Parata
OG_1014	EA68449	1	Parata
OG_1016	EA16224	2	Cyclostomata
OG_1016	EA73540	2	Cyclostomata
OG_1018	EA38539	2	Vertebrata
OG_1018	EA26136	2	Vertebrata
OG_1019	EA62128	2	Myxines
OG_1019	EA62614	2	Myxines
OG_101	EA81457	1	Parata
OG_1020	EA41503	2	Parata
OG_1020	EA40561	2	Parata
OG_1021	EA53719	2	Cyclostomata
OG_1021	EA52411	2	Cyclostomata
OG_1022	EA30395	2	Parata
OG_1022	EA24938	2	Parata
OG_1028	EA31959	1	Parata
OG_1029.1	EA62041	6	Chordata
OG_1029.1	EA08089	6	Chordata
OG_1029.1	EA57632	6	Chordata
OG_1029.1	EA04127	6	Chordata
OG_1029.1	EA26091	6	Chordata
OG_1029.1	EA27076	6	Chordata
OG_1029.2	EA53670	9	Chordata
OG_1029.2	EA27019	9	Chordata
OG_1029.2	EA82012	9	Chordata
OG_1029.2	EA17103	9	Chordata
OG_1029.2	EA80866	9	Chordata
OG_1029.2	EA11106	9	Chordata
OG_1029.2	EA39836	9	Chordata
OG_1029.2	EA52751	9	Chordata
OG_1029.2	EA11363	9	Chordata
OG_1029.3	EA62041	6	Chordata
OG_1029.3	EA08089	6	Chordata
OG_1029.3	EA57632	6	Chordata
OG_1029.3	EA04127	6	Chordata
OG_1029.3	EA26091	6	Chordata
OG_1029.3	EA27076	6	Chordata
OG_102	EA36523	1	Parata
OG_1030	EA81360	2	Myxines
OG_1030	EA81884	2	Myxines
OG_1031	EA64048	1	Parata
OG_1033	EA24946	1	Parata
OG_1034	EA18364	1	Parata
OG_1035	EA66461	1	Parata
OG_1036	EA15588	2	Myxines
OG_1036	EA13657	2	Myxines
OG_1037	EA63997	1	Parata
OG_1040	EA67785	1	Parata
OG_1041	EA07576	2	Myxines
OG_1041	EA06213	2	Myxines
OG_1045	EA70733	3	Vertebrata
OG_1045	EA54533	3	Vertebrata
OG_1045	EA69673	3	Vertebrata
OG_1047	EA77303	1	Parata
OG_1048	EA31258	1	Parata
OG_1049	EA39448	1	Parata
OG_104	EA74581	1	Parata
OG_1052	EA18519	2	Vertebrata
OG_1052	EA51149	2	Vertebrata
OG_1053	EA48781	2	Myxines
OG_1053	EA48092	2	Myxines
OG_1054	EA60110	1	Parata
OG_1055	EA53351	1	Parata
OG_1056	EA72339	1	Parata
OG_1057	EA02762	1	Parata
OG_1058	EA74464	3	Vertebrata
OG_1058	EA04427	3	Vertebrata
OG_1058	EA78812	3	Vertebrata
OG_1059	EA25637	1	Parata
OG_105.1	EA52862	2	Cyclostomata
OG_105.1	EA32679	2	Cyclostomata
OG_105.2	EA80929	1	Parata
OG_1060	EA72454	1	Parata
OG_1061	EA71066	2	Myxines
OG_1061	EA69736	2	Myxines
OG_1066	EA20255	1	Parata
OG_1068	EA24917	1	Parata
OG_106	EA46182	2	Vertebrata
OG_106	EA24095	2	Vertebrata
OG_1070	EA38553	1	Parata
OG_1071	EA62107	2	Myxines
OG_1071	EA38277	2	Myxines
OG_1072	EA62101	1	Parata
OG_1075	EA43985	1	Parata
OG_1079	EA74569	1	Parata
OG_107	EA39134	1	Parata
OG_1080	EA49571	1	Parata
OG_1081	EA28089	3	Parata
OG_1081	EA16013	3	Parata
OG_1081	EA80368	3	Parata
OG_1082	EA68328	1	Parata
OG_1083	EA14867	2	Vertebrata
OG_1083	EA67663	2	Vertebrata
OG_1086	EA73735	2	Parata
OG_1086	EA77640	2	Parata
OG_10874	EA45852	1	Parata
OG_10875	EA21365	1	Parata
OG_10876	EA18274	3	Myxines
OG_10876	EA21047	3	Myxines
OG_10876	EA18815	3	Myxines
OG_10878	EA21011	1	Parata
OG_10879	EA10868	1	Parata
OG_10880	EA11627	1	Parata
OG_10881	EA19512	1	Parata
OG_10882	EA02571	3	Myxines
OG_10882	EA03467	3	Myxines
OG_10882	EA17141	3	Myxines
OG_10883	EA36512	1	Parata
OG_10885	EA60183	1	Parata
OG_10886	EA27290	1	Parata
OG_10888	EA24605	1	Parata
OG_1088	EA67163	1	Parata
OG_10890	EA38697	2	Vertebrata
OG_10890	EA36831	2	Vertebrata
OG_10891	EA54416	1	Parata
OG_10892	EA20035	1	Parata
OG_10893	EA21241	2	Myxines
OG_10893	EA19151	2	Myxines
OG_10895	EA42195	3	Myxines
OG_10895	EA52779	3	Myxines
OG_10895	EA06856	3	Myxines
OG_10896	EA42195	2	Myxines
OG_10896	EA38679	2	Myxines
OG_10897	EA39971	1	Parata
OG_1089	EA35252	1	Parata
OG_108	EA60069	1	Parata
OG_10900	EA44139	1	Parata
OG_10901	EA46037	1	Parata
OG_10902	EA09233	1	Parata
OG_10903	EA10359	1	Parata
OG_10905	EA59568	1	Parata
OG_10907	EA16845	1	Parata
OG_10909	EA34998	1	Parata
OG_1090	EA11367	1	Parata
OG_10910	EA31860	1	Parata
OG_10912	EA20961	1	Parata
OG_10913	EA03722	3	Vertebrata
OG_10913	EA73418	3	Vertebrata
OG_10913	EA03228	3	Vertebrata
OG_10914	EA44223	1	Parata
OG_10915	EA03260	3	Myxines
OG_10915	EA63816	3	Myxines
OG_10915	EA03455	3	Myxines
OG_10916	EA58004	1	Parata
OG_10918	EA15071	2	Myxines
OG_10918	EA16598	2	Myxines
OG_1091	EA00912	1	Parata
OG_10920	EA16764	1	Parata
OG_10921	EA50042	1	Parata
OG_10922	EA51416	1	Parata
OG_10923	EA18700	1	Parata
OG_10924	EA12302	1	Parata
OG_10925	EA09986	2	Myxines
OG_10925	EA10562	2	Myxines
OG_10926	EA16082	1	Parata
OG_10927	EA14185	1	Parata
OG_10929	EA82375	1	Parata
OG_10930	EA85430	1	Parata
OG_10932	EA51095	1	Parata
OG_10935	EA01627	1	Parata
OG_10936	EA48314	1	Parata
OG_10938	EA52827	1	Parata
OG_10940	EA11591	1	Parata
OG_10944	EA05476	1	Parata
OG_10945	EA36075	1	Parata
OG_10946	EA57767	1	Parata
OG_10947	EA49308	4	Myxines
OG_10947	EA48980	4	Myxines
OG_10947	EA58245	4	Myxines
OG_10947	EA06650	4	Myxines
OG_10948	EA58428	1	Parata
OG_10949	EA05236	5	Vertebrata
OG_10949	EA61652	5	Vertebrata
OG_10949	EA58715	5	Vertebrata
OG_10949	EA60871	5	Vertebrata
OG_10949	EA62490	5	Vertebrata
OG_1094	EA27222	2	Vertebrata
OG_1094	EA28201	2	Vertebrata
OG_10950	EA54630	1	Parata
OG_10951	EA36038	1	Parata
OG_10953	EA30259	1	Parata
OG_10954	EA05580	2	Myxines
OG_10954	EA07814	2	Myxines
OG_10956	EA24196	1	Parata
OG_10958	EA12308	2	Vertebrata
OG_10958	EA13459	2	Vertebrata
OG_10959	EA67619	1	Parata
OG_10960	EA50387	1	Parata
OG_10961	EA73600	1	Parata
OG_10963	EA52594	1	Parata
OG_10964	EA50824	1	Parata
OG_10966	EA53128	1	Parata
OG_10967	EA13860	1	Parata
OG_10969	EA38288	1	Parata
OG_1096	EA15605	3	Vertebrata
OG_1096	EA71154	3	Vertebrata
OG_1096	EA65320	3	Vertebrata
OG_10971	EA19553	1	Parata
OG_10972	EA84177	1	Parata
OG_10974	EA84527	1	Parata
OG_10975	EA09059	1	Parata
OG_10976	EA00664	2	Vertebrata
OG_10976	EA32529	2	Vertebrata
OG_10977	EA33579	1	Parata
OG_10978	EA36732	1	Parata
OG_1097	EA68981	1	Parata
OG_10981	EA84602	1	Parata
OG_10982	EA44200	1	Parata
OG_10983	EA56339	1	Parata
OG_10985	EA45100	1	Parata
OG_1098	EA26763	1	Parata
OG_10990	EA16357	1	Parata
OG_10992	EA48815	1	Parata
OG_10993	EA83534	1	Parata
OG_10994	EA41926	1	Parata
OG_10995	EA46198	2	Vertebrata
OG_10995	EA10334	2	Vertebrata
OG_10996	EA48151	1	Parata
OG_10997	EA65387	2	Myxines
OG_10997	EA67303	2	Myxines
OG_10998	EA60991	1	Parata
OG_1099	EA21041	1	Parata
OG_109	EA60016	1	Parata
OG_10	EA15502	2	Myxines
OG_10	EA13265	2	Myxines
OG_11000	EA66915	1	Parata
OG_11002	EA77104	1	Parata
OG_11003	EA84803	1	Parata
OG_11005	EA68319	1	Parata
OG_11007	EA21375	1	Parata
OG_1100	EA66292	1	Parata
OG_11010	EA53031	2	Myxines
OG_11010	EA53834	2	Myxines
OG_11012	EA02230	1	Parata
OG_11013	EA26747	1	Parata
OG_11014	EA55072	2	Myxines
OG_11014	EA53395	2	Myxines
OG_11015	EA02509	1	Parata
OG_11016	EA57040	1	Parata
OG_11017	EA45234	1	Parata
OG_11019	EA40672	1	Parata
OG_1101	EA43394	1	Parata
OG_11020	EA14657	2	Parata
OG_11020	EA13480	2	Parata
OG_11021	EA11867	1	Parata
OG_11022	EA12482	1	Parata
OG_11023	EA66462	1	Parata
OG_11024	EA19017	1	Parata
OG_11026	EA19888	1	Parata
OG_11028	EA46998	1	Parata
OG_11029	EA72484	2	Myxines
OG_11029	EA72633	2	Myxines
OG_1102	EA57061	1	Parata
OG_11030	EA49848	1	Parata
OG_11031	EA16574	1	Parata
OG_11032	EA03585	1	Parata
OG_11033	EA65795	1	Parata
OG_11035	EA25565	1	Parata
OG_11036	EA04300	1	Parata
OG_11037	EA77450	1	Parata
OG_11038	EA76036	1	Parata
OG_11039	EA53691	1	Parata
OG_1103	EA66496	1	Parata
OG_11040	EA79219	1	Parata
OG_11042	EA04794	1	Parata
OG_11043	EA59293	1	Parata
OG_11044	EA43578	1	Parata
OG_11046	EA03562	1	Parata
OG_11047	EA32793	2	Cyclostomata
OG_11047	EA31391	2	Cyclostomata
OG_11048	EA16345	1	Parata
OG_11049	EA55259	1	Parata
OG_1104	EA41546	2	Myxines
OG_1104	EA33043	2	Myxines
OG_11050	EA51439	1	Parata
OG_11051	EA30799	1	Parata
OG_11052	EA24744	1	Parata
OG_11053	EA05973	2	Parata
OG_11053	EA05383	2	Parata
OG_11056	EA77447	1	Parata
OG_11058	EA19217	1	Parata
OG_11059	EA06492	1	Parata
OG_1105	EA61069	1	Parata
OG_11060	EA84737	1	Parata
OG_11064	EA73094	1	Parata
OG_11066	EA28335	2	Myxines
OG_11066	EA28511	2	Myxines
OG_11068	EA75473	1	Parata
OG_11069	EA07041	1	Parata
OG_1106	EA41378	2	Cyclostomata
OG_1106	EA65180	2	Cyclostomata
OG_11070	EA40516	1	Parata
OG_11071	EA72497	1	Parata
OG_11072	EA49135	1	Parata
OG_11075	EA49835	1	Parata
OG_11076	EA10365	1	Parata
OG_11077	EA19523	1	Parata
OG_11078	EA20576	1	Parata
OG_11082	EA73259	1	Parata
OG_11083	EA46276	2	Myxines
OG_11083	EA45539	2	Myxines
OG_11085	EA49275	3	Parata
OG_11085	EA37860	3	Parata
OG_11085	EA64486	3	Parata
OG_11086	EA28519	1	Parata
OG_11087	EA18266	1	Parata
OG_11089	EA75995	1	Parata
OG_11090	EA07772	1	Parata
OG_11092	EA50362	1	Parata
OG_11093	EA75678	1	Parata
OG_11094	EA66828	1	Parata
OG_11096	EA74833	1	Parata
OG_11097	EA15160	1	Parata
OG_11098	EA13621	1	Parata
OG_11099	EA13414	1	Parata
OG_11100	EA76958	1	Parata
OG_11101	EA26817	1	Parata
OG_11102	EA48047	1	Parata
OG_11103	EA47321	1	Parata
OG_11104	EA20866	1	Parata
OG_11105	EA52900	1	Parata
OG_11106	EA25732	1	Parata
OG_11108	EA44678	1	Parata
OG_11109	EA09697	1	Parata
OG_11110	EA18317	1	Parata
OG_11111	EA30505	1	Parata
OG_11112	EA13528	1	Parata
OG_11115	EA14163	1	Parata
OG_11116	EA16602	1	Parata
OG_11117	EA67022	1	Parata
OG_11118	EA13815	1	Parata
OG_11119	EA50415	2	Vertebrata
OG_11119	EA49939	2	Vertebrata
OG_1111	EA67033	1	Parata
OG_11120	EA37492	1	Parata
OG_11121	EA36617	1	Parata
OG_11122	EA81391	1	Parata
OG_11123	EA24315	1	Parata
OG_11125	EA45882	1	Parata
OG_11126	EA58359	1	Parata
OG_11128	EA54671	1	Parata
OG_11129	EA24617	1	Parata
OG_1112	EA29419	2	Cyclostomata
OG_1112	EA81581	2	Cyclostomata
OG_11130	EA25723	1	Parata
OG_11131	EA25723	1	Parata
OG_11132	EA03204	1	Parata
OG_11134	EA39985	1	Parata
OG_11135	EA66191	1	Parata
OG_11136	EA68583	1	Parata
OG_11137	EA17077	2	Cyclostomata
OG_11137	EA23312	2	Cyclostomata
OG_11138	EA82457	1	Parata
OG_11140	EA38364	1	Parata
OG_11141	EA19618	2	Vertebrata
OG_11141	EA31765	2	Vertebrata
OG_11144	EA10098	1	Parata
