s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg	clg2
BL14176	1894159	BFL_1	33	ENSLOCG00000003421	10367042	LG4	53	A	A
BL01967	4456810	BFL_1	78	ENSLOCG00000009710	33316883	LG4	196	A	A
BL01746	7715561	BFL_1	184	ENSLOCG00000009511	26634307	LG4	189	A	A
BL01641	9091160	BFL_1	231	ENSLOCG00000000837	1461	LG4	0	A	A
BL01599	9605791	BFL_1	257	ENSLOCG00000007191	17806611	LG4	116	A	A
BL01203	15090653	BFL_1	457	ENSLOCG00000011027	44947309	LG4	254	A	A
BL01202	15095018	BFL_1	458	ENSLOCG00000001061	1056054	LG4	4	A	A
BL22405	25109392	BFL_1	686	ENSLOCG00000010175	36984176	LG4	215	A	A
BL23163	882682	BFL_1	17	ENSLOCG00000016889	51379280	LG1	830	A	A
BL23164	906666	BFL_1	18	ENSLOCG00000016887	51379077	LG1	829	A	A
BL23168	960239	BFL_1	19	ENSLOCG00000016650	43109723	LG1	771	A	A
BL14195	1501641	BFL_1	24	ENSLOCG00000016429	33297817	LG1	717	A	A
BL14186	1675771	BFL_1	28	ENSLOCG00000016394	31777645	LG1	703	A	A
BL14183	1748707	BFL_1	30	ENSLOCG00000016392	31594515	LG1	702	A	A
BL14181	1795704	BFL_1	31	ENSLOCG00000015756	14535479	LG1	568	A	A
BL25502	3882987	BFL_1	63	ENSLOCG00000016651	43134304	LG1	772	A	A
BL25500	3893197	BFL_1	64	ENSLOCG00000017188	62112855	LG1	926	A	A
BL01993	4106880	BFL_1	68	ENSLOCG00000017175	61179133	LG1	920	A	A
BL01976	4327823	BFL_1	74	ENSLOCG00000016451	34675475	LG1	723	A	A
BL01975	4338801	BFL_1	75	ENSLOCG00000016400	32023012	LG1	707	A	A
BL01965	4478716	BFL_1	79	ENSLOCG00000015531	11505517	LG1	541	A	A
BL01932	5022099	BFL_1	101	ENSLOCG00000016642	42500543	LG1	767	A	A
BL01931	5086712	BFL_1	102	ENSLOCG00000016637	42462070	LG1	766	A	A
BL01878	5930067	BFL_1	125	ENSLOCG00000016794	46458677	LG1	801	A	A
BL01864	6136624	BFL_1	133	ENSLOCG00000015931	18699526	LG1	608	A	A
BL01863	6159148	BFL_1	134	ENSLOCG00000015807	15153628	LG1	580	A	A
BL01853	6248186	BFL_1	139	ENSLOCG00000016398	31990240	LG1	705	A	A
BL01851	6262718	BFL_1	141	ENSLOCG00000015700	13729694	LG1	559	A	A
BL01816	6771213	BFL_1	158	ENSLOCG00000017179	61430912	LG1	922	A	A
BL01766	7266466	BFL_1	175	ENSLOCG00000016435	33486485	LG1	718	A	A
BL01759	7466189	BFL_1	177	ENSLOCG00000016646	42564026	LG1	769	A	A
BL01745	7731129	BFL_1	185	ENSLOCG00000016645	42533062	LG1	768	A	A
BL01694	8377652	BFL_1	210	ENSLOCG00000016418	32630316	LG1	713	A	A
BL01689	8416180	BFL_1	211	ENSLOCG00000017161	60701537	LG1	915	A	A
BL01661	8792214	BFL_1	225	ENSLOCG00000017182	61663026	LG1	923	A	A
BL01630	9237355	BFL_1	239	ENSLOCG00000015766	14619726	LG1	571	A	A
BL01608	9518683	BFL_1	249	ENSLOCG00000015942	18880440	LG1	610	A	A
