EA28386	ENSLOCG00000008751
EA81832	ENSLOCG00000010854
EA50226	ENSLOCG00000015577
EA61172	ENSLOCG00000012000
EA05936	ENSLOCG00000008360
EA48898	ENSLOCG00000016566
EA68294	ENSLOCG00000006421
EA29915	ENSLOCG00000011750
EA07422	ENSLOCG00000002213
EA57372	ENSLOCG00000012767
EA58004	ENSLOCG00000011281
EA70791	ENSLOCG00000009082
EA67558	ENSLOCG00000000563
EA40621	ENSLOCG00000006244
EA76375	ENSLOCG00000010392
EA10986	ENSLOCG00000016783
EA06493	ENSLOCG00000005578
EA31650	ENSLOCG00000015237
EA08100	ENSLOCG00000007058
EA61154	ENSLOCG00000003089
EA36523	ENSLOCG00000010100
EA66136	ENSLOCG00000015820
EA32092	ENSLOCG00000016560
EA25406	ENSLOCG00000005238
EA25637	ENSLOCG00000011742
EA07772	ENSLOCG00000017061
EA07502	ENSLOCG00000005702
EA37478	ENSLOCG00000006392
EA54583	ENSLOCG00000010427
EA38536	ENSLOCG00000001173
EA10830	ENSLOCG00000000590
EA27708	ENSLOCG00000014687
EA63238	ENSLOCG00000004917
EA39052	ENSLOCG00000009208
EA05731	ENSLOCG00000010768
EA82126	ENSLOCG00000002093
EA74492	ENSLOCG00000015591
EA56360	ENSLOCG00000002217
EA56469	ENSLOCG00000009091
EA07485	ENSLOCG00000005836
EA85140	ENSLOCG00000015926
EA49947	ENSLOCG00000017908
EA50261	ENSLOCG00000003566
EA78576	ENSLOCG00000005709
EA50813	ENSLOCG00000002571
EA64472	ENSLOCG00000004061
EA28940	ENSLOCG00000007000
EA69902	ENSLOCG00000012182
EA11810	ENSLOCG00000014444
EA10361	ENSLOCG00000013291
EA06407	ENSLOCG00000009376
EA30889	ENSLOCG00000015126
EA12700	ENSLOCG00000013363
EA30918	ENSLOCG00000002822
EA78477	ENSLOCG00000012540
EA48255	ENSLOCG00000011872
EA17472	ENSLOCG00000011267
EA34555	ENSLOCG00000006561
EA22386	ENSLOCG00000014733
EA16554	ENSLOCG00000003451
EA17488	ENSLOCG00000008188
EA81234	ENSLOCG00000010398
EA09232	ENSLOCG00000014810
EA10365	ENSLOCG00000013681
EA40514	ENSLOCG00000011705
EA46602	ENSLOCG00000005054
EA74174	ENSLOCG00000016545
EA47381	ENSLOCG00000017584
EA38596	ENSLOCG00000010348
EA69399	ENSLOCG00000009729
EA42028	ENSLOCG00000014939
EA41575	ENSLOCG00000005643
EA41840	ENSLOCG00000000731
EA83116	ENSLOCG00000005358
EA11396	ENSLOCG00000012225
EA84339	ENSLOCG00000000772
EA48976	ENSLOCG00000004570
EA47444	ENSLOCG00000015932
EA42062	ENSLOCG00000000579
EA42112	ENSLOCG00000009738
EA72321	ENSLOCG00000014953
EA35680	ENSLOCG00000001643
EA26628	ENSLOCG00000002768
EA66643	ENSLOCG00000013092
