s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg
BL25531	3385475	BFL_1	39	ENSGALG00000015018	81232634	1	471	A
BL25530	3435500	BFL_1	40	ENSGALG00000015356	88749184	1	505	A
BL01996	4014040	BFL_1	56	ENSGALG00000016863	144249042	1	715	A
BL01959	4589432	BFL_1	73	ENSGALG00000037671	56805533	1	324	A
BL01953	4661711	BFL_1	76	ENSGALG00000016196	111035262	1	573	A
BL01952	4675680	BFL_1	77	ENSGALG00000015737	102077384	1	531	A
BL01945	4821920	BFL_1	80	ENSGALG00000015273	85946021	1	492	A
BL01944	4839306	BFL_1	81	ENSGALG00000014800	79998068	1	453	A
BL01943	4849785	BFL_1	82	ENSGALG00000033889	79997431	1	452	A
BL01940	4867560	BFL_1	84	ENSGALG00000016198	111057817	1	574	A
BL01929	5168047	BFL_1	91	ENSGALG00000009532	29620342	1	136	A
BL01928	5177780	BFL_1	92	ENSGALG00000032247	81054213	1	469	A
BL01927	5195827	BFL_1	93	ENSGALG00000042577	84357506	1	477	A
BL01924	5283809	BFL_1	95	ENSGALG00000015446	93187518	1	517	A
BL01846	6382993	BFL_1	127	ENSGALG00000016574	124157205	1	627	A
BL01724	7972032	BFL_1	178	ENSGALG00000003674	6811049	1	40	A
BL01587	9724913	BFL_1	224	ENSGALG00000017234	188953081	1	843	A
BL01571	10127691	BFL_1	231	ENSGALG00000030933	54703830	1	309	A
BL01466	11417698	BFL_1	267	ENSGALG00000031560	80019463	1	454	A
BL01393	12371284	BFL_1	298	ENSGALG00000012546	52114911	1	291	A
BL01358	12713627	BFL_1	313	ENSGALG00000016578	124337729	1	629	A
BL01279	14072910	BFL_1	351	ENSGALG00000014970	80650199	1	464	A
BL01278	14096795	BFL_1	352	ENSGALG00000014977	80750810	1	466	A
BL01179	15386042	BFL_1	399	ENSGALG00000015693	99983467	1	530	A
BL01108	16252486	BFL_1	426	ENSGALG00000030853	45996280	1	214	A
BL01096	16435958	BFL_1	434	ENSGALG00000035696	111336045	1	576	A
BL01080	16654432	BFL_1	437	ENSGALG00000015351	87881272	1	504	A
BL01066	16888266	BFL_1	442	ENSGALG00000016058	109023131	1	560	A
BL01047	17270908	BFL_1	448	ENSGALG00000016326	119599200	1	604	A
BL00816	20990376	BFL_1	528	ENSGALG00000015511	97569876	1	528	A
BL14684	23672615	BFL_1	566	ENSGALG00000015285	86010298	1	494	A
BL14692	23787946	BFL_1	570	ENSGALG00000016202	111335748	1	575	A
BL22400	25000240	BFL_1	592	ENSGALG00000017210	186935320	1	837	A
BL22401	25002633	BFL_1	593	ENSGALG00000017319	196150403	1	884	A
BL22502	26956675	BFL_1	619	ENSGALG00000016802	136882219	1	681	A
BL18893	27107193	BFL_1	620	ENSGALG00000019211	93258497	1	518	A
BL00717	27291712	BFL_1	623	ENSGALG00000015077	81531507	1	473	A
BL00703	27529272	BFL_1	628	ENSGALG00000019178	110421676	1	566	A
BL00688	27866338	BFL_1	634	ENSGALG00000016148	110458812	1	567	A
BL00681	27958067	BFL_1	635	ENSGALG00000017218	187108246	1	839	A
BL00662	28258963	BFL_1	643	ENSGALG00000042320	80556121	1	461	A
BL00661	28261163	BFL_1	644	ENSGALG00000014812	80093005	1	455	A
BL00636	28803266	BFL_1	650	ENSGALG00000016053	108470895	1	559	A
BL00593	29611132	BFL_1	668	ENSGALG00000035824	401417	1	3	A
BL01679	8483411	BFL_1	193	ENSGALG00000014982	102827326	2	1350	A
BL01550	10328680	BFL_1	235	ENSGALG00000013063	79786504	2	1266	A
BL01521	10693668	BFL_1	244	ENSGALG00000042063	46094828	2	1151	A
BL01505	10823261	BFL_1	253	ENSGALG00000038978	47233381	2	1158	A
BL01456	11548614	BFL_1	271	ENSGALG00000029664	136211928	2	1497	A
BL01360	12704965	BFL_1	311	ENSGALG00000013165	85662193	2	1282	A
BL01202	15095018	BFL_1	393	ENSGALG00000038469	629829	2	910	A
BL00900	19666633	BFL_1	507	ENSGALG00000037629	45935972	2	1149	A
BL00774	22433808	BFL_1	538	ENSGALG00000032570	51778751	2	1178	A
BL14688	23729517	BFL_1	568	ENSGALG00000009689	23867206	2	1038	A
BL00671	28120135	BFL_1	641	ENSGALG00000029435	114416525	2	1399	A
BL08280	34487197	BFL_1	682	ENSGALG00000005979	4915987	2	940	A
BL12995	642744	BFL_1	7	ENSGALG00000008808	15469802	3	1622	A
BL12994	683269	BFL_1	8	ENSGALG00000016456	97402678	3	2085	A
BL23160	849109	BFL_1	12	ENSGALG00000035337	30320172	3	1736	A
BL23163	882682	BFL_1	13	ENSGALG00000008429	3921731	3	1563	A
BL23164	906666	BFL_1	14	ENSGALG00000008416	3871039	3	1562	A
BL14203	1304634	BFL_1	17	ENSGALG00000011169	40770760	3	1820	A
BL14195	1501641	BFL_1	20	ENSGALG00000008947	13939799	3	1616	A
BL14193	1587078	BFL_1	21	ENSGALG00000008163	2948219	3	1553	A
BL14186	1675771	BFL_1	23	ENSGALG00000009450	18423362	3	1670	A
BL14183	1748707	BFL_1	24	ENSGALG00000037257	18698897	3	1671	A
BL14181	1795704	BFL_1	25	ENSGALG00000032780	40666062	3	1817	A
BL25567	2447071	BFL_1	27	ENSGALG00000014464	37698782	3	1790	A
